时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:35:18.855    104992815       602453          600535          101 证券卖出    400             17.5900         已成
09:35:18.857    100986396       602319          603000          101 证券卖出    200             20.8000         已成
09:35:18.861    108990135       602325          600486          101 证券卖出    100             87.4900         已成
09:35:18.861    120993572       602351          603876          100 证券买入    500             16.0500         已成
09:35:18.865    100986398       602350          603826          100 证券买入    200             29.9000         已成
09:35:18.864    136992106       602324          601615          101 证券卖出    200             14.5600         已成
09:35:18.873    124990924       602417          603876          100 证券买入    1300            16.0800         已成
09:35:18.874    132987965       602425          300724          100 证券买入    800             87.8200         已撤
09:35:18.876    124990925       602456          600639          100 证券买入    1200            16.2900         已成
09:35:18.877    132987966       602388          603583          101 证券卖出    100             56.3400         已成
09:35:18.880    100986401       602335          002381          100 证券买入    2600            9.6800          已成
09:35:18.879    136992108       602424          300558          100 证券买入    300             135.5700        已撤
09:35:18.885    112991814       602387          000528          101 证券卖出    100             7.6800          已撤
09:35:18.886    116989129       602448          300558          100 证券买入    200             135.6600        已撤
09:35:18.886    120993576       602386          000636          101 证券卖出    700             30.7900         已成
09:35:18.886    128992293       602311          000729          101 证券卖出    300             7.3300          已成
09:35:18.886    132987969       602454          603659          100 证券买入    100             105.0200        已成
09:35:18.886    136992110       602332          300725          100 证券买入    100             118.7800        已撤
09:35:18.888    108990139       602354          300244          100 证券买入    1300            32.9100         已成
09:35:18.892    120993577       602336          300525          100 证券买入    1400            36.2000         已撤
09:35:18.892    124990929       602449          300558          100 证券买入    800             135.6100        已撤
09:35:18.892    128992295       602355          600602          100 证券买入    2900            7.6900          已成
09:35:18.898    132987972       602390          000528          101 证券卖出    1100            7.6700          已成
09:35:18.900    104992823       602391          603659          100 证券买入    100             105.1600        已成
09:35:18.908    108990144       602342          601828          100 证券买入    4600            10.2300         已撤
09:35:18.908    116989134       602344          600639          100 证券买入    3400            16.0800         已成
09:35:18.908    120993584       602457          600602          100 证券买入    2100            7.7200          已成
09:35:18.908    124990933       602339          603659          100 证券买入    200             105.2800        已成
09:35:18.908    132987975       602330          002818          100 证券买入    800             14.3000         已成
09:35:18.909    136992113       602466          603267          101 证券卖出    1900            49.1900         已成
09:35:18.916    104992828       602422          600486          101 证券卖出    500             87.4400         已成
09:35:18.916    112991819       602404          600486          101 证券卖出    1400            87.6500         已成
09:35:18.916    116989137       602452          603659          100 证券买入    200             104.5100        已撤
09:35:18.917    120993587       602327          002174          101 证券卖出    400             22.4000         已成
09:35:18.917    132987979       602348          600486          101 证券卖出    1700            87.4400         已成
09:35:18.918    136992116       602326          603712          101 证券卖出    400             41.8100         已成
09:35:18.918    104992829       602415          603659          100 证券买入    100             104.7200        已撤
09:35:18.919    116989138       602312          002439          101 证券卖出    300             42.4800         已成
09:35:18.917    124990935       602455          601828          100 证券买入    2000            10.2900         已成
09:35:18.919    124990936       602450          603267          101 证券卖出    400             48.9900         已成
09:35:18.921    120993588       602382          603876          100 证券买入    1100            16.0500         已成
09:35:18.929    136992118       602347          300138          101 证券卖出    500             13.9500         已成
09:35:18.929    100986410       602375          300138          101 证券卖出    1000            13.9400         已成
09:35:18.929    104992832       602310          603678          101 证券卖出    900             32.1400         已成
09:35:18.930    108990150       602322          000581          101 证券卖出    500             23.3600         已成
09:35:18.930    112991823       602423          603826          100 证券买入    3300            30.0100         已成
09:35:18.930    116989140       602394          300525          100 证券买入    200             36.1500         已撤
09:35:18.930    124990938       602343          300724          100 证券买入    900             87.3100         已撤
09:35:18.931    100986411       602413          000528          101 证券卖出    3100            7.6800          已撤
09:35:18.930    132987984       602334          603876          100 证券买入    600             16.0300         已成
09:35:18.930    128992299       602398          000636          101 证券卖出    500             30.8400         已成
09:35:18.939    100986413       602416          603267          101 证券卖出    700             48.8500         已成
09:35:18.939    104992834       602308          600970          101 证券卖出    100             6.0400          已成
09:35:18.938    128992301       602316          002242          101 证券卖出    100             34.9400         已成
09:35:18.938    132987985       602396          000636          101 证券卖出    100             30.8100         已成
09:35:18.939    112991825       602306          300017          101 证券卖出    1300            9.0100          已成
09:35:18.940    124990940       602376          603678          101 证券卖出    1100            32.0100         已成
09:35:18.940    136992121       602439          600602          100 证券买入    200             7.7100          已成
09:35:18.940    108990153       602412          600486          101 证券卖出    700             87.6400         已成
09:35:18.943    100986414       602419          002595          100 证券买入    100             21.8600         已成
09:35:18.944    104992835       602320          600845          101 证券卖出    600             69.0300         已成
09:35:18.943    136992122       602451          300725          100 证券买入    100             120.5900        已撤
09:35:18.954    116989145       602352          002595          100 证券买入    300             21.7400         已成
09:35:18.955    120993594       602438          603678          101 证券卖出    2400            32.0600         已成
09:35:18.955    124990944       602337          603025          100 证券买入    2600            8.1400          已成
09:35:18.955    132987991       602418          002818          100 证券买入    2200            14.2600         已成
09:35:18.956    100986417       602397          603583          101 证券卖出    1000            56.3500         已成
09:35:18.956    108990157       602333          603826          100 证券买入    200             29.8900         已成
09:35:18.955    132987992       602403          603583          101 证券卖出    100             56.3500         已成
09:35:18.956    112991829       602421          600535          101 证券卖出    4200            17.5900         已成
09:35:18.957    116989146       602329          002595          100 证券买入    200             21.7300         已成
09:35:18.957    124990945       602420          601828          100 证券买入    2700            10.3100         已成
09:35:18.956    136992125       602402          002242          101 证券卖出    200             35.0000         已成
09:35:18.961    132987995       602389          002097          101 证券卖出    1000            7.1200          已成
09:35:18.962    136992127       602305          000636          101 证券卖出    1700            30.7800         已成
09:35:18.962    132987996       602408          603659          100 证券买入    100             104.5200        已撤
09:35:18.970    120993597       602401          300244          100 证券买入    400             32.9800         已成
09:35:18.971    124990948       602317          002396          101 证券卖出    100             34.0900         已成
09:35:18.971    132988001       602406          000636          101 证券卖出    2300            30.8800         已成
09:35:18.971    104992844       602405          000528          101 证券卖出    3900            7.6800          已撤
09:35:18.971    108990161       602309          601689          101 证券卖出    900             34.4500         已成
09:35:18.970    120993598       602393          000528          101 证券卖出    6300            7.6600          已成
09:35:18.971    132988002       602328          600126          101 证券卖出    200             8.4700          已成
09:35:18.972    108990162       602314          603267          101 证券卖出    800             48.9500         已成
09:35:18.979    116989153       602304          000488          101 证券卖出    31600           5.7800          已成
09:35:18.980    120993600       602410          002595          100 证券买入    100             21.8000         已成
09:35:18.980    136992135       602338          603233          100 证券买入    100             69.6500         已撤
09:35:18.986    108990167       602414          603826          100 证券买入    200             29.9400         已成
09:35:18.986    104992850       602399          002595          100 证券买入    100             21.7800         已成
09:35:18.986    116989155       602395          603444          100 证券买入    100             585.5900        已成
09:35:18.987    120993602       602345          603444          100 证券买入    100             585.2500        已成
09:35:18.988    108990168       602349          603678          101 证券卖出    100             32.1400         已成
09:35:18.987    128992303       602331          300558          100 证券买入    100             134.3200        已撤
09:35:18.987    132988009       601926          601818          100 证券买入    100             3.7000          已撤
09:35:18.986    136992136       602341          600602          100 证券买入    5000            7.6900          已成
09:35:18.987    136992137       602323          300138          101 证券卖出    2700            13.9800         已成
09:35:18.988    112991833       602318          600984          101 证券卖出    200             23.6200         已成
09:35:18.988    104992851       602313          600153          101 证券卖出    1600            10.3300         已撤
09:35:18.994    112991835       602381          603826          100 证券买入    200             29.8800         已成
09:35:18.995    116989156       602385          300244          100 证券买入    200             32.9500         已成
09:35:18.995    120993604       602409          300244          100 证券买入    500             33.0100         已成
09:35:18.996    132988012       602392          002595          100 证券买入    400             21.7800         已成
09:35:18.996    136992139       602340          603882          100 证券买入    600             86.6500         已撤
09:35:18.996    104992854       602411          002097          101 证券卖出    200             7.1300          已撤
09:35:18.997    112991836       602407          603233          100 证券买入    200             69.8200         已撤
09:35:18.995    128992306       602353          603233          100 证券买入    100             69.5200         已撤
09:35:18.998    120993606       602374          603267          101 证券卖出    300             48.9700         已成
09:35:19.002    124990953       602321          603583          101 证券卖出    200             56.4700         已成
09:35:19.010    128992308       602400          300558          100 证券买入    100             135.5300        已撤
09:35:19.011    108990171       602315          002097          101 证券卖出    8200            7.1100          已成
09:35:19.012    112991839       602384          002381          100 证券买入    700             9.6900          已成
09:35:19.012    116989159       602346          002242          101 证券卖出    100             35.0100         已成
09:35:19.014    132988017       602307          600535          101 证券卖出    5200            17.4600         已成
09:35:19.023    100986424       602378          002818          100 证券买入    300             14.3100         已成
09:35:19.578    120993622       602472          600535          101 证券卖出    2000            17.6100         已成
09:35:19.618    128992319       602473          600486          101 证券卖出    1500            87.4300         已成
09:35:19.698    120993623       602474          002097          101 证券卖出    900             7.1200          已成
09:36:27.684    116989825       602475          002097          101 证券卖出    13100           7.1000          已成
09:36:27.702    132988736       602476          300525          100 证券买入    1900            36.6000         已成
09:36:27.744    100987145       602477          002097          101 证券卖出    700             7.1200          已撤
09:36:27.777    108990899       602478          300525          100 证券买入    1600            36.5000         已撤
09:36:31.018    132988758       602479          000488          101 证券卖出    1300            5.9000          已成
09:36:31.109    136992857       602480          000636          101 证券卖出    1200            30.8800         已成
09:36:31.378    120994342       602481          002097          101 证券卖出    9700            7.1100          部撤
09:36:31.379    124991693       602482          600535          101 证券卖出    6100            17.8400         已成
09:36:31.433    108990924       602484          002595          100 证券买入    400             21.8200         已成
09:36:31.434    116989851       602483          603444          100 证券买入    100             587.0200        已成
09:36:31.458    124991694       602486          300525          100 证券买入    1100            36.6000         已成
09:36:31.460    132988760       602485          300725          100 证券买入    100             121.8700        已撤
09:36:31.517    104993626       602487          300244          100 证券买入    600             33.1400         已成
09:36:36.465    112992608       602488          600535          101 证券卖出    5100            17.8400         已成
09:36:36.522    120994374       602489          002097          101 证券卖出    10600           7.1100          已成
09:36:36.568    104993655       602490          603583          101 证券卖出    200             56.8600         已撤
09:36:36.648    128993087       602491          000636          101 证券卖出    1100            30.8900         已成
09:36:36.693    112992611       602492          300725          100 证券买入    200             122.0100        已成
09:36:36.756    136992892       602493          002595          100 证券买入    300             21.8100         已成
09:36:36.782    104993656       602494          300244          100 证券买入    600             33.1900         已成
09:36:41.839    112992637       602495          002097          101 证券卖出    3600            7.1100          已成
09:36:41.869    100987226       602496          000636          101 证券卖出    2400            30.8200         已成
09:36:42.020    120994403       602497          300244          100 证券买入    100             33.1600         已成
09:36:47.044    136992951       602498          000636          101 证券卖出    1100            30.8600         已成
09:36:47.101    104993703       602499          603678          101 证券卖出    600             32.1900         已成
09:36:47.185    112992665       602500          002097          101 证券卖出    2900            7.1100          已撤
09:36:47.217    120994425       602501          600845          101 证券卖出    100             70.0300         已成
09:36:47.236    128993139       602502          603583          101 证券卖出    300             56.8300         已撤
09:36:47.352    136992952       602503          300725          100 证券买入    200             122.0300        已成
09:36:47.387    104993704       602504          300525          100 证券买入    1100            36.5300         已成
09:36:47.486    124991782       602505          300244          100 证券买入    700             33.0900         已撤
09:36:52.449    104993736       602506          000636          101 证券卖出    400             30.8600         已成
09:36:52.493    116989968       602507          603678          101 证券卖出    100             32.1300         已成
09:36:52.594    124991813       602509          603583          101 证券卖出    900             56.8200         已撤
09:36:52.635    132988879       602510          300525          100 证券买入    600             36.5100         已成
09:36:52.635    136992992       602508          002097          101 证券卖出    12000           7.0900          已成
09:36:52.780    136992993       602511          300244          100 证券买入    600             33.1600         已成
09:36:52.873    120994462       602512          300725          100 证券买入    200             122.0500        已成
09:36:58.339    108991076       602562          000528          101 证券卖出    4300            7.6600          已成
09:36:58.575    100987334       602566          000636          101 证券卖出    1600            30.8600         已成
09:36:58.625    120994499       602569          603678          101 证券卖出    200             32.1800         已撤
09:36:58.707    108991078       602570          603583          101 证券卖出    1200            56.6300         已成
09:36:58.707    112992738       602571          603267          101 证券卖出    700             49.8200         已撤
09:36:58.740    132988921       602572          002097          101 证券卖出    1900            7.1000          已成
09:36:58.744    100987336       602573          600486          101 证券卖出    700             87.7200         已成
09:36:58.920    116990018       602575          300725          100 证券买入    200             121.9800        已成
09:36:58.985    100987337       602579          300244          100 证券买入    300             33.1200         已成
09:36:58.989    108991080       602577          300525          100 证券买入    700             36.5300         已成
09:37:03.400    132988952       602640          603583          101 证券卖出    200             56.6200         已成
09:37:13.383    116990106       602642          600486          101 证券卖出    100             87.6800         已成
09:37:13.471    104993853       602643          300724          100 证券买入    1500            91.0100         已成
09:37:18.471    136993132       602644          600486          101 证券卖出    300             87.6200         已成
09:37:18.595    112992834       602645          300724          100 证券买入    1200            90.6900         部撤
09:37:23.574    104993920       602646          600486          101 证券卖出    100             87.7000         已成
09:37:23.633    128993344       602647          000636          101 证券卖出    900             30.9000         已成
09:37:28.709    108991255       602648          002242          101 证券卖出    200             35.0700         已成
09:37:28.808    120994680       602649          600486          101 证券卖出    100             87.7000         已成
09:37:28.825    128993384       602650          000636          101 证券卖出    700             30.9300         已成
09:37:28.863    104993968       602651          300244          100 证券买入    400             33.3100         已撤
09:37:38.885    104994020       602652          002097          101 证券卖出    400             7.0700          已成
