冻结金额,可用,参考市值,资产
,19685776.86,,160100885.02
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300365,恒华科技,3600,3600,10.885,4554.13,43740.0,12.15
300379,东方通,300,7900,-1.254,426473.7,416567.0,52.73
300391,康跃科技,34200,34200,12.579,30130.49,460332.0,13.46
300415,伊之密,15900,15900,9.8517,5537.42,162180.0,10.2
300420,五洋停车,38700,38700,6.3158,26090.36,270513.0,6.99
300448,浩云科技,27500,27500,11.3083,6372.33,317350.0,11.54
300452,山河药辅,39200,39200,25.044,104898.24,1086624.0,27.72
300636,同和药业,800,800,41.1425,1230.04,34144.0,42.68
511990,华宝添益,646516,646516,99.7443,171754.34,64658065.16,100.00999999999999
600110,诺德股份,287100,287100,5.4908,45694.95,1622115.0,5.65
600136,当代文体,71000,71000,8.7907,51778.08,675920.0,9.52
600173,卧龙地产,1200,1200,5.23,0.03,6276.0,5.23
600176,中国巨石,0,42000,10.2237,10344.0,439740.0,10.47
600210,紫江企业,48200,48200,4.6808,23097.65,248712.0,5.16
600230,沧州大化,11200,11200,9.5015,9502.9,115920.0,10.35
600239,云南城投,193200,193200,4.5545,134371.16,1014300.0,5.25
600458,时代新材,9800,9800,7.2394,1377.96,72324.0,7.38
600499,科达洁能,88400,88400,4.4348,37588.37,429624.0,4.86
600532,宏达矿业,0,104800,11.2083,8567.34,1183192.0,11.29
600602,云赛智联,400,400,7.7713,151.47,3260.0,8.15
600789,鲁抗医药,37100,104500,9.0177,192515.17,1134870.0,10.86
600805,悦达投资,4900,4900,4.6208,-3.85,22638.0,4.62
600831,广电网络,155500,155500,8.3041,64666.56,1355960.0,8.72
600866,星湖科技,85301,85301,5.0747,22633.69,455507.34,5.34
600879,航天电子,212100,212100,7.3025,3707.71,1552572.0,7.32
600936,广西广电,7000,7000,4.1607,1115.05,30240.0,4.32
600983,惠而浦,8600,8600,5.0933,1347.55,45150.0,5.25
601058,赛轮轮胎,281340,281340,4.0099,81620.11,1209762.0,4.3
601700,风范股份,89300,89300,5.5084,27824.49,519726.0,5.82
601818,光大银行,0,100,4.1007,3.93,414.0,4.14
603111,康尼机电,100200,100200,6.6324,79924.04,744486.0,7.43
603222,济民制药,11500,11500,34.4083,9794.57,405490.0,35.26
603366,日出东方,44400,44400,5.9033,10511.45,272616.0,6.14
603399,吉翔股份,58800,58800,8.1535,55068.48,534492.0,9.09
603660,苏州科达,43800,43800,9.839,31140.81,462090.0,10.55
603697,有友食品,4300,4300,20.1546,3850.3,90515.0,21.05
603959,百利科技,45696,66796,8.8452,35722.61,626546.48,9.379999999999999
603993,洛阳钼业,0,364300,4.7008,6994.93,1719496.0,4.72
