标题：资金股票
营业部名称：中航信交易4-1
股东：中国银河证

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
221188997708	人民币	1349233.520	739058.670	15986860.870	16725920.540	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
300059	东方财富	0	0	0	10000	25824.28	0.000	0.00	0.000	27.530	0899159069	深Ａ	0	10000	
300006	莱美药业	19200	19200	0	0	2496.44	2.355	108480.00	5.520	5.650	0899159069	深Ａ	19200	19200	
002946	新乳业	12900	12900	0	0	-690.67	-0.267	257613.00	20.024	19.970	0899159069	深Ａ	12900	12900	
002797	第一创业	0	0	0	25000	17256.71	0.000	0.00	0.000	10.750	0899159069	深Ａ	0	25000	
002783	凯龙股份	3000	3000	0	12600	-3397.93	-8.631	35970.00	13.123	11.990	0899159069	深Ａ	3000	15600	
002698	博实股份	18800	0	18800	0	65.26	0.025	258688.00	13.757	13.760	0899159069	深Ａ	18800	0	
002570	贝因美	37400	37400	0	0	64180.70	27.136	300696.00	6.324	8.040	0899159069	深Ａ	37400	37400	
002522	浙江众成	3000	3000	0	13100	-9272.64	-31.994	19710.00	9.661	6.570	0899159069	深Ａ	3000	16100	
002515	金字火腿	35900	0	35900	0	-1126.52	-0.421	266378.00	7.451	7.420	0899159069	深Ａ	35900	0	
002500	山西证券	30300	30300	0	0	-14020.41	-5.134	259065.00	9.013	8.550	0899159069	深Ａ	30300	30300	
002497	雅化集团	0	0	0	20500	-13878.97	0.000	0.00	0.000	9.900	0899159069	深Ａ	0	20500	
002421	达实智能	54400	54400	0	0	-2221.26	-0.981	224128.00	4.161	4.120	0899159069	深Ａ	54400	54400	
002406	远东传动	15900	15900	0	0	2360.31	2.079	115911.00	7.142	7.290	0899159069	深Ａ	15900	15900	
002382	蓝帆医疗	8400	0	8400	0	-686.10	-0.263	259812.00	31.012	30.930	0899159069	深Ａ	8400	0	
002369	卓翼科技	3700	3700	0	21900	-18408.83	-36.118	32560.00	13.775	8.800	0899159069	深Ａ	3700	25600	
002358	森源电气	46800	46800	0	0	-8674.82	-3.283	255528.00	5.645	5.460	0899159069	深Ａ	46800	46800	
002326	永太科技	0	0	0	19700	-21383.63	0.000	0.00	0.000	12.360	0899159069	深Ａ	0	19700	
002317	众生药业	15500	15500	0	0	621.15	0.231	269855.00	17.370	17.410	0899159069	深Ａ	15500	15500	
002244	滨江集团	27700	27700	0	0	-12896.32	-8.792	133791.00	5.296	4.830	0899159069	深Ａ	27700	27700	
002225	濮耐股份	27800	27800	0	0	6551.07	5.255	131216.00	4.484	4.720	0899159069	深Ａ	27800	27800	
002224	三 力 士	31000	0	31000	0	618.26	0.304	204290.00	6.570	6.590	0899159069	深Ａ	31000	0	
002214	大立科技	8800	8800	0	0	11639.66	4.533	268400.00	29.177	30.500	0899159069	深Ａ	8800	8800	
002204	大连重工	53800	0	53800	0	952.31	0.348	274380.00	5.082	5.100	0899159069	深Ａ	53800	0	
002129	中环股份	5200	5200	0	5900	14219.96	11.779	134940.00	23.215	25.950	0899159069	深Ａ	5200	11100	
002124	天邦股份	10400	10400	0	4500	-1658.92	-0.936	175656.00	17.050	16.890	0899159069	深Ａ	10400	14900	
002118	紫鑫药业	17800	17800	0	0	-5713.12	-6.671	79922.00	4.811	4.490	0899159069	深Ａ	17800	17800	
002103	广博股份	38000	38000	0	0	-18703.84	-7.355	235600.00	6.692	6.200	0899159069	深Ａ	38000	38000	
002050	三花智控	11400	0	11400	0	176.74	0.068	261516.00	22.924	22.940	0899159069	深Ａ	11400	0	
002047	宝鹰股份	50000	0	50000	0	-262.33	-0.102	256500.00	5.135	5.130	0899159069	深Ａ	50000	0	
002027	分众传媒	45000	45000	0	0	12533.64	4.610	284400.00	6.041	6.320	0899159069	深Ａ	45000	45000	
002001	新 和 成	8800	0	8800	0	2269.23	0.844	271216.00	30.562	30.820	0899159069	深Ａ	8800	0	
000977	浪潮信息	0	0	0	6200	-25871.05	0.000	0.00	0.000	38.670	0899159069	深Ａ	0	6200	
000973	佛塑科技	22900	22900	0	0	-2267.58	-1.923	115645.00	5.149	5.050	0899159069	深Ａ	22900	22900	
000875	吉电股份	61900	61900	0	0	15424.86	6.152	266170.00	4.051	4.300	0899159069	深Ａ	61900	61900	
000797	中国武夷	29500	29500	0	0	-3269.72	-2.677	118885.00	4.141	4.030	0899159069	深Ａ	29500	29500	
