标题：资金股票
营业部名称：上海7
股东：素养鸣石量
资金余额：8624919.14 	 可取金额：8624413.46
冻结金额：505.68 	 股票市值：186079691.78
可用余额：8624413.46 	 总 资 产：194704610.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	汇率	成本价港币	买入成本价港币	买入在途数量	卖出在途数量	
000881	中广核技	500	500	0	9.450	7.371	0.258	7.390	3695.000	深圳Ａ股	0899216774	1.000000	7.371	7.371	0	0	
000885	城发环境	200	200	0	31.710	9.731	1.634	9.890	1978.000	深圳Ａ股	0899216774	1.000000	9.731	9.731	0	0	
000887	中鼎股份	1100	1100	0	194.700	7.883	2.245	8.060	8866.000	深圳Ａ股	0899216774	1.000000	7.883	7.883	0	0	
000889	中嘉博创	1400	1400	0	54.950	9.301	0.419	9.340	13076.000	深圳Ａ股	0899216774	1.000000	9.301	9.401	0	0	
000892	欢瑞世纪	300	300	0	-12.180	4.061	-1.010	4.020	1206.000	深圳Ａ股	0899216774	1.000000	4.061	4.061	0	0	
000895	双汇发展	100	100	0	29.200	38.818	0.752	39.110	3911.000	深圳Ａ股	0899216774	1.000000	38.818	39.596	0	0	
000902	新洋丰	1400	1400	0	329.850	8.694	2.715	8.930	12502.000	深圳Ａ股	0899216774	1.000000	8.694	8.881	0	0	
000906	浙商中拓	100	100	0	-5.090	5.671	-0.899	5.620	562.000	深圳Ａ股	0899216774	1.000000	5.671	5.671	0	0	
000910	大亚圣象	11800	11800	0	2608.710	16.399	1.348	16.620	196116.000	深圳Ａ股	0899216774	1.000000	16.399	16.722	0	0	
000913	钱江摩托	700	700	0	-210.380	11.191	-2.690	10.890	7623.000	深圳Ａ股	0899216774	1.000000	11.191	10.972	0	0	
000915	山大华特	800	800	0	1271.410	32.931	4.825	34.520	27616.000	深圳Ａ股	0899216774	1.000000	32.931	33.798	0	0	
000918	嘉凯城	500	500	0	74.860	4.340	3.456	4.490	2245.000	深圳Ａ股	0899216774	1.000000	4.340	4.455	0	0	
000919	金陵药业	300	300	0	-71.830	6.809	-3.510	6.570	1971.000	深圳Ａ股	0899216774	1.000000	6.809	6.521	0	0	
000921	海信家电	10700	10700	0	-2274.900	12.413	-1.716	12.200	130540.000	深圳Ａ股	0899216774	1.000000	12.413	12.606	0	0	
000922	佳电股份	100	100	0	1.910	5.971	0.318	5.990	599.000	深圳Ａ股	0899216774	1.000000	5.971	5.971	0	0	
000923	河钢资源	800	800	0	1004.620	12.694	9.894	13.950	11160.000	深圳Ａ股	0899216774	1.000000	12.694	13.222	0	0	
000931	中关村	900	900	0	469.740	9.478	5.507	10.000	9000.000	深圳Ａ股	0899216774	1.000000	9.478	9.831	0	0	
000938	紫光股份	800	800	0	-11923.060	54.554	-27.320	39.650	31720.000	深圳Ａ股	0899216774	1.000000	54.554	43.231	0	0	
000948	南天信息	800	800	0	-227.200	12.384	-2.293	12.100	9680.000	深圳Ａ股	0899216774	1.000000	12.384	12.142	0	0	
000951	中国重汽	1000	1000	0	774.450	27.146	2.851	27.920	27920.000	深圳Ａ股	0899216774	1.000000	27.146	28.004	0	0	
000960	锡业股份	100	100	0	49.880	8.301	6.011	8.800	880.000	深圳Ａ股	0899216774	1.000000	8.301	8.301	0	0	
000961	中南建设	3100	3100	0	1380.780	7.765	5.731	8.210	25451.000	深圳Ａ股	0899216774	1.000000	7.765	8.182	0	0	
000963	华东医药	300	300	0	-334.240	23.314	-4.778	22.200	6660.000	深圳Ａ股	0899216774	1.000000	23.314	22.403	0	0	
000967	盈峰环境	3800	3800	0	-42.840	8.491	-0.130	8.480	32224.000	深圳Ａ股	0899216774	1.000000	8.491	8.491	0	0	
000968	蓝焰控股	100	100	0	14.880	7.751	1.922	7.900	790.000	深圳Ａ股	0899216774	1.000000	7.751	7.751	0	0	
000969	安泰科技	6900	6900	0	-2214.750	6.521	-4.923	6.200	42780.000	深圳Ａ股	0899216774	1.000000	6.521	6.521	0	0	
000970	中科三环	2900	2900	0	-352.350	10.022	-1.217	9.900	28710.000	深圳Ａ股	0899216774	1.000000	10.022	10.022	0	0	
000973	佛塑科技	2300	2300	0	550.390	4.641	5.150	4.880	11224.000	深圳Ａ股	0899216774	1.000000	4.641	4.671	0	0	
000987	越秀金控	4100	4100	0	-343.360	11.964	-0.702	11.880	48708.000	深圳Ａ股	0899216774	1.000000	11.964	11.964	0	0	
000988	华工科技	4100	4100	0	4045.760	20.953	4.711	21.940	89954.000	深圳Ａ股	0899216774	1.000000	20.953	21.039	0	0	
000997	新大陆	300	300	0	-99.740	16.392	-2.025	16.060	4818.000	深圳Ａ股	0899216774	1.000000	16.392	16.392	0	0	
000998	隆平高科	3100	3100	0	-280.630	16.201	-0.562	16.110	49941.000	深圳Ａ股	0899216774	1.000000	16.201	16.198	0	0	
000999	华润三九	600	600	0	-336.570	28.571	-1.964	28.010	16806.000	深圳Ａ股	0899216774	1.000000	28.571	28.571	0	0	
001696	宗申动力	1600	1600	0	16.230	6.240	0.160	6.250	10000.000	深圳Ａ股	0899216774	1.000000	6.240	6.881	0	0	
002004	华邦健康	100	100	0	31.250	5.058	6.168	5.370	537.000	深圳Ａ股	0899216774	1.000000	5.058	5.171	0	0	
002007	华兰生物	3700	3700	0	823.800	40.027	0.557	40.250	148925.000	深圳Ａ股	0899216774	1.000000	40.027	40.027	0	0	
002008	大族激光	1700	1700	0	5849.410	28.779	11.957	32.220	54774.000	深圳Ａ股	0899216774	1.000000	28.779	32.448	0	0	
511990	华宝添益	1264075	1264075	0	463501.740	99.635	0.368	100.002	126410028.150	上海Ａ股	B883092788	1.000000	99.635	99.772	0	0	
002019	亿帆医药	2100	2100	0	2893.080	19.222	7.169	20.600	43260.000	深圳Ａ股	0899216774	1.000000	19.222	19.986	0	0	
002020	京新药业	100	100	0	-11.160	10.492	-1.067	10.380	1038.000	深圳Ａ股	0899216774	1.000000	10.492	10.492	0	0	
002025	航天电器	400	400	0	-35.250	27.438	-0.321	27.350	10940.000	深圳Ａ股	0899216774	1.000000	27.438	27.327	0	0	
002027	分众传媒	43200	43200	0	7994.720	5.195	3.561	5.380	232416.000	深圳Ａ股	0899216774	1.000000	5.195	5.310	0	0	
002028	思源电气	2000	2000	0	-7481.610	22.011	-16.996	18.270	36540.000	深圳Ａ股	0899216774	1.000000	22.011	18.381	0	0	
002034	旺能环境	300	300	0	331.030	17.897	6.163	19.000	5700.000	深圳Ａ股	0899216774	1.000000	17.897	18.973	0	0	
002035	华帝股份	1100	1100	0	-399.870	11.394	-3.195	11.030	12133.000	深圳Ａ股	0899216774	1.000000	11.394	11.458	0	0	
002036	联创电子	12740	12740	0	17018.220	10.724	12.458	12.060	153644.400	深圳Ａ股	0899216774	1.000000	10.724	12.010	0	0	
002042	华孚时尚	2000	2000	0	364.320	5.868	3.102	6.050	12100.000	深圳Ａ股	0899216774	1.000000	5.868	6.174	0	0	
002043	兔宝宝	8700	8700	0	-1314.510	9.581	-1.576	9.430	82041.000	深圳Ａ股	0899216774	1.000000	9.581	9.581	0	0	
002048	宁波华翔	1100	1100	0	-92.640	15.974	-0.526	15.890	17479.000	深圳Ａ股	0899216774	1.000000	15.974	15.974	0	0	
002050	三花智控	2380	2380	0	3189.910	17.770	7.541	19.110	45481.800	深圳Ａ股	0899216774	1.000000	17.770	19.431	0	0	
002056	横店东磁	5600	5600	0	4325.190	9.968	7.745	10.740	60144.000	深圳Ａ股	0899216774	1.000000	9.968	10.802	0	0	
002059	云南旅游	300	300	0	30.980	4.537	2.270	4.640	1392.000	深圳Ａ股	0899216774	1.000000	4.537	4.571	0	0	
002063	远光软件	100	100	0	-2541.290	37.613	-67.564	12.200	1220.000	深圳Ａ股	0899216774	1.000000	37.613	11.922	0	0	
002064	华峰氨纶	1200	1200	0	-187.000	5.536	-2.818	5.380	6456.000	深圳Ａ股	0899216774	1.000000	5.536	5.536	0	0	
002075	沙钢股份	7000	7000	0	-10445.290	14.812	-10.073	13.320	93240.000	深圳Ａ股	0899216774	1.000000	14.812	13.432	0	0	
002079	苏州固锝	2800	2800	0	1888.220	9.986	6.749	10.660	29848.000	深圳Ａ股	0899216774	1.000000	9.986	10.912	0	0	
002080	中材科技	1600	1600	0	-55.230	14.325	-0.244	14.290	22864.000	深圳Ａ股	0899216774	1.000000	14.325	14.340	0	0	
002081	金螳螂	800	800	0	-247.990	8.240	-3.762	7.930	6344.000	深圳Ａ股	0899216774	1.000000	8.240	8.240	0	0	
002090	金智科技	100	100	0	83.870	8.661	9.687	9.500	950.000	深圳Ａ股	0899216774	1.000000	8.661	8.661	0	0	
002092	中泰化学	200	200	0	0.860	4.686	0.085	4.690	938.000	深圳Ａ股	0899216774	1.000000	4.686	4.686	0	0	
002101	广东鸿图	100	100	0	-0.110	7.081	-0.014	7.080	708.000	深圳Ａ股	0899216774	1.000000	7.081	7.081	0	0	
002106	莱宝高科	1000	1000	0	-321.770	11.792	-2.731	11.470	11470.000	深圳Ａ股	0899216774	1.000000	11.792	11.792	0	0	
002107	沃华医药	5660	5660	0	11225.260	8.397	23.616	10.380	58750.800	深圳Ａ股	0899216774	1.000000	8.397	9.714	0	0	
002111	威海广泰	100	100	0	-18.220	14.442	-1.260	14.260	1426.000	深圳Ａ股	0899216774	1.000000	14.442	14.442	0	0	
002115	三维通信	600	600	0	-6.820	9.141	-0.120	9.130	5478.000	深圳Ａ股	0899216774	1.000000	9.141	9.141	0	0	
002120	韵达股份	1638	1638	0	9854.010	31.104	19.342	37.120	60802.560	深圳Ａ股	0899216774	1.000000	31.104	37.146	0	0	
002123	梦网集团	2300	2300	0	768.670	16.066	2.079	16.400	37720.000	深圳Ａ股	0899216774	1.000000	16.066	16.716	0	0	
002126	银轮股份	6600	6600	0	-1367.930	11.837	-1.749	11.630	76758.000	深圳Ａ股	0899216774	1.000000	11.837	11.950	0	0	
002127	南极电商	8100	8100	0	-3191.420	18.674	-2.110	18.280	148068.000	深圳Ａ股	0899216774	1.000000	18.674	18.798	0	0	
002130	沃尔核材	700	700	0	-77.500	4.731	-2.346	4.620	3234.000	深圳Ａ股	0899216774	1.000000	4.731	4.731	0	0	
002138	顺络电子	2700	2700	0	392.100	24.435	0.593	24.580	66366.000	深圳Ａ股	0899216774	1.000000	24.435	24.435	0	0	
002139	拓邦股份	400	400	0	31.680	5.341	1.479	5.420	2168.000	深圳Ａ股	0899216774	1.000000	5.341	5.391	0	0	
002140	东华科技	100	100	0	3.030	6.820	0.440	6.850	685.000	深圳Ａ股	0899216774	1.000000	6.820	6.791	0	0	
002145	中核钛白	1800	1800	0	-163.240	4.581	-1.986	4.490	8082.000	深圳Ａ股	0899216774	1.000000	4.581	4.581	0	0	
002151	北斗星通	5200	5200	0	17656.930	30.364	11.184	33.760	175552.000	深圳Ａ股	0899216774	1.000000	30.364	34.251	0	0	
002163	中航三鑫	4200	4200	0	6308.600	8.248	18.210	9.750	40950.000	深圳Ａ股	0899216774	1.000000	8.248	10.075	0	0	
002167	东方锆业	700	700	0	-140.600	5.721	-3.513	5.520	3864.000	深圳Ａ股	0899216774	1.000000	5.721	5.721	0	0	
002179	中航光电	100	100	0	100.470	35.405	2.839	36.410	3641.000	深圳Ａ股	0899216774	1.000000	35.405	35.405	0	0	
002180	纳思达	1900	1900	0	6727.910	28.459	12.442	32.000	60800.000	深圳Ａ股	0899216774	1.000000	28.459	27.914	0	0	
002181	粤传媒	900	900	0	902.490	4.317	23.234	5.320	4788.000	深圳Ａ股	0899216774	1.000000	4.317	5.246	0	0	
002184	海得控制	800	800	0	-231.590	13.239	-2.183	12.950	10360.000	深圳Ａ股	0899216774	1.000000	13.239	13.239	0	0	
002186	全聚德	1600	1600	0	-657.040	10.801	-3.805	10.390	16624.000	深圳Ａ股	0899216774	1.000000	10.801	10.927	0	0	
002202	金风科技	200	200	0	109.190	9.594	5.691	10.140	2028.000	深圳Ａ股	0899216774	1.000000	9.594	9.651	0	0	
002204	大连重工	41000	41000	0	-1456.630	4.656	-0.773	4.620	189420.000	深圳Ａ股	0899216774	1.000000	4.656	4.656	0	0	
002208	合肥城建	460	460	0	623.350	7.705	17.586	9.060	4167.600	深圳Ａ股	0899216774	1.000000	7.705	8.447	0	0	
002212	南洋股份	1500	1500	0	-5351.640	29.178	-12.228	25.610	38415.000	深圳Ａ股	0899216774	1.000000	29.178	26.624	0	0	
002213	特尔佳	200	200	0	-54.180	17.461	-1.552	17.190	3438.000	深圳Ａ股	0899216774	1.000000	17.461	17.033	0	0	
002214	大立科技	4200	4200	0	-2239.520	21.463	-2.483	20.930	87906.000	深圳Ａ股	0899216774	1.000000	21.463	21.463	0	0	
002215	诺普信	100	100	0	-18.100	6.351	-2.850	6.170	617.000	深圳Ａ股	0899216774	1.000000	6.351	6.351	0	0	
002216	三全食品	700	700	0	3116.840	17.487	25.465	21.940	15358.000	深圳Ａ股	0899216774	1.000000	17.487	22.703	0	0	
002217	合力泰	1000	1000	0	367.340	4.893	7.501	5.260	5260.000	深圳Ａ股	0899216774	1.000000	4.893	5.108	0	0	
002222	福晶科技	17400	17400	0	28096.140	12.515	12.905	14.130	245862.000	深圳Ａ股	0899216774	1.000000	12.515	13.777	0	0	
002225	濮耐股份	100	100	0	14.390	4.236	3.399	4.380	438.000	深圳Ａ股	0899216774	1.000000	4.236	4.261	0	0	
002236	大华股份	4700	4700	0	5761.920	16.344	7.501	17.570	82579.000	深圳Ａ股	0899216774	1.000000	16.344	17.117	0	0	
002238	天威视讯	1000	1000	0	300.480	10.210	2.938	10.510	10510.000	深圳Ａ股	0899216774	1.000000	10.210	10.210	0	0	
002240	威华股份	8900	8900	0	6188.370	10.425	6.667	11.120	98968.000	深圳Ａ股	0899216774	1.000000	10.425	10.952	0	0	
002241	歌尔股份	15700	15700	0	7790.720	22.884	2.167	23.380	367066.000	深圳Ａ股	0899216774	1.000000	22.884	23.387	0	0	
002242	九阳股份	500	500	0	-346.480	33.103	-2.093	32.410	16205.000	深圳Ａ股	0899216774	1.000000	33.103	33.103	0	0	
002244	滨江集团	200	200	0	6.270	4.179	0.742	4.210	842.000	深圳Ａ股	0899216774	1.000000	4.179	4.311	0	0	
002250	联化科技	600	600	0	668.520	16.516	6.745	17.630	10578.000	深圳Ａ股	0899216774	1.000000	16.516	16.516	0	0	
002251	步步高	1900	1900	0	158.500	10.997	0.755	11.080	21052.000	深圳Ａ股	0899216774	1.000000	10.997	11.252	0	0	
