标题：资金股票
营业部名称：中航信交易6-1
股东：鸣石傲华１

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
221751897999	人民币	2932772.880	2424899.840	35219107.890	37644008.730	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
300724	捷佳伟创	2700	2700	0	0	-12161.18	-5.048	228744.00	89.224	84.720	0899205835	深Ａ	2700	2700	
300709	精研科技	900	900	0	1100	5635.24	6.998	86157.00	89.469	95.730	0899205835	深Ａ	900	2000	
300683	海特生物	200	200	0	2400	231.77	2.165	10938.00	53.531	54.690	0899205835	深Ａ	200	2600	
300673	佩蒂股份	100	100	0	400	724.80	22.943	3884.00	31.592	38.840	0899205835	深Ａ	100	500	
300663	科蓝软件	1200	1200	0	4300	-575.45	-1.705	33168.00	28.120	27.640	0899205835	深Ａ	1200	5500	
300662	科锐国际	0	0	0	2800	8491.87	0.000	0.00	0.000	43.660	0899205835	深Ａ	0	2800	
300659	中孚信息	2200	2200	0	0	6772.96	5.632	127028.00	54.661	57.740	0899205835	深Ａ	2200	2200	
300636	同和药业	800	800	0	0	639.76	2.046	31904.00	39.080	39.880	0899205835	深Ａ	800	800	
300567	精测电子	9200	9200	0	0	663.61	0.100	667184.00	72.448	72.520	0899205835	深Ａ	9200	9200	
300558	贝达药业	1200	0	1200	0	-1205.64	-0.739	162000.00	136.005	135.000	0899205835	深Ａ	1200	0	
300529	健帆生物	7300	7300	0	0	13293.77	2.820	484720.00	64.579	66.400	0899205835	深Ａ	7300	7300	
300496	中科创达	5900	5900	0	0	-4673.11	-1.015	455893.00	78.062	77.270	0899205835	深Ａ	5900	5900	
300485	赛升药业	3900	3900	0	0	-23676.81	-21.869	84591.00	27.761	21.690	0899205835	深Ａ	3900	3900	
300475	聚隆科技	0	0	0	1100	-231.14	0.000	0.00	0.000	8.530	0899205835	深Ａ	0	1100	
300463	迈克生物	9400	9400	0	0	29566.59	5.864	533732.00	53.635	56.780	0899205835	深Ａ	9400	9400	
300457	赢合科技	5400	5400	0	0	-2335.69	-1.346	171180.00	32.133	31.700	0899205835	深Ａ	5400	5400	
300438	鹏辉能源	3600	3600	0	0	-656.71	-1.033	62928.00	17.662	17.480	0899205835	深Ａ	3600	3600	
300418	昆仑万维	7400	7400	0	23500	44120.15	31.318	185000.00	19.038	25.000	0899205835	深Ａ	7400	30900	
300413	芒果超媒	300	300	0	0	22814.35	0.000	18675.00	-13.798	62.250	0899205835	深Ａ	300	300	
300406	九强生物	2000	2000	0	0	-255.18	-0.565	44900.00	22.578	22.450	0899205835	深Ａ	2000	2000	
300378	鼎捷软件	17400	17400	0	0	7433.80	3.084	248472.00	13.853	14.280	0899205835	深Ａ	17400	17400	
300373	扬杰科技	20700	20700	0	0	-6724.18	-0.979	680409.00	33.195	32.870	0899205835	深Ａ	20700	20700	
300357	我武生物	1700	1700	0	0	2989.22	3.037	101405.00	57.892	59.650	0899205835	深Ａ	1700	1700	
300326	凯利泰	21400	0	21400	0	-1251.04	-0.214	583792.00	27.338	27.280	0899205835	深Ａ	21400	0	
300315	掌趣科技	24300	24300	0	0	12600.47	7.092	190269.00	7.311	7.830	0899205835	深Ａ	24300	24300	
300302	同有科技	28800	28800	0	0	-3150.92	-0.841	371520.00	13.009	12.900	0899205835	深Ａ	28800	28800	
300280	紫天科技	6000	0	6000	0	2899.13	1.002	292260.00	48.227	48.710	0899205835	深Ａ	6000	0	
300274	阳光电源	0	0	0	24200	39251.20	0.000	0.00	0.000	14.960	0899205835	深Ａ	0	24200	
300259	新天科技	20500	20500	0	0	14.09	0.012	118490.00	5.779	5.780	0899205835	深Ａ	20500	20500	
300251	光线传媒	5300	5300	0	43700	45390.82	245.699	63865.00	3.486	12.050	0899205835	深Ａ	5300	49000	
300244	迪安诊断	1305	1305	0	0	9759.07	28.400	44122.05	26.332	33.810	0899205835	深Ａ	1305	1305	
300233	金城医药	14000	14000	0	0	-3157.88	-0.695	451360.00	32.466	32.240	0899205835	深Ａ	14000	14000	
300223	北京君正	3200	3200	0	0	-9370.18	-2.788	326720.00	105.028	102.100	0899205835	深Ａ	3200	3200	
300203	聚光科技	30400	30400	0	0	-75371.07	-12.900	508896.00	19.219	16.740	0899205835	深Ａ	30400	30400	
300190	维尔利	0	0	0	45700	-19433.48	0.000	0.00	0.000	7.650	0899205835	深Ａ	0	45700	
300188	美亚柏科	2100	2100	0	0	1851.69	4.463	43344.00	19.758	20.640	0899205835	深Ａ	2100	2100	
300174	元力股份	5100	5100	0	0	2916.51	3.155	95370.00	18.128	18.700	0899205835	深Ａ	5100	5100	
300171	东富龙	21700	21700	0	0	-12604.40	-3.531	344379.00	16.451	15.870	0899205835	深Ａ	21700	21700	
300149	量子生物	4500	4500	0	0	44916.30	93.209	93105.00	10.709	20.690	0899205835	深Ａ	4500	4500	
300144	宋城演艺	60	60	0	27340	9393.85	0.000	1068.60	-138.754	17.810	0899205835	深Ａ	60	27400	
300119	瑞普生物	0	0	0	31	72005.29	0.000	0.00	0.000	21.900	0899205835	深Ａ	0	31	
300113	顺网科技	15600	15600	0	0	8398.05	2.211	388284.00	24.352	24.890	0899205835	深Ａ	15600	15600	
300073	当升科技	0	0	0	5100	-2307.01	0.000	0.00	0.000	33.030	0899205835	深Ａ	0	5100	
300037	新宙邦	8200	8200	0	0	-5061.41	-1.119	447064.00	55.137	54.520	0899205835	深Ａ	8200	8200	
300009	安科生物	18900	18900	0	0	-14402.26	-4.283	321867.00	17.792	17.030	0899205835	深Ａ	18900	18900	
002891	中宠股份	2000	0	2000	0	-661.59	-0.798	82220.00	41.441	41.110	0899205835	深Ａ	2000	0	
002851	麦格米特	0	0	0	4200	1186.59	0.000	0.00	0.000	25.890	0899205835	深Ａ	0	4200	
002798	帝欧家居	3900	3900	0	0	8015.01	6.173	137865.00	33.295	35.350	0899205835	深Ａ	3900	3900	
002791	坚朗五金	4700	0	4700	0	-707.65	-0.185	382533.00	81.541	81.390	0899205835	深Ａ	4700	0	
002776	柏堡龙	200	200	0	21300	9134.18	0.000	1766.00	-36.841	8.830	0899205835	深Ａ	200	21500	
002732	燕塘乳业	1100	1100	0	0	227.12	0.950	24145.00	21.744	21.950	0899205835	深Ａ	1100	1100	
002683	宏大爆破	7200	7200	0	0	-8631.48	-3.257	256392.00	36.809	35.610	0899205835	深Ａ	7200	7200	
002675	东诚药业	10200	0	10200	0	-1063.15	-0.529	199818.00	19.694	19.590	0899205835	深Ａ	10200	0	
002643	万润股份	400	400	0	0	3953.70	133.108	6924.00	7.426	17.310	0899205835	深Ａ	400	400	
002623	亚玛顿	3300	3300	0	0	959.97	0.668	144606.00	43.529	43.820	0899205835	深Ａ	3300	3300	
002603	以岭药业	22700	22700	0	0	-13755.91	-1.925	700976.00	31.486	30.880	0899205835	深Ａ	22700	22700	
002602	世纪华通	0	0	0	48100	-11527.17	0.000	0.00	0.000	15.150	0899205835	深Ａ	0	48100	
002600	领益智造	45100	0	45100	0	692.22	0.142	489786.00	10.845	10.860	0899205835	深Ａ	45100	0	
002581	未名医药	25900	0	25900	0	-9389.15	-1.340	691530.00	27.063	26.700	0899205835	深Ａ	25900	0	
002539	云图控股	0	0	0	11700	1004.30	0.000	0.00	0.000	6.970	0899205835	深Ａ	0	11700	
002518	科士达	11200	11200	0	0	7158.99	5.109	147280.00	12.511	13.150	0899205835	深Ａ	11200	11200	
002481	双塔食品	15300	15300	0	0	-7391.40	-2.621	274635.00	18.433	17.950	0899205835	深Ａ	15300	15300	
002466	天齐锂业	18700	0	18700	0	-1101.35	-0.264	415701.00	22.289	22.230	0899205835	深Ａ	18700	0	
002459	晶澳科技	500	500	0	11200	17352.67	0.000	9370.00	-15.965	18.740	0899205835	深Ａ	500	11700	
002438	江苏神通	19300	19300	0	8100	2629.30	1.643	162699.00	8.294	8.430	0899205835	深Ａ	19300	27400	
002395	双象股份	700	700	0	0	37.58	0.295	12775.00	18.196	18.250	0899205835	深Ａ	700	700	
002382	蓝帆医疗	20200	20200	0	0	29254.54	5.202	591658.00	27.842	29.290	0899205835	深Ａ	20200	20200	
002375	亚厦股份	0	0	0	43900	36388.91	0.000	0.00	0.000	10.350	0899205835	深Ａ	0	43900	
002352	顺丰控股	0	0	0	1200	38534.91	0.000	0.00	0.000	55.930	0899205835	深Ａ	0	1200	
002351	漫步者	32700	0	32700	0	200.54	0.029	692586.00	21.174	21.180	0899205835	深Ａ	32700	0	
002322	理工环科	100	100	0	0	35.75	2.871	1281.00	12.453	12.810	0899205835	深Ａ	100	100	
002317	众生药业	44700	44700	0	0	86215.94	12.222	791637.00	15.781	17.710	0899205835	深Ａ	44700	44700	
002299	圣农发展	0	0	0	1400	42681.39	0.000	0.00	0.000	29.420	0899205835	深Ａ	0	1400	
002239	奥特佳	165000	0	165000	0	-753.38	-0.108	696300.00	4.225	4.220	0899205835	深Ａ	165000	0	
002214	大立科技	25200	25200	0	0	3931.76	0.553	715176.00	28.224	28.380	0899205835	深Ａ	25200	25200	
002174	游族网络	0	0	0	50	-284.24	0.000	0.00	0.000	25.430	0899205835	深Ａ	0	50	
002129	中环股份	0	0	0	29700	48662.75	0.000	0.00	0.000	22.790	0899205835	深Ａ	0	29700	
002126	银轮股份	900	900	0	0	25300.03	0.000	11790.00	-15.011	13.100	0899205835	深Ａ	900	900	
002125	湘潭电化	71620	71620	0	0	23444.19	3.596	675376.60	9.103	9.430	0899205835	深Ａ	71620	71620	
002079	苏州固锝	33900	33900	0	0	-7629.66	-1.740	430869.00	12.935	12.710	0899205835	深Ａ	33900	33900	
002050	三花智控	14100	14100	0	0	33301.31	12.175	306816.00	19.398	21.760	0899205835	深Ａ	14100	14100	
002030	达安基因	26000	26000	0	0	-20853.37	-2.970	681200.00	27.002	26.200	0899205835	深Ａ	26000	26000	
000989	九 芝 堂	0	0	0	14300	-2073.16	0.000	0.00	0.000	10.120	0899205835	深Ａ	0	14300	
000851	高鸿股份	0	0	0	86400	-26612.95	0.000	0.00	0.000	8.090	0899205835	深Ａ	0	86400	
000777	中核科技	27300	27300	0	0	-2432.89	-0.738	327054.00	12.069	11.980	0899205835	深Ａ	27300	27300	
000710	贝瑞基因	11900	11900	0	0	-33873.36	-4.725	683060.00	60.247	57.400	0899205835	深Ａ	11900	11900	
000681	视觉中国	6700	6700	0	1700	-41329.57	-24.636	126429.00	25.039	18.870	0899205835	深Ａ	6700	8400	
000636	风华高科	12000	0	12000	0	-1436.32	-0.403	355200.00	29.720	29.600	0899205835	深Ａ	12000	0	
000568	泸州老窖	7000	0	7000	0	5450.49	0.719	763700.00	108.321	109.100	0899205835	深Ａ	7000	0	
000513	丽珠集团	1000	1000	0	0	30866.46	194.330	46750.00	15.884	46.750	0899205835	深Ａ	1000	1000	
000503	国新健康	1500	1500	0	0	1661.99	9.760	18690.00	11.352	12.460	0899205835	深Ａ	1500	1500	
000100	TCL科技	117000	0	117000	0	-2032.92	-0.279	727740.00	6.237	6.220	0899205835	深Ａ	117000	0	
000030	富奥股份	900	900	0	0	-25013.75	-82.221	5409.00	33.803	6.010	0899205835	深Ａ	900	900	
000009	中国宝安	50800	50800	0	0	-7199.07	-1.653	428244.00	8.572	8.430	0899205835	深Ａ	50800	50800	

------------------------------
保存时间：2020-07-02  13:01:37 
