标题：资金股票
营业部名称：中航信交易7-1
股东：鸣石傲华７

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
260600086508	人民币	3450649.760	3015462.810	34053183.420	37068647.230	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
002608	江苏国信	26300	26300	0	0	-4963.10	-2.673	180681.00	7.059	6.870	0899193145	深Ａ	26300	26300	
000543	皖能电力	13300	13300	0	0	1318.99	2.395	56392.00	4.141	4.240	0899193145	深Ａ	13300	13300	
002682	龙洲股份	85700	85700	0	0	6371.78	1.789	362511.00	4.156	4.230	0899193145	深Ａ	85700	85700	
002701	奥瑞金	0	0	0	21	58732.94	0.000	0.00	0.000	5.430	0899193145	深Ａ	0	21	
002703	浙江世宝	39900	39900	0	0	11219.90	6.049	196707.00	4.649	4.930	0899193145	深Ａ	39900	39900	
002721	金一文化	133800	133800	0	0	-5777.32	-0.976	586044.00	4.423	4.380	0899193145	深Ａ	133800	133800	
002729	好利来	700	700	0	0	-2346.43	-8.590	24969.00	39.022	35.670	0899193145	深Ａ	700	700	
002730	电光科技	0	0	0	20	42654.26	0.000	0.00	0.000	9.620	0899193145	深Ａ	0	20	
002732	燕塘乳业	2000	2000	0	0	3947.58	7.569	56100.00	26.076	28.050	0899193145	深Ａ	2000	2000	
002743	富煌钢构	75500	75500	0	0	14222.62	2.623	556435.00	7.182	7.370	0899193145	深Ａ	75500	75500	
002775	文科园林	200	200	0	0	31.79	3.027	1082.00	5.251	5.410	0899193145	深Ａ	200	200	
002786	银宝山新	10800	10800	0	0	122.12	0.137	89316.00	8.259	8.270	0899193145	深Ａ	10800	10800	
002787	华源控股	2000	2000	0	0	512.17	3.595	14760.00	7.124	7.380	0899193145	深Ａ	2000	2000	
002863	今飞凯达	2200	2200	0	0	493.65	4.205	12232.00	5.336	5.560	0899193145	深Ａ	2200	2200	
002865	钧达股份	2900	2900	0	0	-1765.64	-4.089	41412.00	14.889	14.280	0899193145	深Ａ	2900	2900	
002899	英派斯	3000	3000	0	0	1005.77	2.439	42240.00	13.745	14.080	0899193145	深Ａ	3000	3000	
002937	兴瑞科技	300	300	0	0	-126.99	-2.548	4857.00	16.613	16.190	0899193145	深Ａ	300	300	
082921	联诚配债	198	198	0	0	0.00	0.000	0.00	0.000	1.000	0899193145	深Ａ	198	198	
300005	探路者	14400	14400	0	0	3444.25	5.861	62208.00	4.081	4.320	0899193145	深Ａ	14400	14400	
300032	金龙机电	44800	44800	0	0	-4520.57	-2.227	198464.00	4.531	4.430	0899193145	深Ａ	44800	44800	
300092	科新机电	0	0	0	40	-28049.57	0.000	0.00	0.000	8.940	0899193145	深Ａ	0	40	
300103	达刚控股	1700	1700	0	0	1224.63	7.277	18054.00	9.900	10.620	0899193145	深Ａ	1700	1700	
300105	龙源技术	46600	46600	0	0	-505.71	-0.255	198050.00	4.261	4.250	0899193145	深Ａ	46600	46600	
300126	锐奇股份	29300	29300	0	0	-27238.20	-12.445	191622.00	7.470	6.540	0899193145	深Ａ	29300	29300	
002487	大金重工	1000	1000	0	0	19484.54	0.000	7160.00	-12.325	7.160	0899193145	深Ａ	1000	1000	
300150	世纪瑞尔	45900	45900	0	0	-1878.78	-0.878	212058.00	4.661	4.620	0899193145	深Ａ	45900	45900	
300172	中电环保	35300	35300	0	0	-15.91	-0.009	184619.00	5.230	5.230	0899193145	深Ａ	35300	35300	
300193	佳士科技	800	800	0	0	123.78	2.104	6008.00	7.355	7.510	0899193145	深Ａ	800	800	
300218	安利股份	36201	36201	0	0	15971.21	5.585	301916.34	7.899	8.340	0899193145	深Ａ	36201	36201	
002546	新联电子	6700	6700	0	0	865.40	3.089	28877.00	4.181	4.310	0899193145	深Ａ	6700	6700	
300306	远方信息	31700	31700	0	0	5723.77	1.702	342043.00	10.609	10.790	0899193145	深Ａ	31700	31700	
300329	海伦钢琴	21200	21200	0	0	-5727.38	-3.513	157304.00	7.690	7.420	0899193145	深Ａ	21200	21200	
300335	迪森股份	12000	12000	0	0	-131.83	-0.223	59040.00	4.931	4.920	0899193145	深Ａ	12000	12000	
300344	太空智造	29000	29000	0	0	-3189.68	-2.391	130210.00	4.600	4.490	0899193145	深Ａ	29000	29000	
300371	汇中股份	16100	16100	0	0	-5990.03	-2.114	277403.00	17.602	17.230	0899193145	深Ａ	16100	16100	
300403	汉宇集团	34300	34300	0	0	3618.25	1.820	202370.00	5.795	5.900	0899193145	深Ａ	34300	34300	
300254	仟源医药	9800	9800	0	0	-1000.61	-1.368	72128.00	7.462	7.360	0899193145	深Ａ	9800	9800	
000514	渝 开 发	132400	132400	0	0	-16453.69	-2.894	552108.00	4.294	4.170	0899193145	深Ａ	132400	132400	
000059	华锦股份	32600	32600	0	0	-1515.89	-0.921	163000.00	5.046	5.000	0899193145	深Ａ	32600	32600	
300445	康斯特	5900	5900	0	0	7243.56	8.311	94400.00	14.772	16.000	0899193145	深Ａ	5900	5900	
000603	盛达资源	0	0	0	41700	131351.81	0.000	0.00	0.000	18.230	0899193145	深Ａ	0	41700	
300555	路通视信	9900	9900	0	0	-2104.77	-2.372	86625.00	8.963	8.750	0899193145	深Ａ	9900	9900	
300599	雄塑科技	12500	12500	0	0	-2016.64	-1.164	171250.00	13.861	13.700	0899193145	深Ａ	12500	12500	
300619	金银河	12500	12500	0	0	4404.34	1.556	287500.00	22.648	23.000	0899193145	深Ａ	12500	12500	
300641	正丹股份	22900	22900	0	0	6689.40	5.916	119767.00	4.938	5.230	0899193145	深Ａ	22900	22900	
300647	超频三	46900	46900	0	0	-3302.78	-0.765	428197.00	9.200	9.130	0899193145	深Ａ	46900	46900	
300665	飞鹿股份	3600	3600	0	0	1146.50	3.059	38628.00	10.412	10.730	0899193145	深Ａ	3600	3600	
300694	蠡湖股份	22300	22300	0	0	11537.78	4.102	292799.00	12.613	13.130	0899193145	深Ａ	22300	22300	
300697	电工合金	9500	9500	0	0	-1297.07	-0.739	174230.00	18.477	18.340	0899193145	深Ａ	9500	9500	
300717	华信新材	6100	6100	0	0	8886.45	9.086	106689.00	16.033	17.490	0899193145	深Ａ	6100	6100	
300733	西菱动力	0	0	0	3900	2782.33	0.000	0.00	0.000	11.300	0899193145	深Ａ	0	3900	
300745	欣锐科技	700	700	0	0	4951.38	57.853	13510.00	12.227	19.300	0899193145	深Ａ	700	700	
511990	华宝添益	49386	49386	0	0	85930.70	1.771	4939143.25	98.271	100.011	B882678523	沪Ａ	49386	49386	
600012	皖通高速	31200	31200	0	0	-3306.62	-1.968	164736.00	5.386	5.280	B882678523	沪Ａ	31200	31200	
600096	云天化	22100	22100	0	0	4711.02	4.292	114478.00	4.967	5.180	B882678523	沪Ａ	22100	22100	
600098	广州发展	22528	22528	0	0	-2110.94	-1.577	131788.80	5.944	5.850	B882678523	沪Ａ	22528	22528	
600099	林海股份	8600	8600	0	0	3556.08	6.031	62522.00	6.857	7.270	B882678523	沪Ａ	8600	8600	
600135	乐凯胶片	5200	5200	0	0	-377.36	-0.994	37596.00	7.303	7.230	B882678523	沪Ａ	5200	5200	
600173	卧龙地产	36300	36300	0	0	20959.60	11.383	205095.00	5.073	5.650	B882678523	沪Ａ	36300	36300	
600192	长城电工	38100	38100	0	0	5950.97	3.109	197358.00	5.024	5.180	B882678523	沪Ａ	38100	38100	
600230	沧州大化	27900	27900	0	0	-20092.39	-7.012	266445.00	10.270	9.550	B882678523	沪Ａ	27900	27900	
600248	延长化建	35100	35100	0	0	-353.58	-0.232	152334.00	4.350	4.340	B882678523	沪Ａ	35100	35100	
600281	太化股份	16700	16700	0	0	2657.06	3.908	70641.00	4.071	4.230	B882678523	沪Ａ	16700	16700	
000404	长虹华意	27100	27100	0	0	-1647.41	-1.539	105419.00	3.951	3.890	0899193145	深Ａ	27100	27100	
600302	标准股份	36400	36400	0	0	16345.63	10.465	172536.00	4.291	4.740	B882678523	沪Ａ	36400	36400	
