标题：资金股票
营业部名称：华泰证券(135)
股东：鸣石量化五号
资金余额：1417038.80 	 可取金额：938080.68
冻结金额：0.00 	 股票市值：19522817.00
可用余额：938080.68 	 总 资 产：20464031.67

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
600515	海航基础	10600	10600	0	8.045	8.054	7.240	-10.11	-8618.953	76744.000	上海Ａ	B881977495	0	
600528	中铁工业	4600	4600	0	9.981	9.992	9.430	-5.63	-2583.846	43378.000	上海Ａ	B881977495	0	
600535	天士力	3900	3900	0	16.969	16.988	16.330	-3.87	-2563.429	63687.000	上海Ａ	B881977495	0	
600545	卓郎智能	0	0	0	5.290	5.290	5.280	-0.19	1632.520	0.000	上海Ａ	B881977495	0	
600549	厦门钨业	3800	3600	0	14.640	14.656	14.960	2.07	1152.330	56848.000	上海Ａ	B881977495	200	
600557	康缘药业	1764	1764	0	12.181	12.196	14.300	17.25	3707.186	25225.200	上海Ａ	B881977495	0	
600563	法拉电子	600	600	0	61.115	61.186	57.240	-6.45	-2365.031	34344.000	上海Ａ	B881977495	0	
600580	卧龙电驱	3200	3200	0	12.701	12.716	11.990	-5.71	-2319.335	38368.000	上海Ａ	B881977495	0	
600597	光明乳业	2700	2700	0	12.345	12.359	16.650	34.72	11572.646	44955.000	上海Ａ	B881977495	0	
600611	大众交通	500	500	0	3.197	3.210	3.930	22.49	359.496	1965.000	上海Ａ	B881977495	0	
600623	华谊集团	2400	2400	0	5.174	5.181	5.550	7.12	883.814	13320.000	上海Ａ	B881977495	0	
600633	浙数文化	3300	3300	0	8.878	8.889	10.260	15.43	4521.065	33858.000	上海Ａ	B881977495	0	
600639	浦东金桥	1400	1300	0	15.715	15.735	14.990	-4.73	-1041.406	20986.000	上海Ａ	B881977495	100	
600640	号百控股	1300	1300	0	17.355	17.377	19.000	9.35	2108.306	24700.000	上海Ａ	B881977495	0	
600643	爱建集团	4000	4000	0	9.411	9.422	8.610	-8.62	-3244.129	34440.000	上海Ａ	B881977495	0	
600645	中源协和	1400	0	0	14.529	14.547	24.520	68.57	13947.385	34328.000	上海Ａ	B881977495	1400	
600649	城投控股	0	0	0	6.002	6.002	5.810	-3.20	-738.430	0.000	上海Ａ	B881977495	0	
600657	信达地产	3600	3500	0	5.591	5.598	4.710	-15.87	-3193.895	16956.000	上海Ａ	B881977495	100	
600667	太极实业	0	0	0	11.740	11.740	11.240	-4.26	1000.120	0.000	上海Ａ	B881977495	0	
600673	东阳光	9400	9400	0	6.931	6.939	7.760	11.84	7710.903	72944.000	上海Ａ	B881977495	0	
600675	中华企业	5986	86	0	4.586	4.592	4.170	-9.18	-2520.637	24961.620	上海Ａ	B881977495	5900	
600694	大商股份	900	0	0	26.080	26.112	26.180	0.26	60.967	23562.000	上海Ａ	B881977495	900	
600699	均胜电子	1700	1700	0	27.566	27.597	22.110	-19.89	-9318.539	37587.000	上海Ａ	B881977495	0	
600704	物产中大	10400	10400	0	4.717	4.722	4.500	-4.71	-2309.536	46800.000	上海Ａ	B881977495	0	
600707	彩虹股份	2800	2800	0	4.967	4.974	4.550	-8.53	-1185.595	12740.000	上海Ａ	B881977495	0	
600717	天津港	4200	4200	0	4.753	4.759	4.580	-3.76	-751.221	19236.000	上海Ａ	B881977495	0	
600718	东软集团	3600	3600	0	12.061	12.075	11.730	-2.86	-1239.673	42228.000	上海Ａ	B881977495	0	
600728	佳都科技	0	0	0	9.760	9.760	9.070	-7.07	-2083.620	0.000	上海Ａ	B881977495	0	
600729	重庆百货	1000	1000	0	30.073	30.109	31.000	2.96	890.380	31000.000	上海Ａ	B881977495	0	
600733	北汽蓝谷	4600	4600	0	6.636	6.644	6.510	-2.02	-615.145	29946.000	上海Ａ	B881977495	0	
600737	中粮糖业	4400	4400	0	8.151	8.160	7.980	-2.21	-793.214	35112.000	上海Ａ	B881977495	0	
600748	XD上实发	7481	7481	0	5.131	5.137	5.380	4.73	1816.716	40247.780	上海Ａ	B881977495	0	
600754	锦江酒店	1400	0	0	37.470	37.512	37.550	0.10	53.122	52570.000	上海Ａ	B881977495	1400	
600755	厦门国贸	5300	5300	0	7.358	7.366	6.790	-7.83	-3052.107	35987.000	上海Ａ	B881977495	0	
600757	长江传媒	2600	2600	0	5.860	5.868	5.310	-9.51	-1449.082	13806.000	上海Ａ	B881977495	0	
600770	综艺股份	3300	2900	0	4.882	4.889	5.590	14.35	2312.584	18447.000	上海Ａ	B881977495	400	
600779	水井坊	900	800	0	68.908	68.985	66.000	-4.33	-2683.728	59400.000	上海Ａ	B881977495	100	
600782	新钢股份	6400	6400	0	4.547	4.552	4.290	-5.76	-1677.805	27456.000	上海Ａ	B881977495	0	
600787	中储股份	3600	3600	0	5.340	5.347	4.990	-6.68	-1283.323	17964.000	上海Ａ	B881977495	0	
600801	华新水泥	2900	2900	0	26.790	26.820	25.700	-4.18	-3244.474	74530.000	上海Ａ	B881977495	0	
600804	鹏博士	5300	0	0	9.355	9.365	8.360	-10.74	-5323.694	44308.000	上海Ａ	B881977495	5300	
600820	隧道股份	8000	8000	0	6.178	6.185	6.020	-2.67	-1318.123	48160.000	上海Ａ	B881977495	0	
600823	世茂股份	6400	6100	0	4.950	4.956	4.380	-11.62	-3681.593	28032.000	上海Ａ	B881977495	300	
600827	百联股份	4900	0	0	-8.649	0.000	18.720	146.20	134005.365	91728.000	上海Ａ	B881977495	4900	
600835	上海机电	1400	1400	0	16.849	16.870	16.540	-1.96	-461.219	23156.000	上海Ａ	B881977495	0	
600845	宝信软件	1400	1400	0	67.890	67.966	70.490	3.71	3529.472	98686.000	上海Ａ	B881977495	0	
600869	智慧能源	0	0	0	4.170	4.170	4.040	-3.12	-562.720	0.000	上海Ａ	B881977495	0	
600875	东方电气	4600	4400	0	9.667	9.678	9.640	-0.39	-174.431	44344.000	上海Ａ	B881977495	200	
600879	航天电子	27400	0	0	7.422	7.430	7.600	2.28	4643.971	208240.000	上海Ａ	B881977495	27400	
600884	杉杉股份	3400	0	0	10.881	10.894	10.870	-0.22	-80.097	36958.000	上海Ａ	B881977495	3400	
