标题：资金股票
营业部名称：YH4
股东：鸣石量化21号
资金余额：1484874.52 	 可取金额：940266.85
冻结金额：0.00 	 股票市值：16952819.13
可用余额：940266.85 	 总 资 产：17895616.44

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	市价	盈亏比例()	市值	盈亏	交易市场	股东帐户	
511990	华宝添益	12	12	0	-1073.096	100.011	0.000	1200.130	14077.280	上海Ａ股	B882807392	
600006	东风汽车	14600	14600	0	4.276	4.310	0.795	62926.000	500.520	上海Ａ股	B882807392	
600057	厦门象屿	35000	35000	0	6.371	6.680	4.850	233800.000	10819.420	上海Ａ股	B882807392	
600089	特变电工	55000	0	0	8.642	8.730	1.018	480150.000	4854.760	上海Ａ股	B882807392	
600093	易见股份	0	0	0	14.200	13.920	-1.972	0.000	-17999.540	上海Ａ股	B882807392	
600118	中国卫星	0	0	0	36.383	35.330	-2.894	0.000	-7671.500	上海Ａ股	B882807392	
600161	天坛生物	10300	10300	0	47.668	49.630	4.116	511189.000	20208.800	上海Ａ股	B882807392	
600295	鄂尔多斯	0	0	0	8.950	9.850	10.056	0.000	3702.780	上海Ａ股	B882807392	
600318	新力金融	0	0	0	11.139	11.600	4.139	0.000	14062.650	上海Ａ股	B882807392	
600337	美克家居	13100	13100	0	5.082	5.020	-1.220	65762.000	-815.290	上海Ａ股	B882807392	
600422	昆药集团	7000	0	0	11.562	11.670	0.934	81690.000	753.710	上海Ａ股	B882807392	
600429	三元股份	10500	10500	0	5.796	5.830	0.587	61215.000	361.820	上海Ａ股	B882807392	
600449	宁夏建材	6800	0	0	17.865	18.420	3.107	125256.000	3775.910	上海Ａ股	B882807392	
600501	航天晨光	1900	0	0	11.484	11.590	0.923	22021.000	201.240	上海Ａ股	B882807392	
600519	贵州茅台	300	300	0	1649.657	1678.180	1.729	503454.000	8557.040	上海Ａ股	B882807392	
600611	大众交通	12100	12100	0	4.520	3.990	-11.726	48279.000	-6411.940	上海Ａ股	B882807392	
600812	华北制药	30400	400	0	16.096	17.590	9.282	534736.000	45420.110	上海Ａ股	B882807392	
600829	人民同泰	700	700	0	8.492	8.700	2.449	6090.000	145.810	上海Ａ股	B882807392	
600845	宝信软件	3300	0	0	70.836	71.250	0.584	235125.000	1367.370	上海Ａ股	B882807392	
600894	广日股份	46800	46800	0	7.845	7.600	-3.123	355680.000	-11453.980	上海Ａ股	B882807392	
601038	一拖股份	29900	29900	0	13.730	13.620	-0.801	407238.000	-3284.120	上海Ａ股	B882807392	
