-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值          融券利息        已还利息        逾期罚息        已还罚息        展期结转费用        合约参考盈亏        状态说明        合约本金状态        券源标识        
15044         20200629        20201228        300285          国瓷材料        400             400             0               0.00                0                   32.970         0.00              0.00            0.00            0.00            0.00            0.00                -1552.58            已偿还          本金已还完          预约券源        
15045         20200629        20201228        300009          安科生物        100             100             0               0.00                0                   16.310         0.00              0.00            0.00            0.00            0.00            0.00                -481.83             已偿还          本金已还完          预约券源        
15048         20200629        20201228        300496          中科创达        200             200             0               0.00                0                   75.820         0.00              0.00            0.00            0.00            0.00            0.00                -5775.96            已偿还          本金已还完          预约券源        
15049         20200629        20201228        002124          天邦股份        100             100             0               0.00                0                   11.740         0.00              0.00            0.00            0.00            0.00            0.00                -549.37             已偿还          本金已还完          预约券源        
15050         20200629        20201228        600754          锦江酒店        100             100             0               0.00                0                   27.540         0.00              0.00            0.00            0.00            0.00            0.00                -1101.01            已偿还          本金已还完          预约券源        
15053         20200629        20201228        300115          长盈精密        200             200             0               0.00                0                   21.580         0.00              0.00            0.00            0.00            0.00            0.00                -769.32             已偿还          本金已还完          预约券源        
15054         20200629        20201228        603338          浙江鼎力        100             100             0               0.00                0                   75.130         0.00              0.00            0.00            0.00            0.00            0.00                -1175.76            已偿还          本金已还完          预约券源        
15056         20200629        20201228        603939          益丰药房        100             100             0               0.00                0                   86.390         0.00              0.00            0.00            0.00            0.00            0.00                -609.51             已偿还          本金已还完          预约券源        
15058         20200629        20201228        300253          卫宁健康        700             700             0               0.00                0                   20.880         0.00              0.00            0.00            0.00            0.00            0.00                -3061.82            已偿还          本金已还完          预约券源        
15059         20200629        20201228        600529          山东药玻        300             300             0               0.00                0                   55.020         0.00              0.00            0.00            0.00            0.00            0.00                -1986.84            已偿还          本金已还完          预约券源        
15060         20200629        20201228        002185          华天科技        900             900             0               0.00                0                   13.460         0.00              0.00            0.00            0.00            0.00            0.00                -4855.51            已偿还          本金已还完          预约券源        
15062         20200629        20201228        601869          长飞光纤        100             100             0               0.00                0                   30.880         0.00              0.00            0.00            0.00            0.00            0.00                -250.95             已偿还          本金已还完          预约券源        
15063         20200629        20201228        002183          怡 亚 通        200             200             0               0.00                0                   5.380          0.00              0.00            0.00            0.00            0.00            0.00                -182.08             已偿还          本金已还完          预约券源        
15064         20200629        20201228        002183          怡 亚 通        200             200             0               0.00                0                   5.380          0.00              0.00            0.00            0.00            0.00            0.00                -182.08             已偿还          本金已还完          预约券源        
15065         20200629        20201228        000681          视觉中国        200             200             0               0.00                0                   18.630         0.00              0.00            0.00            0.00            0.00            0.00                -245.93             已偿还          本金已还完          预约券源        
15067         20200629        20201228        600460          士兰微          300             300             0               0.00                0                   14.600         0.00              0.00            0.00            0.00            0.00            0.00                -782.87             已偿还          本金已还完          预约券源        
15068         20200629        20201228        000718          苏宁环球        400             400             0               0.00                0                   3.040          0.00              0.00            0.00            0.00            0.00            0.00                -179.82             已偿还          本金已还完          预约券源        
15069         20200629        20201228        601098          中南传媒        300             300             0               0.00                0                   10.570         0.00              0.00            0.00            0.00            0.00            0.00                -200.23             已偿还          本金已还完          预约券源        
15070         20200629        20201228        002028          思源电气        300             300             0               0.00                0                   19.280         0.00              0.00            0.00            0.00            0.00            0.00                -1772.99            已偿还          本金已还完          预约券源        
15071         20200629        20201228        600737          中粮糖业        400             400             0               0.00                0                   7.790          0.00              0.00            0.00            0.00            0.00            0.00                -312.98             已偿还          本金已还完          预约券源        
15072         20200629        20201228        600291          西水股份        200             200             0               0.00                0                   8.860          0.00              0.00            0.00            0.00            0.00            0.00                -1110.81            已偿还          本金已还完          预约券源        
15073         20200629        20201228        000990          诚志股份        100             100             0               0.00                0                   12.370         0.00              0.00            0.00            0.00            0.00            0.00                -351.64             已偿还          本金已还完          预约券源        
15074         20200629        20201228        002268          卫 士 通        300             300             0               0.00                0                   20.930         0.00              0.00            0.00            0.00            0.00            0.00                -703.08             已偿还          本金已还完          预约券源        
15075         20200629        20201228        601615          明阳智能        100             100             0               0.00                0                   12.590         0.00              0.00            0.00            0.00            0.00            0.00                -189.89             已偿还          本金已还完          预约券源        
15077         20200629        20201228        000060          中金岭南        1400            1400            0               0.00                0                   3.720          0.00              0.00            0.00            0.00            0.00            0.00                -1386.41            已偿还          本金已还完          预约券源        
15078         20200629        20201228        603806          福斯特          100             100             0               0.00                0                   50.040         0.00              0.00            0.00            0.00            0.00            0.00                -939.20             已偿还          本金已还完          预约券源        
15079         20200629        20201228        603939          益丰药房        100             100             0               0.00                0                   86.380         0.00              0.00            0.00            0.00            0.00            0.00                -610.51             已偿还          本金已还完          预约券源        
15080         20200629        20201228        002444          巨星科技        100             100             0               0.00                0                   11.710         0.00              0.00            0.00            0.00            0.00            0.00                -314.67             已偿还          本金已还完          预约券源        
15081         20200629        20201228        300070          碧水源          500             500             0               0.00                0                   8.070          0.00              0.00            0.00            0.00            0.00            0.00                -566.04             已偿还          本金已还完          预约券源        
15082         20200629        20201228        000729          燕京啤酒        800             800             0               0.00                0                   6.650          0.00              0.00            0.00            0.00            0.00            0.00                -735.92             已偿还          本金已还完          预约券源        
15084         20200629        20201228        002124          天邦股份        100             100             0               0.00                0                   11.740         0.00              0.00            0.00            0.00            0.00            0.00                -549.37             已偿还          本金已还完          预约券源        
15085         20200629        20201228        002429          兆驰股份        700             700             0               0.00                0                   4.890          0.00              0.00            0.00            0.00            0.00            0.00                -1099.02            已偿还          本金已还完          预约券源        
15086         20200629        20201228        002156          通富微电        300             300             0               0.00                0                   24.570         0.00              0.00            0.00            0.00            0.00            0.00                -1716.07            已偿还          本金已还完          预约券源        
15087         20200629        20201228        300017          网宿科技        1100            1100            0               0.00                0                   8.460          0.00              0.00            0.00            0.00            0.00            0.00                -1694.01            已偿还          本金已还完          预约券源        
15088         20200629        20201228        601801          皖新传媒        300             300             0               0.00                0                   5.540          0.00              0.00            0.00            0.00            0.00            0.00                -120.09             已偿还          本金已还完          预约券源        
15089         20200629        20201228        002368          太极股份        100             100             0               0.00                0                   42.950         0.00              0.00            0.00            0.00            0.00            0.00                -616.44             已偿还          本金已还完          预约券源        
15090         20200629        20201228        600875          东方电气        500             500             0               0.00                0                   8.930          0.00              0.00            0.00            0.00            0.00            0.00                -589.06             已偿还          本金已还完          预约券源        
15091         20200629        20201228        002368          太极股份        100             100             0               0.00                0                   42.950         0.00              0.00            0.00            0.00            0.00            0.00                -616.44             已偿还          本金已还完          预约券源        
15092         20200629        20201228        600875          东方电气        500             500             0               0.00                0                   8.930          0.00              0.00            0.00            0.00            0.00            0.00                -589.06             已偿还          本金已还完          预约券源        
15093         20200629        20201228        002353          杰瑞股份        300             300             0               0.00                0                   30.640         0.00              0.00            0.00            0.00            0.00            0.00                -307.89             已偿还          本金已还完          预约券源        
15095         20200629        20201228        600557          康缘药业        100             100             0               0.00                0                   13.610         0.00              0.00            0.00            0.00            0.00            0.00                -172.49             已偿还          本金已还完          预约券源        
15097         20200629        20201228        600315          上海家化        100             100             0               0.00                0                   47.070         0.00              0.00            0.00            0.00            0.00            0.00                25.50               已偿还          本金已还完          预约券源        
15098         20200629        20201228        300324          旋极信息        300             300             0               0.00                0                   6.580          0.00              0.00            0.00            0.00            0.00            0.00                -237.37             已偿还          本金已还完          预约券源        
15099         20200629        20201228        300115          长盈精密        200             200             0               0.00                0                   21.550         0.00              0.00            0.00            0.00            0.00            0.00                -775.31             已偿还          本金已还完          预约券源        
15101         20200629        20201228        600380          健康元          100             100             0               0.00                0                   16.130         0.00              0.00            0.00            0.00            0.00            0.00                -512.54             已偿还          本金已还完          预约券源        
15102         20200629        20201228        600155          华创阳安        100             100             0               0.00                0                   11.940         0.00              0.00            0.00            0.00            0.00            0.00                -320.61             已偿还          本金已还完          预约券源        
15104         20200629        20201228        600153          建发股份        900             900             0               0.00                0                   8.090          0.00              0.00            0.00            0.00            0.00            0.00                -1655.83            已偿还          本金已还完          预约券源        
15105         20200629        20201228        600376          首开股份        200             200             0               0.00                0                   5.770          0.00              0.00            0.00            0.00            0.00            0.00                -213.97             已偿还          本金已还完          预约券源        
15107         20200629        20201228        601869          长飞光纤        100             100             0               0.00                0                   30.880         0.00              0.00            0.00            0.00            0.00            0.00                -250.95             已偿还          本金已还完          预约券源        
15111         20200629        20201228        603888          新华网          100             100             0               0.00                0                   22.300         0.00              0.00            0.00            0.00            0.00            0.00                -316.37             已偿还          本金已还完          预约券源        
15113         20200629        20201228        002273          水晶光电        700             700             0               0.00                0                   16.500         0.00              0.00            0.00            0.00            0.00            0.00                -703.95             已偿还          本金已还完          预约券源        
15114         20200629        20201228        601128          常熟银行        1500            1500            0               0.00                0                   7.520          0.00              0.00            0.00            0.00            0.00            0.00                -876.01             已偿还          本金已还完          预约券源        
15115         20200629        20201228        601128          常熟银行        1500            1500            0               0.00                0                   7.520          0.00              0.00            0.00            0.00            0.00            0.00                -876.01             已偿还          本金已还完          预约券源        
15116         20200629        20201228        001914          招商积余        100             100             0               0.00                0                   30.400         0.00              0.00            0.00            0.00            0.00            0.00                -548.44             已偿还          本金已还完          预约券源        
15117         20200629        20201228        603882          金域医学        100             100             0               0.00                0                   89.360         0.00              0.00            0.00            0.00            0.00            0.00                -687.52             已偿还          本金已还完          预约券源        
15123         20200629        20201228        601860          紫金银行        500             500             0               0.00                0                   4.170          0.00              0.00            0.00            0.00            0.00            0.00                -277.12             已偿还          本金已还完          预约券源        
15125         20200629        20201228        300002          神州泰岳        800             800             0               0.00                0                   6.430          0.00              0.00            0.00            0.00            0.00            0.00                -693.34             已偿还          本金已还完          预约券源        
15127         20200629        20201228        300002          神州泰岳        800             800             0               0.00                0                   6.430          0.00              0.00            0.00            0.00            0.00            0.00                -693.34             已偿还          本金已还完          预约券源        
15136         20200629        20201228        600039          四川路桥        1200            1200            0               0.00                0                   3.840          0.00              0.00            0.00            0.00            0.00            0.00                -712.90             已偿还          本金已还完          预约券源        
15137         20200629        20201228        600006          东风汽车        400             400             0               0.00                0                   4.030          0.00              0.00            0.00            0.00            0.00            0.00                -168.64             已偿还          本金已还完          预约券源        
15138         20200629        20201228        600021          上海电力        500             500             0               0.00                0                   7.350          0.00              0.00            0.00            0.00            0.00            0.00                -270.25             已偿还          本金已还完          预约券源        
15139         20200629        20201228        600058          五矿发展        100             100             0               0.00                0                   5.980          0.00              0.00            0.00            0.00            0.00            0.00                -109.31             已偿还          本金已还完          预约券源        
15140         20200629        20201228        600073          上海梅林        200             200             0               0.00                0                   9.280          0.00              0.00            0.00            0.00            0.00            0.00                -332.10             已偿还          本金已还完          预约券源        
15141         20200629        20201228        600141          兴发集团        200             200             0               0.00                0                   8.970          0.00              0.00            0.00            0.00            0.00            0.00                -237.83             已偿还          本金已还完          预约券源        
15143         20200629        20201228        600155          华创阳安        100             100             0               0.00                0                   11.940         0.00              0.00            0.00            0.00            0.00            0.00                -320.61             已偿还          本金已还完          预约券源        
15144         20200629        20201228        600291          西水股份        200             200             0               0.00                0                   8.860          0.00              0.00            0.00            0.00            0.00            0.00                -1110.82            已偿还          本金已还完          预约券源        
15145         20200629        20201228        600256          广汇能源        600             600             0               0.00                0                   2.710          0.00              0.00            0.00            0.00            0.00            0.00                -133.26             已偿还          本金已还完          预约券源        
15146         20200629        20201228        600380          健康元          400             400             0               0.00                0                   16.120         0.00              0.00            0.00            0.00            0.00            0.00                -2039.18            已偿还          本金已还完          预约券源        
15147         20200629        20201228        600460          士兰微          300             300             0               0.00                0                   14.590         0.00              0.00            0.00            0.00            0.00            0.00                -785.87             已偿还          本金已还完          预约券源        
15148         20200629        20201228        600428          中远海特        600             600             0               0.00                0                   3.010          0.00              0.00            0.00            0.00            0.00            0.00                -263.05             已偿还          本金已还完          预约券源        
15149         20200629        20201228        600580          卧龙电驱        300             300             0               0.00                0                   11.220         0.00              0.00            0.00            0.00            0.00            0.00                -489.34             已偿还          本金已还完          预约券源        
15151         20200629        20201228        600737          中粮糖业        400             400             0               0.00                0                   7.790          0.00              0.00            0.00            0.00            0.00            0.00                -312.98             已偿还          本金已还完          预约券源        
15152         20200629        20201228        600673          东阳光          800             800             0               0.00                0                   6.710          0.00              0.00            0.00            0.00            0.00            0.00                -508.08             已偿还          本金已还完          预约券源        
15153         20200629        20201228        600733          北汽蓝谷        1000            1000            0               0.00                0                   6.410          0.00              0.00            0.00            0.00            0.00            0.00                -1167.54            已偿还          本金已还完          预约券源        
15154         20200629        20201228        600717          天津港          400             400             0               0.00                0                   4.410          0.00              0.00            0.00            0.00            0.00            0.00                -180.00             已偿还          本金已还完          预约券源        
15155         20200629        20201228        600879          航天电子        300             300             0               0.00                0                   6.450          0.00              0.00            0.00            0.00            0.00            0.00                -225.08             已偿还          本金已还完          预约券源        
15156         20200629        20201228        600874          创业环保        200             200             0               0.00                0                   6.650          0.00              0.00            0.00            0.00            0.00            0.00                -148.36             已偿还          本金已还完          预约券源        
15157         20200629        20201228        600862          中航高科        100             100             0               0.00                0                   16.740         0.00              0.00            0.00            0.00            0.00            0.00                -376.10             已偿还          本金已还完          预约券源        
15158         20200629        20201228        600765          中航重机        200             200             0               0.00                0                   10.070         0.00              0.00            0.00            0.00            0.00            0.00                -430.85             已偿还          本金已还完          预约券源        
15159         20200629        20201228        600881          亚泰集团        900             900             0               0.00                0                   2.900          0.00              0.00            0.00            0.00            0.00            0.00                -607.06             已偿还          本金已还完          预约券源        
15161         20200629        20201228        000060          中金岭南        1400            1400            0               0.00                0                   3.720          0.00              0.00            0.00            0.00            0.00            0.00                -1386.41            已偿还          本金已还完          预约券源        
15162         20200629        20201228        000089          深圳机场        300             300             0               0.00                0                   7.580          0.00              0.00            0.00            0.00            0.00            0.00                -681.67             已偿还          本金已还完          预约券源        
15163         20200629        20201228        000158          常山北明        500             500             0               0.00                0                   9.850          0.00              0.00            0.00            0.00            0.00            0.00                -612.43             已偿还          本金已还完          预约券源        
15164         20200629        20201228        000050          深天马Ａ        400             400             0               0.00                0                   15.160         0.00              0.00            0.00            0.00            0.00            0.00                -584.26             已偿还          本金已还完          预约券源        
15165         20200629        20201228        601699          潞安环能        100             100             0               0.00                0                   5.550          0.00              0.00            0.00            0.00            0.00            0.00                -143.07             已偿还          本金已还完          预约券源        
15166         20200629        20201228        601969          海南矿业        100             100             0               0.00                0                   4.900          0.00              0.00            0.00            0.00            0.00            0.00                -93.70              已偿还          本金已还完          预约券源        
15167         20200629        20201228        000623          吉林敖东        500             500             0               0.00                0                   15.530         0.00              0.00            0.00            0.00            0.00            0.00                -1375.77            已偿还          本金已还完          预约券源        
15168         20200629        20201228        000488          晨鸣纸业        700             700             0               0.00                0                   4.960          0.00              0.00            0.00            0.00            0.00            0.00                -329.77             已偿还          本金已还完          预约券源        
15169         20200629        20201228        603888          新华网          100             100             0               0.00                0                   22.300         0.00              0.00            0.00            0.00            0.00            0.00                -316.37             已偿还          本金已还完          预约券源        
15170         20200629        20201228        603025          大豪科技        100             100             0               0.00                0                   7.200          0.00              0.00            0.00            0.00            0.00            0.00                -104.63             已偿还          本金已还完          预约券源        
15171         20200629        20201228        603515          欧普照明        100             100             0               0.00                0                   26.810         0.00              0.00            0.00            0.00            0.00            0.00                -400.43             已偿还          本金已还完          预约券源        
15172         20200629        20201228        000718          苏宁环球        400             400             0               0.00                0                   3.040          0.00              0.00            0.00            0.00            0.00            0.00                -179.82             已偿还          本金已还完          预约券源        
15173         20200629        20201228        000959          首钢股份        600             600             0               0.00                0                   4.280          0.00              0.00            0.00            0.00            0.00            0.00                -206.77             已偿还          本金已还完          预约券源        
15174         20200629        20201228        000877          天山股份        300             300             0               0.00                0                   14.630         0.00              0.00            0.00            0.00            0.00            0.00                -1078.59            已偿还          本金已还完          预约券源        
15175         20200629        20201228        000987          越秀金控        300             300             0               0.00                0                   11.600         0.00              0.00            0.00            0.00            0.00            0.00                -4585.88            已偿还          本金已还完          预约券源        
15176         20200629        20201228        000970          中科三环        100             100             0               0.00                0                   9.840          0.00              0.00            0.00            0.00            0.00            0.00                -101.28             已偿还          本金已还完          预约券源        
15177         20200629        20201228        000967          盈峰环境        400             400             0               0.00                0                   8.070          0.00              0.00            0.00            0.00            0.00            0.00                -279.03             已偿还          本金已还完          预约券源        
15179         20200629        20201228        001914          招商积余        100             100             0               0.00                0                   30.440         0.00              0.00            0.00            0.00            0.00            0.00                -544.44             已偿还          本金已还完          预约券源        
15180         20200629        20201228        002010          传化智联        500             500             0               0.00                0                   5.450          0.00              0.00            0.00            0.00            0.00            0.00                -309.23             已偿还          本金已还完          预约券源        
15181         20200629        20201228        600486          扬农化工        100             100             0               0.00                0                   81.860         0.00              0.00            0.00            0.00            0.00            0.00                -316.55             已偿还          本金已还完          预约券源        
15182         20200629        20201228        000998          隆平高科        300             300             0               0.00                0                   16.500         0.00              0.00            0.00            0.00            0.00            0.00                -287.75             已偿还          本金已还完          预约券源        
15183         20200629        20201228        600201          生物股份        300             300             0               0.00                0                   27.130         0.00              0.00            0.00            0.00            0.00            0.00                -419.50             已偿还          本金已还完          预约券源        
15184         20200629        20201228        002152          广电运通        300             300             0               0.00                0                   12.250         0.00              0.00            0.00            0.00            0.00            0.00                -620.38             已偿还          本金已还完          预约券源        
15185         20200629        20201228        600642          申能股份        400             400             0               0.00                0                   5.980          0.00              0.00            0.00            0.00            0.00            0.00                -21.04              已偿还          本金已还完          预约券源        
15186         20200629        20201228        002183          怡 亚 通        200             200             0               0.00                0                   5.380          0.00              0.00            0.00            0.00            0.00            0.00                -182.08             已偿还          本金已还完          预约券源        
15187         20200629        20201228        002458          益生股份        100             100             0               0.00                0                   15.280         0.00              0.00            0.00            0.00            0.00            0.00                -154.23             已偿还          本金已还完          预约券源        
15188         20200629        20201228        002440          闰土股份        400             400             0               0.00                0                   8.710          0.00              0.00            0.00            0.00            0.00            0.00                -425.28             已偿还          本金已还完          预约券源        
15189         20200629        20201228        002635          安洁科技        100             100             0               0.00                0                   23.790         0.00              0.00            0.00            0.00            0.00            0.00                -287.78             已偿还          本金已还完          预约券源        
15190         20200629        20201228        002268          卫 士 通        300             300             0               0.00                0                   20.920         0.00              0.00            0.00            0.00            0.00            0.00                -706.08             已偿还          本金已还完          预约券源        
15191         20200629        20201228        002595          豪迈科技        100             100             0               0.00                0                   19.040         0.00              0.00            0.00            0.00            0.00            0.00                -242.50             已偿还          本金已还完          预约券源        
15192         20200629        20201228        002506          协鑫集成        400             400             0               0.00                0                   2.670          0.00              0.00            0.00            0.00            0.00            0.00                -109.67             已偿还          本金已还完          预约券源        
15194         20200629        20201228        002511          中顺洁柔        400             400             0               0.00                0                   21.180         0.00              0.00            0.00            0.00            0.00            0.00                -2062.27            已偿还          本金已还完          预约券源        
15195         20200629        20201228        002373          千方科技        200             200             0               0.00                0                   23.910         0.00              0.00            0.00            0.00            0.00            0.00                -397.98             已偿还          本金已还完          预约券源        
15196         20200629        20201228        300024          机器人          500             500             0               0.00                0                   13.530         0.00              0.00            0.00            0.00            0.00            0.00                -812.27             已偿还          本金已还完          预约券源        
15197         20200629        20201228        603000          人民网          100             100             0               0.00                0                   19.850         0.00              0.00            0.00            0.00            0.00            0.00                -258.83             已偿还          本金已还完          预约券源        
15198         20200629        20201228        002572          索菲亚          200             200             0               0.00                0                   22.530         0.00              0.00            0.00            0.00            0.00            0.00                -275.11             已偿还          本金已还完          预约券源        
15199         20200629        20201228        002353          杰瑞股份        300             300             0               0.00                0                   30.630         0.00              0.00            0.00            0.00            0.00            0.00                -310.89             已偿还          本金已还完          预约券源        
15200         20200629        20201228        300115          长盈精密        200             200             0               0.00                0                   21.560         0.00              0.00            0.00            0.00            0.00            0.00                -773.31             已偿还          本金已还完          预约券源        
15201         20200629        20201228        300002          神州泰岳        800             800             0               0.00                0                   6.430          0.00              0.00            0.00            0.00            0.00            0.00                -693.34             已偿还          本金已还完          预约券源        
15203         20200629        20201228        300285          国瓷材料        400             400             0               0.00                0                   32.970         0.00              0.00            0.00            0.00            0.00            0.00                -1552.59            已偿还          本金已还完          预约券源        
15204         20200629        20201228        002701          奥瑞金          800             800             0               0.00                0                   4.160          0.00              0.00            0.00            0.00            0.00            0.00                -957.13             已偿还          本金已还完          预约券源        
15205         20200629        20201228        600804          鹏博士          600             600             0               0.00                0                   8.800          0.00              0.00            0.00            0.00            0.00            0.00                -860.59             已偿还          本金已还完          预约券源        
