-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值          融券利息        已还利息        逾期罚息        已还罚息        展期结转费用        合约参考盈亏        状态说明        合约本金状态        券源标识        
13032         20200629        20201228        600718          东软集团        500             500             0               0.00                0                   11.290         0.00              0.00            0.00            0.00            0.00            0.00                -909.76             已偿还          本金已还完          预约券源        
13034         20200629        20201228        600667          太极实业        700             700             0               0.00                0                   11.830         0.00              0.00            0.00            0.00            0.00            0.00                -789.74             已偿还          本金已还完          预约券源        
13035         20200629        20201228        600751          海航科技        1000            1000            0               0.00                0                   3.100          0.00              0.00            0.00            0.00            0.00            0.00                -447.16             已偿还          本金已还完          预约券源        
13036         20200629        20201228        600728          佳都科技        800             800             0               0.00                0                   9.080          0.00              0.00            0.00            0.00            0.00            0.00                -737.21             已偿还          本金已还完          预约券源        
13037         20200629        20201228        600765          中航重机        300             300             0               0.00                0                   10.110         0.00              0.00            0.00            0.00            0.00            0.00                -631.79             已偿还          本金已还完          预约券源        
13038         20200629        20201228        600748          上实发展        500             500             0               0.00                0                   5.080          0.00              0.00            0.00            0.00            0.00            0.00                -429.59             已偿还          本金已还完          预约券源        
13039         20200629        20201228        600754          锦江酒店        200             200             0               0.00                0                   27.540         0.00              0.00            0.00            0.00            0.00            0.00                -2197.02            已偿还          本金已还完          预约券源        
13040         20200629        20201228        600801          华新水泥        400             400             0               0.00                0                   23.910         0.00              0.00            0.00            0.00            0.00            0.00                -1312.75            已偿还          本金已还完          预约券源        
13041         20200629        20201228        600839          四川长虹        2000            2000            0               0.00                0                   2.890          0.00              0.00            0.00            0.00            0.00            0.00                -658.90             已偿还          本金已还完          预约券源        
13042         20200629        20201228        600811          东方集团        1600            1600            0               0.00                0                   4.420          0.00              0.00            0.00            0.00            0.00            0.00                -1153.01            已偿还          本金已还完          预约券源        
13043         20200629        20201228        600859          王府井          200             200             0               0.00                0                   39.690         0.00              0.00            0.00            0.00            0.00            0.00                -6357.10            已偿还          本金已还完          预约券源        
13044         20200629        20201228        600874          创业环保        200             200             0               0.00                0                   6.650          0.00              0.00            0.00            0.00            0.00            0.00                -148.36             已偿还          本金已还完          预约券源        
13045         20200629        20201228        600875          东方电气        600             600             0               0.00                0                   8.940          0.00              0.00            0.00            0.00            0.00            0.00                -699.87             已偿还          本金已还完          预约券源        
13046         20200629        20201228        600845          宝信软件        100             100             0               0.00                0                   57.990         0.00              0.00            0.00            0.00            0.00            0.00                -1301.72            已偿还          本金已还完          预约券源        
13047         20200629        20201228        600863          内蒙华电        1300            1300            0               0.00                0                   2.460          0.00              0.00            0.00            0.00            0.00            0.00                -304.66             已偿还          本金已还完          预约券源        
13048         20200629        20201228        600881          亚泰集团        1800            1800            0               0.00                0                   2.900          0.00              0.00            0.00            0.00            0.00            0.00                -1209.12            已偿还          本金已还完          预约券源        
13049         20200629        20201228        600959          江苏有线        1600            1600            0               0.00                0                   3.680          0.00              0.00            0.00            0.00            0.00            0.00                -579.01             已偿还          本金已还完          预约券源        
13050         20200629        20201228        601003          柳钢股份        300             300             0               0.00                0                   4.460          0.00              0.00            0.00            0.00            0.00            0.00                -150.67             已偿还          本金已还完          预约券源        
13051         20200629        20201228        600409          三友化工        700             700             0               0.00                0                   4.710          0.00              0.00            0.00            0.00            0.00            0.00                -811.97             已偿还          本金已还完          预约券源        
13052         20200629        20201228        600879          航天电子        1200            1200            0               0.00                0                   6.460          0.00              0.00            0.00            0.00            0.00            0.00                -873.31             已偿还          本金已还完          预约券源        
13053         20200629        20201228        600996          贵广网络        200             200             0               0.00                0                   7.140          0.00              0.00            0.00            0.00            0.00            0.00                -171.46             已偿还          本金已还完          预约券源        
13054         20200629        20201228        601016          节能风电        900             900             0               0.00                0                   2.110          0.00              0.00            0.00            0.00            0.00            0.00                -397.54             已偿还          本金已还完          预约券源        
13055         20200629        20201228        600903          贵州燃气        100             100             0               0.00                0                   9.780          0.00              0.00            0.00            0.00            0.00            0.00                -220.30             已偿还          本金已还完          预约券源        
13056         20200629        20201228        601139          深圳燃气        300             300             0               0.00                0                   6.380          0.00              0.00            0.00            0.00            0.00            0.00                -329.15             已偿还          本金已还完          预约券源        
13057         20200629        20201228        601333          广深铁路        1900            1900            0               0.00                0                   2.260          0.00              0.00            0.00            0.00            0.00            0.00                -469.18             已偿还          本金已还完          预约券源        
13058         20200629        20201228        601118          海南橡胶        900             900             0               0.00                0                   4.940          0.00              0.00            0.00            0.00            0.00            0.00                -600.84             已偿还          本金已还完          预约券源        
13059         20200629        20201228        601106          中国一重        1500            1500            0               0.00                0                   2.820          0.00              0.00            0.00            0.00            0.00            0.00                -916.81             已偿还          本金已还完          预约券源        
13060         20200629        20201228        601127          小康股份        100             100             0               0.00                0                   8.260          0.00              0.00            0.00            0.00            0.00            0.00                -115.85             已偿还          本金已还完          预约券源        
13061         20200629        20201228        601005          重庆钢铁        3200            3200            0               0.00                0                   1.490          0.00              0.00            0.00            0.00            0.00            0.00                -422.67             已偿还          本金已还完          预约券源        
