-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值        融券利息        已还利息        逾期罚息        已还罚息        合约参考盈亏        状态说明        合约本金状态        券源标识        
12904         20200623        20201222        002183          怡 亚 通        600             0               600             0.00                0                   5.620          3390.00         0.00            0.00            0.00            0.00            -32.37              未偿还          本金未归还          预约券源        
12905         20200623        20201222        002124          天邦股份        300             0               300             0.00                0                   11.500         3864.00         0.00            0.00            0.00            0.00            -422.45             未偿还          本金未归还          预约券源        
12906         20200623        20201222        002174          游族网络        300             0               300             0.00                0                   25.100         7659.00         0.00            0.00            0.00            0.00            -141.53             未偿还          本金未归还          预约券源        
12907         20200623        20201222        002250          联化科技        300             0               300             0.00                0                   19.610         6981.00         0.00            0.00            0.00            0.00            -1108.88            未偿还          本金未归还          预约券源        
12908         20200623        20201222        002212          南洋股份        300             0               300             0.00                0                   24.730         7851.00         0.00            0.00            0.00            0.00            -444.41             未偿还          本金未归还          预约券源        
12909         20200623        20201222        300296          利亚德          800             0               800             0.00                0                   6.120          4720.00         0.00            0.00            0.00            0.00            166.10              未偿还          本金未归还          预约券源        
12910         20200623        20201222        002294          信立泰          200             0               200             0.00                0                   26.970         5660.00         0.00            0.00            0.00            0.00            -276.39             未偿还          本金未归还          预约券源        
12912         20200623        20201222        002285          世联行          500             0               500             0.00                0                   2.810          1445.00         0.00            0.00            0.00            0.00            -46.41              未偿还          本金未归还          预约券源        
12914         20200623        20201222        002511          中顺洁柔        300             0               300             0.00                0                   20.960         6660.00         0.00            0.00            0.00            0.00            -383.29             未偿还          本金未归还          预约券源        
12915         20200623        20201222        002458          益生股份        200             0               200             0.00                0                   15.550         3110.00         0.00            0.00            0.00            0.00            -8.11               未偿还          本金未归还          预约券源        
12916         20200623        20201222        002505          大康农业        1100            0               1100            0.00                0                   2.300          2442.00         0.00            0.00            0.00            0.00            80.47               未偿还          本金未归还          预约券源        
12918         20200623        20201222        002690          美亚光电        100             0               100             0.00                0                   53.170         5110.00         0.00            0.00            0.00            0.00            196.68              未偿还          本金未归还          预约券源        
12919         20200623        20201222        600037          歌华有线        400             0               400             0.00                0                   14.790         5992.00         0.00            0.00            0.00            0.00            -87.04              未偿还          本金未归还          预约券源        
12920         20200623        20201222        600640          号百控股        100             0               100             0.00                0                   22.460         2035.00         0.00            0.00            0.00            0.00            203.71              未偿还          本金未归还          预约券源        
12921         20200623        20201222        300012          华测检测        600             0               600             0.00                0                   18.680         12276.00        0.00            0.00            0.00            0.00            -1084.21            未偿还          本金未归还          预约券源        
12922         20200623        20201222        000960          锡业股份        400             0               400             0.00                0                   8.690          3528.00         0.00            0.00            0.00            0.00            -60.48              未偿还          本金未归还          预约券源        
12924         20200623        20201222        002414          高德红外        300             0               300             0.00                0                   26.630         8811.00         0.00            0.00            0.00            0.00            -834.99             未偿还          本金未归还          预约券源        
12925         20200623        20201222        600315          上海家化        100             0               100             0.00                0                   47.840         4605.00         0.00            0.00            0.00            0.00            169.12              未偿还          本金未归还          预约券源        
12927         20200623        20201222        000686          东北证券        600             0               600             0.00                0                   8.650          5166.00         0.00            0.00            0.00            0.00            -46.19              未偿还          本金未归还          预约券源        
12928         20200623        20201222        600446          金证股份        300             0               300             0.00                0                   19.080         5760.00         0.00            0.00            0.00            0.00            -46.83              未偿还          本金未归还          预约券源        
12930         20200623        20201222        300133          华策影视        500             0               500             0.00                0                   7.250          3610.00         0.00            0.00            0.00            0.00            6.37                未偿还          本金未归还          预约券源        
12931         20200623        20201222        600642          申能股份        1100            0               1100            0.00                0                   5.630          6314.00         0.00            0.00            0.00            0.00            -132.31             未偿还          本金未归还          预约券源        
12932         20200623        20201222        600529          山东药玻        200             0               200             0.00                0                   49.950         10962.00        0.00            0.00            0.00            0.00            -987.19             未偿还          本金未归还          预约券源        
12933         20200623        20201222        601016          节能风电        700             0               700             0.00                0                   2.120          1491.00         0.00            0.00            0.00            0.00            -13.51              未偿还          本金未归还          预约券源        
12934         20200623        20201222        600885          宏发股份        200             0               200             0.00                0                   38.580         8010.00         0.00            0.00            0.00            0.00            -306.87             未偿还          本金未归还          预约券源        
12935         20200623        20201222        600380          健康元          400             0               400             0.00                0                   16.390         6360.00         0.00            0.00            0.00            0.00            184.31              未偿还          本金未归还          预约券源        
12936         20200623        20201222        600380          健康元          400             0               400             0.00                0                   16.390         6360.00         0.00            0.00            0.00            0.00            184.31              未偿还          本金未归还          预约券源        
12937         20200623        20201222        000681          视觉中国        200             0               200             0.00                0                   19.880         3744.00         0.00            0.00            0.00            0.00            223.02              未偿还          本金未归还          预约券源        
12938         20200623        20201222        000681          视觉中国        200             0               200             0.00                0                   19.880         3744.00         0.00            0.00            0.00            0.00            223.02              未偿还          本金未归还          预约券源        
12939         20200623        20201222        002128          露天煤业        200             0               200             0.00                0                   8.270          1582.00         0.00            0.00            0.00            0.00            -14.65              未偿还          本金未归还          预约券源        
12942         20200623        20201222        002583          海能达          400             0               400             0.00                0                   7.550          3008.00         0.00            0.00            0.00            0.00            3.98                未偿还          本金未归还          预约券源        
12945         20200623        20201222        002038          双鹭药业        300             0               300             0.00                0                   12.280         3810.00         0.00            0.00            0.00            0.00            -134.68             未偿还          本金未归还          预约券源        
12946         20200623        20201222        000967          盈峰环境        400             0               400             0.00                0                   8.200          3244.00         0.00            0.00            0.00            0.00            27.72               未偿还          本金未归还          预约券源        
12947         20200623        20201222        002273          水晶光电        500             0               500             0.00                0                   16.760         8700.00         0.00            0.00            0.00            0.00            -333.38             未偿还          本金未归还          预约券源        
12948         20200623        20201222        002294          信立泰          200             0               200             0.00                0                   26.990         5660.00         0.00            0.00            0.00            0.00            -272.40             未偿还          本金未归还          预约券源        
12949         20200623        20201222        300115          长盈精密        200             0               200             0.00                0                   21.710         4634.00         0.00            0.00            0.00            0.00            -301.34             未偿还          本金未归还          预约券源        
12951         20200623        20201222        600649          城投控股        500             0               500             0.00                0                   5.540          3030.00         0.00            0.00            0.00            0.00            -267.83             未偿还          本金未归还          预约券源        
12952         20200623        20201222        600757          长江传媒        300             0               300             0.00                0                   5.410          1536.00         0.00            0.00            0.00            0.00            20.35               未偿还          本金未归还          预约券源        
12953         20200623        20201222        600903          贵州燃气        100             0               100             0.00                0                   9.880          985.00          0.00            0.00            0.00            0.00            -3.01               未偿还          本金未归还          预约券源        
12954         20200623        20201222        600903          贵州燃气        100             0               100             0.00                0                   9.880          985.00          0.00            0.00            0.00            0.00            -3.01               未偿还          本金未归还          预约券源        
12955         20200623        20201222        600120          浙江东方        500             0               500             0.00                0                   6.630          3405.00         0.00            0.00            0.00            0.00            -98.39              未偿还          本金未归还          预约券源        
12956         20200623        20201222        600120          浙江东方        500             0               500             0.00                0                   6.630          3405.00         0.00            0.00            0.00            0.00            -98.39              未偿还          本金未归还          预约券源        
12957         20200623        20201222        000636          风华高科        300             0               300             0.00                0                   29.070         8694.00         0.00            0.00            0.00            0.00            13.28               未偿还          本金未归还          预约券源        
12959         20200623        20201222        000800          一汽解放        400             0               400             0.00                0                   11.180         4304.00         0.00            0.00            0.00            0.00            158.53              未偿还          本金未归还          预约券源        
12962         20200623        20201222        000623          吉林敖东        400             0               400             0.00                0                   15.790         6360.00         0.00            0.00            0.00            0.00            -55.32              未偿还          本金未归还          预约券源        
12964         20200623        20201222        600141          兴发集团        200             0               200             0.00                0                   9.250          1788.00         0.00            0.00            0.00            0.00            55.11               未偿还          本金未归还          预约券源        
12966         20200623        20201222        000998          隆平高科        400             0               400             0.00                0                   16.940         6596.00         0.00            0.00            0.00            0.00            168.22              未偿还          本金未归还          预约券源        
12967         20200623        20201222        000998          隆平高科        400             0               400             0.00                0                   16.940         6596.00         0.00            0.00            0.00            0.00            168.22              未偿还          本金未归还          预约券源        
12968         20200623        20201222        002156          通富微电        300             0               300             0.00                0                   23.860         7410.00         0.00            0.00            0.00            0.00            -264.16             未偿还          本金未归还          预约券源        
12969         20200623        20201222        000738          航发控制        200             0               200             0.00                0                   13.510         2774.00         0.00            0.00            0.00            0.00            -87.70              未偿还          本金未归还          预约券源        
12970         20200623        20201222        000738          航发控制        200             0               200             0.00                0                   13.510         2774.00         0.00            0.00            0.00            0.00            -87.70              未偿还          本金未归还          预约券源        
12977         20200623        20201222        002185          华天科技        1000            0               1000            0.00                0                   13.640         13690.00        0.00            0.00            0.00            0.00            -83.64              未偿还          本金未归还          预约券源        
12979         20200623        20201222        600827          百联股份        300             0               300             0.00                0                   13.770         4464.00         0.00            0.00            0.00            0.00            -342.21             未偿还          本金未归还          预约券源        
12980         20200623        20201222        002416          爱施德          300             0               300             0.00                0                   7.320          2244.00         0.00            0.00            0.00            0.00            -55.20              未偿还          本金未归还          预约券源        
12981         20200623        20201222        600699          均胜电子        300             0               300             0.00                0                   22.300         7092.00         0.00            0.00            0.00            0.00            -413.82             未偿还          本金未归还          预约券源        
12984         20200623        20201222        002399          海普瑞          200             0               200             0.00                0                   24.480         4884.00         0.00            0.00            0.00            0.00            -33.90              未偿还          本金未归还          预约券源        
12988         20200623        20201222        300558          贝达药业        100             0               100             0.00                0                   129.200        13702.00        0.00            0.00            0.00            0.00            -799.92             未偿还          本金未归还          预约券源        
12989         20200623        20201222        600056          中国医药        200             0               200             0.00                0                   14.270         2812.00         0.00            0.00            0.00            0.00            -21.02              未偿还          本金未归还          预约券源        
12993         20200623        20201222        000519          中兵红箭        300             0               300             0.00                0                   9.230          2853.00         0.00            0.00            0.00            0.00            -91.77              未偿还          本金未归还          预约券源        
12998         20200623        20201222        002221          东华能源        500             0               500             0.00                0                   8.800          4410.00         0.00            0.00            0.00            0.00            -19.40              未偿还          本金未归还          预约券源        
12999         20200623        20201222        600373          中文传媒        300             0               300             0.00                0                   12.200         3555.00         0.00            0.00            0.00            0.00            96.27               未偿还          本金未归还          预约券源        
13002         20200623        20201222        000959          首钢股份        700             0               700             0.00                0                   4.380          3122.00         0.00            0.00            0.00            0.00            -64.07              未偿还          本金未归还          预约券源        
13003         20200623        20201222        600141          兴发集团        200             0               200             0.00                0                   9.250          1788.00         0.00            0.00            0.00            0.00            55.11               未偿还          本金未归还          预约券源        
13004         20200623        20201222        300474          景嘉微          100             0               100             0.00                0                   63.300         6901.00         0.00            0.00            0.00            0.00            -582.33             未偿还          本金未归还          预约券源        
13006         20200623        20201222        002424          贵州百灵        300             0               300             0.00                0                   8.270          2484.00         0.00            0.00            0.00            0.00            -10.48              未偿还          本金未归还          预约券源        
13007         20200623        20201222        000970          中科三环        300             0               300             0.00                0                   10.330         2940.00         0.00            0.00            0.00            0.00            150.90              未偿还          本金未归还          预约券源        
13008         20200623        20201222        002302          西部建设        200             0               200             0.00                0                   9.720          1958.00         0.00            0.00            0.00            0.00            -20.94              未偿还          本金未归还          预约券源        
13009         20200623        20201222        600808          马钢股份        1300            0               1300            0.00                0                   2.610          3393.00         0.00            0.00            0.00            0.00            -8.46               未偿还          本金未归还          预约券源        
13010         20200623        20201222        002424          贵州百灵        300             0               300             0.00                0                   8.270          2484.00         0.00            0.00            0.00            0.00            -10.48              未偿还          本金未归还          预约券源        
13011         20200623        20201222        002390          信邦制药        600             0               600             0.00                0                   4.520          2718.00         0.00            0.00            0.00            0.00            -13.71              未偿还          本金未归还          预约券源        
13012         20200623        20201222        002926          华西证券        600             0               600             0.00                0                   10.980         6594.00         0.00            0.00            0.00            0.00            -17.59              未偿还          本金未归还          预约券源        
13013         20200623        20201222        300253          卫宁健康        600             0               600             0.00                0                   18.870         12840.00        0.00            0.00            0.00            0.00            -1534.32            未偿还          本金未归还          预约券源        
13014         20200623        20201222        300212          易华录          100             0               100             0.00                0                   51.520         5639.00         0.00            0.00            0.00            0.00            -497.15             未偿还          本金未归还          预约券源        
13015         20200623        20201222        600664          哈药股份        600             0               600             0.00                0                   3.420          1902.00         0.00            0.00            0.00            0.00            142.91              未偿还          本金未归还          预约券源        
13016         20200623        20201222        600917          重庆燃气        100             0               100             0.00                0                   7.220          714.00          0.00            0.00            0.00            0.00            2.27                未偿还          本金未归还          预约券源        
13017         20200623        20201222        600917          重庆燃气        100             0               100             0.00                0                   7.220          714.00          0.00            0.00            0.00            0.00            2.27                未偿还          本金未归还          预约券源        
13018         20200623        20201222        600874          创业环保        200             0               200             0.00                0                   6.710          1336.00         0.00            0.00            0.00            0.00            -0.37               未偿还          本金未归还          预约券源        
13020         20200623        20201222        600751          海航科技        800             0               800             0.00                0                   3.160          2504.00         0.00            0.00            0.00            0.00            16.42               未偿还          本金未归还          预约券源        
13023         20200623        20201222        600751          海航科技        800             0               800             0.00                0                   3.160          2504.00         0.00            0.00            0.00            0.00            16.42               未偿还          本金未归还          预约券源        
13025         20200623        20201222        300009          安科生物        400             0               400             0.00                0                   16.290         7012.00         0.00            0.00            0.00            0.00            -507.52             未偿还          本金未归还          预约券源        
13028         20200623        20201222        601865          福莱特          100             0               100             0.00                0                   15.160         1912.00         0.00            0.00            0.00            0.00            -402.55             未偿还          本金未归还          预约券源        
13029         20200623        20201222        603517          绝味食品        100             0               100             0.00                0                   71.400         7144.00         0.00            0.00            0.00            0.00            -16.28              未偿还          本金未归还          预约券源        
13030         20200623        20201222        600580          卧龙电驱        300             0               300             0.00                0                   11.640         3390.00         0.00            0.00            0.00            0.00            93.44               未偿还          本金未归还          预约券源        
13034         20200623        20201222        300182          捷成股份        900             0               900             0.00                0                   4.470          3636.00         0.00            0.00            0.00            0.00            377.98              未偿还          本金未归还          预约券源        
13036         20200623        20201222        600125          铁龙物流        400             0               400             0.00                0                   5.370          2240.00         0.00            0.00            0.00            0.00            -99.19              未偿还          本金未归还          预约券源        
13037         20200623        20201222        600125          铁龙物流        400             0               400             0.00                0                   5.370          2240.00         0.00            0.00            0.00            0.00            -99.19              未偿还          本金未归还          预约券源        
13038         20200623        20201222        300002          神州泰岳        800             0               800             0.00                0                   6.800          4992.00         0.00            0.00            0.00            0.00            437.56              未偿还          本金未归还          预约券源        
13039         20200623        20201222        300002          神州泰岳        800             0               800             0.00                0                   6.800          4992.00         0.00            0.00            0.00            0.00            437.56              未偿还          本金未归还          预约券源        
13040         20200623        20201222        300026          红日药业        800             0               800             0.00                0                   5.490          4312.00         0.00            0.00            0.00            0.00            70.61               未偿还          本金未归还          预约券源        
13041         20200623        20201222        002075          沙钢股份        800             0               800             0.00                0                   13.000         9744.00         0.00            0.00            0.00            0.00            640.60              未偿还          本金未归还          预约券源        
13042         20200623        20201222        002429          兆驰股份        800             0               800             0.00                0                   5.100          3888.00         0.00            0.00            0.00            0.00            182.92              未偿还          本金未归还          预约券源        
13043         20200623        20201222        002648          卫星石化        200             0               200             0.00                0                   15.170         3266.00         0.00            0.00            0.00            0.00            -240.03             未偿还          本金未归还          预约券源        
13045         20200623        20201222        300324          旋极信息        500             0               500             0.00                0                   6.960          3185.00         0.00            0.00            0.00            0.00            286.52              未偿还          本金未归还          预约券源        
13046         20200623        20201222        000009          中国宝安        1100            0               1100            0.00                0                   7.850          9394.00         0.00            0.00            0.00            0.00            -772.64             未偿还          本金未归还          预约券源        
13047         20200623        20201222        600350          山东高速        300             0               300             0.00                0                   6.090          1797.00         0.00            0.00            0.00            0.00            23.13               未偿还          本金未归还          预约券源        
13049         20200623        20201222        300026          红日药业        800             0               800             0.00                0                   5.490          4312.00         0.00            0.00            0.00            0.00            70.61               未偿还          本金未归还          预约券源        
13050         20200623        20201222        600996          贵广网络        200             0               200             0.00                0                   7.310          1426.00         0.00            0.00            0.00            0.00            29.51               未偿还          本金未归还          预约券源        
13051         20200623        20201222        600728          佳都科技        600             0               600             0.00                0                   9.240          5442.00         0.00            0.00            0.00            0.00            91.35               未偿还          本金未归还          预约券源        
13052         20200623        20201222        600006          东风汽车        300             0               300             0.00                0                   4.070          1215.00         0.00            0.00            0.00            0.00            -0.24               未偿还          本金未归还          预约券源        
13053         20200623        20201222        600996          贵广网络        200             0               200             0.00                0                   7.310          1426.00         0.00            0.00            0.00            0.00            29.51               未偿还          本金未归还          预约券源        
13054         20200623        20201222        600879          航天电子        900             0               900             0.00                0                   6.580          5769.00         0.00            0.00            0.00            0.00            141.96              未偿还          本金未归还          预约券源        
13057         20200623        20201222        000988          华工科技        300             0               300             0.00                0                   24.030         7455.00         0.00            0.00            0.00            0.00            -258.21             未偿还          本金未归还          预约券源        
13068         20200623        20201222        600021          上海电力        600             0               600             0.00                0                   7.320          4620.00         0.00            0.00            0.00            0.00            -237.48             未偿还          本金未归还          预约券源        
13069         20200623        20201222        600026          中远海能        600             0               600             0.00                0                   6.530          3864.00         0.00            0.00            0.00            0.00            45.00               未偿还          本金未归还          预约券源        
13070         20200623        20201222        600006          东风汽车        300             0               300             0.00                0                   4.070          1215.00         0.00            0.00            0.00            0.00            -0.24               未偿还          本金未归还          预约券源        
13071         20200623        20201222        600008          首创股份        1500            0               1500            0.00                0                   3.030          4515.00         0.00            0.00            0.00            0.00            20.36               未偿还          本金未归还          预约券源        
13072         20200623        20201222        600160          巨化股份        600             0               600             0.00                0                   6.780          4092.00         0.00            0.00            0.00            0.00            -33.15              未偿还          本金未归还          预约券源        
13073         20200623        20201222        600167          联美控股        400             0               400             0.00                0                   13.930         5712.00         0.00            0.00            0.00            0.00            -150.69             未偿还          本金未归还          预约券源        
13074         20200623        20201222        600064          南京高科        400             0               400             0.00                0                   9.480          3940.00         0.00            0.00            0.00            0.00            -156.87             未偿还          本金未归还          预约券源        
13075         20200623        20201222        600056          中国医药        200             0               200             0.00                0                   14.270         2812.00         0.00            0.00            0.00            0.00            -21.02              未偿还          本金未归还          预约券源        
13076         20200623        20201222        600143          金发科技        800             0               800             0.00                0                   13.320         10368.00        0.00            0.00            0.00            0.00            192.13              未偿还          本金未归还          预约券源        
13077         20200623        20201222        600307          酒钢宏兴        1400            0               1400            0.00                0                   1.550          2170.00         0.00            0.00            0.00            0.00            -7.21               未偿还          本金未归还          预约券源        
13078         20200623        20201222        600282          南钢股份        1200            0               1200            0.00                0                   3.520          3900.00         0.00            0.00            0.00            0.00            314.70              未偿还          本金未归还          预约券源        
13079         20200623        20201222        600325          华发股份        700             0               700             0.00                0                   6.810          5208.00         0.00            0.00            0.00            0.00            -450.86             未偿还          本金未归还          预约券源        
13080         20200623        20201222        600350          山东高速        300             0               300             0.00                0                   6.090          1797.00         0.00            0.00            0.00            0.00            23.13               未偿还          本金未归还          预约券源        
13081         20200623        20201222        600667          太极实业        500             0               500             0.00                0                   11.760         6025.00         0.00            0.00            0.00            0.00            -156.00             未偿还          本金未归还          预约券源        
13082         20200623        20201222        600348          阳泉煤业        500             0               500             0.00                0                   4.250          2145.00         0.00            0.00            0.00            0.00            -27.17              未偿还          本金未归还          预约券源        
13083         20200623        20201222        600418          江淮汽车        600             0               600             0.00                0                   9.040          5322.00         0.00            0.00            0.00            0.00            91.47               未偿还          本金未归还          预约券源        
13084         20200623        20201222        600478          科力远          500             0               500             0.00                0                   4.870          2300.00         0.00            0.00            0.00            0.00            127.51              未偿还          本金未归还          预约券源        
13085         20200623        20201222        600507          方大特钢        500             0               500             0.00                0                   5.260          2595.00         0.00            0.00            0.00            0.00            27.32               未偿还          本金未归还          预约券源        
13086         20200623        20201222        600567          山鹰纸业        1400            0               1400            0.00                0                   2.950          4158.00         0.00            0.00            0.00            0.00            -37.21              未偿还          本金未归还          预约券源        
13087         20200623        20201222        600580          卧龙电驱        300             0               300             0.00                0                   11.640         3390.00         0.00            0.00            0.00            0.00            93.44               未偿还          本金未归还          预约券源        
13088         20200623        20201222        600557          康缘药业        200             0               200             0.00                0                   13.760         2856.00         0.00            0.00            0.00            0.00            -111.81             未偿还          本金未归还          预约券源        
13089         20200623        20201222        600535          天士力          400             0               400             0.00                0                   14.760         7136.00         0.00            0.00            0.00            0.00            -1243.02            未偿还          本金未归还          预约券源        
13090         20200623        20201222        600664          哈药股份        600             0               600             0.00                0                   3.420          1902.00         0.00            0.00            0.00            0.00            142.91              未偿还          本金未归还          预约券源        
13091         20200623        20201222        600675          中华企业        800             0               800             0.00                0                   4.090          3320.00         0.00            0.00            0.00            0.00            -56.34              未偿还          本金未归还          预约券源        
13092         20200623        20201222        600667          太极实业        500             0               500             0.00                0                   11.760         6025.00         0.00            0.00            0.00            0.00            -156.00             未偿还          本金未归还          预约券源        
13093         20200623        20201222        600699          均胜电子        300             0               300             0.00                0                   22.320         7092.00         0.00            0.00            0.00            0.00            -407.83             未偿还          本金未归还          预约券源        
13094         20200623        20201222        600673          东阳光          700             0               700             0.00                0                   6.810          4809.00         0.00            0.00            0.00            0.00            -51.85              未偿还          本金未归还          预约券源        
