标题：资金股票
营业部名称：华泰证券(1147)
股东：鸣石量化十四号
资金余额：3049560.50 	 可取金额：3049560.50
冻结金额：0.00 	 股票市值：25969526.15
可用余额：3096037.35 	 总 资 产：29065594.02

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
600446	金证股份	0	0	0	20.553	20.553	19.480	-5.22	-12613.460	0.000	上海Ａ	B882702267	0	
600466	蓝光发展	8000	8000	0	5.332	5.338	5.350	0.22	93.924	42800.000	上海Ａ	B882702267	0	
600477	杭萧钢构	23500	0	0	4.521	4.526	4.500	-0.58	-617.227	105750.000	上海Ａ	B882702267	23500	
600478	科力远	129708	129708	0	5.107	5.113	4.480	-12.38	-82006.793	581091.840	上海Ａ	B882702267	0	
600486	扬农化工	1100	1100	0	91.246	91.353	95.900	4.98	4995.977	105490.000	上海Ａ	B882702267	0	
600500	中化国际	7310	7310	0	5.654	5.661	5.680	0.34	141.481	41520.800	上海Ａ	B882702267	0	
600507	方大特钢	5900	5900	0	5.879	5.886	5.660	-3.84	-1331.171	33394.000	上海Ａ	B882702267	0	
600515	海航基础	100	100	0	223.116	223.394	6.900	-96.93	-21627.304	690.000	上海Ａ	B882702267	0	
600528	中铁工业	6100	6100	0	9.932	9.944	9.500	-4.46	-2703.002	57950.000	上海Ａ	B882702267	0	
600535	天士力	5200	5200	0	17.017	17.037	17.340	1.78	1574.103	90168.000	上海Ａ	B882702267	0	
600545	卓郎智能	5300	5300	0	5.477	5.484	5.490	0.12	34.221	29097.000	上海Ａ	B882702267	0	
600549	厦门钨业	4800	4800	0	14.507	14.524	15.000	3.28	2282.160	72000.000	上海Ａ	B882702267	0	
600557	康缘药业	2300	2300	0	13.014	13.029	15.130	16.12	4826.085	34799.000	上海Ａ	B882702267	0	
600563	法拉电子	800	800	0	63.860	63.935	60.410	-5.51	-2816.544	48328.000	上海Ａ	B882702267	0	
600572	康恩贝	10200	10200	0	5.861	5.868	6.010	2.42	1448.077	61302.000	上海Ａ	B882702267	0	
600580	卧龙电驱	4300	4300	0	12.004	12.018	12.080	0.52	266.026	51944.000	上海Ａ	B882702267	0	
600598	北大荒	3900	3900	0	17.144	17.164	19.170	11.69	7813.927	74763.000	上海Ａ	B882702267	0	
600611	大众交通	400	400	0	3.334	3.350	3.990	19.18	255.772	1596.000	上海Ａ	B882702267	0	
600623	华谊集团	7400	3100	0	5.537	5.543	5.830	5.17	2117.724	43142.000	上海Ａ	B882702267	4300	
600633	浙数文化	4300	4300	0	9.810	9.821	10.580	7.72	3257.772	45494.000	上海Ａ	B882702267	0	
600639	浦东金桥	1800	1800	0	15.668	15.687	15.210	-3.04	-857.326	27378.000	上海Ａ	B882702267	0	
600640	号百控股	1700	1700	0	19.393	19.416	19.340	-0.39	-128.636	32878.000	上海Ａ	B882702267	0	
600642	申能股份	13500	13500	0	5.660	5.667	5.700	0.59	449.969	76950.000	上海Ａ	B882702267	0	
600643	爱建集团	5300	5300	0	9.340	9.351	8.710	-6.85	-3393.011	46163.000	上海Ａ	B882702267	0	
600645	中源协和	1900	1900	0	25.830	25.860	29.510	14.11	6926.399	56069.000	上海Ａ	B882702267	0	
600648	外高桥	2000	2000	0	15.389	15.407	15.310	-0.63	-194.232	30620.000	上海Ａ	B882702267	0	
600649	XD城投控	6900	6900	0	5.667	5.674	5.810	2.40	939.796	40089.000	上海Ａ	B882702267	0	
600657	信达地产	4600	4600	0	5.431	5.438	4.800	-11.73	-2930.122	22080.000	上海Ａ	B882702267	0	
600667	太极实业	7100	7100	0	11.353	11.366	11.530	1.44	1160.920	81863.000	上海Ａ	B882702267	0	
600668	尖峰集团	6200	0	0	17.114	17.134	17.190	0.33	346.504	106578.000	上海Ａ	B882702267	6200	
600673	东阳光	8100	500	0	6.711	6.719	7.230	7.61	4135.381	58563.000	上海Ａ	B882702267	7600	
600675	中华企业	7600	7600	0	4.635	4.640	4.260	-8.20	-2888.024	32376.000	上海Ａ	B882702267	0	
600699	均胜电子	4000	4000	0	24.443	24.472	22.560	-7.81	-7637.581	90240.000	上海Ａ	B882702267	0	
600704	物产中大	13700	13700	0	4.521	4.526	4.580	1.19	734.887	62746.000	上海Ａ	B882702267	0	
600707	彩虹股份	3600	3600	0	4.962	4.968	4.710	-5.20	-929.495	16956.000	上海Ａ	B882702267	0	
600717	天津港	5500	5500	0	4.812	4.818	4.660	-3.28	-867.143	25630.000	上海Ａ	B882702267	0	
600718	东软集团	4800	4800	0	11.375	11.388	11.990	5.28	2884.664	57552.000	上海Ａ	B882702267	0	
600729	重庆百货	1400	1400	0	30.784	30.820	32.290	4.77	2055.509	45206.000	上海Ａ	B882702267	0	
600737	中粮糖业	5900	5900	0	8.350	8.360	8.270	-1.07	-529.088	48793.000	上海Ａ	B882702267	0	
600739	辽宁成大	6400	6400	0	27.798	27.831	27.950	0.43	763.510	178880.000	上海Ａ	B882702267	0	
600748	上实发展	5000	5000	0	5.158	5.164	5.450	5.53	1427.205	27250.000	上海Ａ	B882702267	0	
600754	锦江酒店	1800	1800	0	37.029	37.072	39.460	6.44	4292.697	71028.000	上海Ａ	B882702267	0	
600757	长江传媒	3400	3400	0	5.678	5.685	5.490	-3.44	-663.239	18666.000	上海Ａ	B882702267	0	
600765	中航重机	3000	0	0	13.205	13.220	13.360	1.05	418.106	40080.000	上海Ａ	B882702267	3000	
