标题：资金股票
营业部名称：华泰证券(212)
股东：鸣石量化十三号
资金余额：52382964.53 	 可取金额：34503410.46
冻结金额：0.00 	 股票市值：565017612.91
可用余额：34503410.46 	 总 资 产：599537172.37

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
601700	风范股份	270300	270300	0	5.700	5.707	5.820	1.99	30595.419	1573146.000	上海Ａ	B881924947	0	
601999	出版传媒	32900	32900	0	7.324	7.333	7.690	4.87	11745.389	253001.000	上海Ａ	B881924947	0	
603000	人民网	297800	297800	0	22.700	22.727	23.390	2.92	197332.316	6965542.000	上海Ａ	B881924947	0	
603008	喜临门	168700	168700	0	11.435	11.448	11.690	2.11	40711.139	1972103.000	上海Ａ	B881924947	0	
603031	安德利	0	0	0	33.778	33.778	37.420	10.78	20429.970	0.000	上海Ａ	B881924947	0	
603055	台华新材	60	60	0	-631.687	0.000	9.080	0.00	38440.464	544.800	上海Ａ	B881924947	0	
603111	康尼机电	0	0	0	6.742	6.742	7.430	10.20	103107.870	0.000	上海Ａ	B881924947	0	
603133	碳元科技	0	0	0	18.561	18.561	20.040	7.97	24085.180	0.000	上海Ａ	B881924947	0	
603180	金牌厨柜	0	0	0	50.274	50.274	52.760	4.94	17984.360	0.000	上海Ａ	B881924947	0	
603222	济民制药	19400	19400	0	35.126	35.167	35.260	0.26	1799.269	684044.000	上海Ａ	B881924947	0	
603229	奥翔药业	11620	11620	0	32.981	33.020	57.690	74.71	286334.261	670357.800	上海Ａ	B881924947	0	
603238	诺邦股份	4800	4800	0	36.213	36.255	45.510	25.53	44370.016	218448.000	上海Ａ	B881924947	0	
603301	振德医疗	0	0	0	56.034	56.034	92.390	64.88	829205.220	0.000	上海Ａ	B881924947	0	
603318	派思股份	156900	0	0	10.152	10.164	10.150	-0.14	-2177.066	1592535.000	上海Ａ	B881924947	156900	
603360	百傲化学	0	0	0	21.058	21.058	23.780	12.93	59046.010	0.000	上海Ａ	B881924947	0	
603366	日出东方	134000	134000	0	6.089	6.096	6.140	0.72	5871.371	822760.000	上海Ａ	B881924947	0	
603385	惠达卫浴	17900	17900	0	7.523	7.532	16.800	123.05	165706.458	300720.000	上海Ａ	B881924947	0	
603387	基蛋生物	27000	27000	0	36.312	36.355	44.280	21.80	213737.195	1195560.000	上海Ａ	B881924947	0	
603393	新天然气	1600	1600	0	-20.916	0.000	43.930	0.00	103671.363	70288.000	上海Ａ	B881924947	0	
603399	吉翔股份	191403	191403	0	8.243	8.253	9.090	10.15	160082.713	1739853.270	上海Ａ	B881924947	0	
603466	风语筑	0	0	0	18.671	18.671	21.380	14.51	400142.710	0.000	上海Ａ	B881924947	0	
603520	司太立	24936	24936	0	80.227	80.321	78.500	-2.27	-45354.719	1957476.000	上海Ａ	B881924947	0	
603538	美诺华	1600	1600	0	49.530	49.588	53.880	8.65	6859.137	86208.000	上海Ａ	B881924947	0	
603557	起步股份	179000	75300	0	9.251	9.262	9.310	0.52	8611.207	1666490.000	上海Ａ	B881924947	103700	
603566	普莱柯	19200	19200	0	28.636	28.670	28.900	0.80	4419.590	554880.000	上海Ａ	B881924947	0	
603588	高能环境	40600	40600	0	13.810	13.826	13.770	-0.41	-2278.103	559062.000	上海Ａ	B881924947	0	
603598	引力传媒	232500	0	0	17.280	17.300	17.360	0.34	13877.646	4036200.000	上海Ａ	B881924947	232500	
603608	天创时尚	168900	168900	0	11.110	11.123	11.240	1.05	19735.830	1898436.000	上海Ａ	B881924947	0	
603650	彤程新材	8400	8400	0	-36.183	0.000	37.600	0.00	619407.667	315840.000	上海Ａ	B881924947	0	
603661	恒林股份	8100	8100	0	50.537	50.596	57.230	13.11	53670.931	463563.000	上海Ａ	B881924947	0	
603697	有友食品	31552	31552	0	19.934	19.957	21.050	5.47	34434.954	664169.600	上海Ａ	B881924947	0	
603810	丰山集团	0	0	0	40.269	40.269	39.290	-2.43	-14304.060	0.000	上海Ａ	B881924947	0	
603811	诚意药业	46700	46700	0	28.676	28.710	29.250	1.88	25207.609	1365975.000	上海Ａ	B881924947	0	
603885	吉祥航空	399600	399600	0	9.909	9.921	10.160	2.41	95549.475	4059936.000	上海Ａ	B881924947	0	
603888	新华网	86100	86100	0	25.377	25.407	26.200	3.12	68220.991	2255820.000	上海Ａ	B881924947	0	
603912	佳力图	0	0	0	24.464	24.464	26.670	9.02	55350.970	0.000	上海Ａ	B881924947	0	
603959	百利科技	89200	89200	0	9.094	9.105	9.380	3.02	24532.266	836696.000	上海Ａ	B881924947	0	
603987	康德莱	10600	10600	0	4.785	4.791	18.300	282.00	143032.043	193980.000	上海Ａ	B881924947	0	
000004	国农科技	21800	21800	0	29.352	29.386	34.100	16.04	102636.645	743380.000	深圳Ａ	0899163779	0	
000016	深康佳Ａ	847	847	0	-246.007	0.000	8.880	0.00	215876.617	7521.360	深圳Ａ	0899163779	0	
000049	德赛电池	12500	12500	0	53.811	53.874	55.200	2.46	16555.200	690000.000	深圳Ａ	0899163779	0	
000059	华锦股份	47	47	0	-339.567	0.000	5.130	0.00	16195.513	241.110	深圳Ａ	0899163779	0	
000078	海王生物	2256800	2256800	0	4.537	4.542	4.930	8.54	873904.952	11126024.000	深圳Ａ	0899163779	0	
000089	深圳机场	183000	183000	0	9.918	9.930	10.320	3.93	71356.385	1888560.000	深圳Ａ	0899163779	0	
000100	TCL科技	1262700	1262700	0	6.939	6.947	6.990	0.62	54070.961	8826273.000	深圳Ａ	0899163779	0	
000155	川能动力	211700	211700	0	5.382	5.388	5.630	4.49	51107.111	1191871.000	深圳Ａ	0899163779	0	
000403	双林生物	50300	50300	0	71.093	71.176	75.160	5.60	200146.859	3780548.000	深圳Ａ	0899163779	0	
000518	四环生物	325200	325200	0	4.379	4.384	4.950	12.91	183805.804	1609740.000	深圳Ａ	0899163779	0	
000526	紫光学大	0	0	0	58.565	58.565	70.120	19.73	137849.950	0.000	深圳Ａ	0899163779	0	
000561	烽火电子	137800	137800	0	7.240	7.248	8.300	14.51	144729.824	1143740.000	深圳Ａ	0899163779	0	
000563	陕国投Ａ	1235924	0	0	4.537	4.542	4.550	0.17	9487.571	5623454.200	深圳Ａ	0899163779	1235924	
000584	哈工智能	190900	130500	0	6.004	6.011	6.160	2.48	28404.546	1175944.000	深圳Ａ	0899163779	60400	
