标题：资金股票
营业部名称：DbzqJY-tc-107
股东：鸣石宽墨三号
资金余额：2586610.77 	 可取金额：2586610.77
冻结金额：0.00 	 股票市值：28177826.78
可用余额：3003347.01 	 总 资 产：30764437.55

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	参考盈亏	参考成本价	参考盈亏比	市价	市值	成本金额	市场代码	交易市场	股东帐户	实际数量	单位数量	资讯	历史成交	退市日期	回报买入数量	回报卖出数量	
300536	农尚环境	2200.00	0.00	0	-3816.980	17.487	-9.933	15.750	34650.000	38471.400	1	深圳Ａ股	0899204000	2200	1			0	0.00	0.00	
300573	兴齐眼药	2300.00	0.00	0	-33565.830	166.311	-8.785	151.700	348910.000	382515.300	1	深圳Ａ股	0899204000	2300	1			0	0.00	0.00	
300579	数字认证	800.00	0.00	0	5719.540	59.312	12.068	66.470	53176.000	47449.600	1	深圳Ａ股	0899204000	800	1			0	0.00	0.00	
300599	雄塑科技	2700.00	0.00	0	24488.260	6.350	142.992	15.430	41661.000	17145.000	1	深圳Ａ股	0899204000	2700	1			0	0.00	0.00	
300601	康泰生物	2900.00	0.00	0	-22287.960	208.294	-3.694	200.600	581740.000	604052.600	1	深圳Ａ股	0899204000	2900	1			0	0.00	0.00	
300616	尚品宅配	600.00	0.00	0	-4072.250	70.755	-9.604	63.960	38376.000	42453.000	1	深圳Ａ股	0899204000	600	1			0	0.00	0.00	
300648	星云股份	2800.00	0.00	0	2101.980	30.329	2.476	31.080	87024.000	84921.200	1	深圳Ａ股	0899204000	2800	1			0	0.00	0.00	
300677	英科医疗	3400.00	0.00	0	-15592.480	163.532	-2.808	158.940	540396.000	556008.800	1	深圳Ａ股	0899204000	3400	1			0	0.00	0.00	
300729	乐歌股份	2400.00	0.00	0	35556.030	64.368	23.043	79.200	190080.000	154483.200	1	深圳Ａ股	0899204000	2400	1			0	0.00	0.00	
300741	华宝股份	2900.00	0.00	0	-181.980	53.563	-0.118	53.500	155150.000	155332.700	1	深圳Ａ股	0899204000	2900	1			0	0.00	0.00	
300760	迈瑞医疗	1300.00	0.00	0	-27648.750	343.393	-6.201	322.100	418730.000	446410.900	1	深圳Ａ股	0899204000	1300	1			0	0.00	0.00	
