标题：资金股票
营业部名称：华泰证券(243)
股东：鸣石量化20号
资金余额：1481829.72 	 可取金额：1481829.72
冻结金额：0.00 	 股票市值：12450866.55
可用余额：1481829.72 	 总 资 产：13937637.54

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
600750	江中药业	300	300	0	12.502	12.531	12.400	-1.05	-39.394	3720.000	上海Ａ	B882396244	0	
600754	锦江酒店	600	600	0	27.950	27.987	28.580	2.12	355.509	17148.000	上海Ａ	B882396244	0	
600763	通策医疗	200	200	0	145.226	145.399	151.520	4.21	1222.890	30304.000	上海Ａ	B882396244	0	
600785	新华百货	100	100	0	15.803	15.869	16.200	2.09	33.048	1620.000	上海Ａ	B882396244	0	
600804	鹏博士	1600	1600	0	8.589	8.601	8.490	-1.29	-177.256	13584.000	上海Ａ	B882396244	0	
600809	XD山西汾	200	200	0	132.619	132.779	137.820	3.80	1007.085	27564.000	上海Ａ	B882396244	0	
600812	华北制药	4800	4800	0	11.928	11.942	12.100	1.32	757.066	58080.000	上海Ａ	B882396244	0	
600825	新华传媒	100	100	0	6.530	6.587	6.630	0.66	4.324	663.000	上海Ａ	B882396244	0	
600827	百联股份	1800	1800	0	9.272	9.284	16.200	74.51	12435.657	29160.000	上海Ａ	B882396244	0	
600834	申通地铁	1600	1600	0	12.265	12.281	12.260	-0.17	-33.008	19616.000	上海Ａ	B882396244	0	
600845	宝信软件	600	600	0	53.151	53.214	55.200	3.73	1190.318	33120.000	上海Ａ	B882396244	0	
600859	王府井	1200	1200	0	38.404	38.449	37.940	-1.33	-610.523	45528.000	上海Ａ	B882396244	0	
600861	北京城乡	300	300	0	15.473	15.505	15.030	-3.07	-142.499	4509.000	上海Ａ	B882396244	0	
600867	通化东宝	200	200	0	15.423	15.464	15.430	-0.22	-6.748	3086.000	上海Ａ	B882396244	0	
600872	中炬高新	200	200	0	53.910	53.990	55.560	2.91	313.666	11112.000	上海Ａ	B882396244	0	
600873	梅花生物	200	200	0	4.861	4.891	4.900	0.19	1.800	980.000	上海Ａ	B882396244	0	
600885	宏发股份	100	100	0	30.015	30.096	38.920	29.37	881.530	3892.000	上海Ａ	B882396244	0	
600887	伊利股份	600	600	0	29.755	29.794	29.910	0.39	69.695	17946.000	上海Ａ	B882396244	0	
600895	张江高科	1300	1300	0	19.210	19.233	19.320	0.45	112.382	25116.000	上海Ａ	B882396244	0	
600900	长江电力	100	100	0	18.163	18.232	18.170	-0.34	-6.153	1817.000	上海Ａ	B882396244	0	
600933	爱柯迪	400	400	0	12.752	12.778	13.340	4.41	224.757	5336.000	上海Ａ	B882396244	0	
600966	博汇纸业	600	600	0	8.928	8.945	9.080	1.50	80.643	5448.000	上海Ａ	B882396244	0	
600984	建设机械	800	800	0	19.191	19.217	21.320	10.95	1680.803	17056.000	上海Ａ	B882396244	0	
601028	玉龙股份	100	100	0	8.191	8.249	9.700	17.69	144.911	970.000	上海Ａ	B882396244	0	
601100	恒立液压	400	400	0	73.663	73.751	74.050	0.41	119.588	29620.000	上海Ａ	B882396244	0	
601128	常熟银行	200	200	0	7.411	7.444	7.360	-1.13	-16.701	1472.000	上海Ａ	B882396244	0	
601168	西部矿业	200	200	0	5.696	5.727	5.720	-0.12	-1.367	1144.000	上海Ａ	B882396244	0	
601231	环旭电子	400	400	0	18.641	18.673	21.500	15.15	1129.828	8600.000	上海Ａ	B882396244	0	
601233	桐昆股份	100	100	0	12.522	12.585	12.830	1.96	24.491	1283.000	上海Ａ	B882396244	0	
601555	东吴证券	500	500	0	8.121	8.139	8.170	0.38	15.333	4085.000	上海Ａ	B882396244	0	
601606	长城军工	500	500	0	12.702	12.725	12.820	0.75	47.462	6410.000	上海Ａ	B882396244	0	
601615	明阳智能	100	100	0	12.082	12.144	12.680	4.43	53.507	1268.000	上海Ａ	B882396244	0	
601636	旗滨集团	1000	1000	0	5.368	5.378	5.680	5.61	301.206	5680.000	上海Ａ	B882396244	0	
601689	拓普集团	100	100	0	27.538	27.616	26.970	-2.34	-64.551	2697.000	上海Ａ	B882396244	0	
601799	星宇股份	200	200	0	118.576	118.722	119.700	0.82	195.381	23940.000	上海Ａ	B882396244	0	
601808	中海油服	800	800	0	13.471	13.491	13.530	0.29	31.160	10824.000	上海Ａ	B882396244	0	
601828	美凯龙	100	100	0	11.197	11.258	11.000	-2.31	-25.822	1100.000	上海Ａ	B882396244	0	
603010	万盛股份	400	400	0	14.603	14.630	14.490	-0.96	-56.112	5796.000	上海Ａ	B882396244	0	
603019	中科曙光	200	200	0	-12.181	0.000	39.500	0.00	10323.142	7900.000	上海Ａ	B882396244	0	
603027	千禾味业	300	300	0	26.790	26.834	27.890	3.94	316.466	8367.000	上海Ａ	B882396244	0	
603033	三维股份	100	100	0	23.087	23.161	23.900	3.20	73.862	2390.000	上海Ａ	B882396244	0	
603055	台华新材	100	100	0	7.661	7.719	7.900	2.36	18.094	790.000	上海Ａ	B882396244	0	
603056	德邦股份	100	100	0	12.656	12.719	14.350	12.87	162.936	1435.000	上海Ａ	B882396244	0	
603060	国检集团	100	100	0	18.293	18.362	18.310	-0.28	-5.168	1831.000	上海Ａ	B882396244	0	
603113	金能科技	100	100	0	12.212	12.275	12.200	-0.61	-7.444	1220.000	上海Ａ	B882396244	0	
603116	XD红蜻蜓	100	100	0	7.212	7.269	7.150	-1.65	-11.929	715.000	上海Ａ	B882396244	0	
603127	昭衍新药	600	600	0	92.243	92.352	90.760	-1.72	-954.058	54456.000	上海Ａ	B882396244	0	
603138	海量数据	200	200	0	21.764	21.811	21.640	-0.79	-34.215	4328.000	上海Ａ	B882396244	0	
603179	新泉股份	200	200	0	22.184	22.232	23.710	6.66	295.363	4742.000	上海Ａ	B882396244	0	
603181	皇马科技	1400	1400	0	21.271	21.296	21.320	0.11	33.155	29848.000	上海Ａ	B882396244	0	
603185	上机数控	100	100	0	43.098	43.192	43.170	-0.05	-2.203	4317.000	上海Ａ	B882396244	0	
