冻结金额,可用,参考市值,资产
0.0,846.55,1200.37,2046.92
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值
511990,华宝添益,12,12,-3184.7675,39417.582,1200.372
