更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:17:18.707    10:32:31.046    218343556       10149           002151          100 证券买入    1000            0               0               60.7900         0.0000                  废单            [资金可用余额]不足，尚需[37350.510]，其中预留金额[0.000]
15:17:18.722    10:32:37.945    234339031       10167           601689          100 证券买入    400             0               0               41.7200         0.0000                  废单            [资金可用余额]不足，尚需[9670.580]，其中预留金额[0.000]
15:17:18.722    10:32:44.945    226336604       10186           601012          100 证券买入    4900            0               0               54.8000         0.0000                  废单            [资金可用余额]不足，尚需[55460.590]，其中预留金额[0.000]
15:17:18.722    10:32:45.244    238345595       10189           600988          100 证券买入    11100           0               0               21.4500         0.0000                  废单            [资金可用余额]不足，尚需[135781.010]，其中预留金额[0.000]
15:17:18.722    10:35:41.837    238345751       10345           600988          100 证券买入    4200            0               0               21.3000         0.0000                  废单            [资金可用余额]不足，尚需[28467.890]，其中预留金额[0.000]
15:17:18.722    10:35:58.333    222348098       10360           600988          100 证券买入    9000            0               0               21.2800         0.0000                  废单            [资金可用余额]不足，尚需[129036.850]，其中预留金额[0.000]
15:17:18.722    10:36:18.633    210340437       10363           600988          100 证券买入    8400            0               0               21.2200         0.0000                  废单            [资金可用余额]不足，尚需[112300.190]，其中预留金额[0.000]
15:17:18.722    10:36:39.532    230347438       10369           600988          100 证券买入    7700            0               0               21.1800         0.0000                  废单            [资金可用余额]不足，尚需[61389.300]，其中预留金额[0.000]
15:17:18.722    10:36:45.932    222348135       10382           600988          100 证券买入    4000            0               0               21.1700         0.0000                  废单            [资金可用余额]不足，尚需[55796.960]，其中预留金额[0.000]
15:17:18.722    10:37:19.831    206345380       10422           600988          100 证券买入    10500           0               0               21.1000         0.0000                  废单            [资金可用余额]不足，尚需[87948.650]，其中预留金额[0.000]
15:17:18.722    10:47:49.900    222348656       10754           601066          100 证券买入    1800            0               0               53.6700         0.0000                  废单            [资金可用余额]不足，尚需[36766.410]，其中预留金额[0.000]
15:17:18.722    10:49:15.296    206345919       10824           601066          100 证券买入    2300            0               0               53.6500         0.0000                  废单            [资金可用余额]不足，尚需[52449.370]，其中预留金额[0.000]
15:17:18.722    10:49:35.995    202338571       10835           601066          100 证券买入    1700            0               0               53.6500         0.0000                  废单            [资金可用余额]不足，尚需[175.200]，其中预留金额[0.000]
15:17:18.722    10:49:57.896    222348715       10858           600095          100 证券买入    5800            0               0               17.5100         0.0000                  废单            [资金可用余额]不足，尚需[80070.670]，其中预留金额[0.000]
15:17:18.722    10:50:28.492    202338609       10866           601066          100 证券买入    500             0               0               53.6200         0.0000                  废单            [资金可用余额]不足，尚需[12416.280]，其中预留金额[0.000]
15:17:18.722    10:50:33.593    222348754       10868           601066          100 证券买入    400             0               0               53.6200         0.0000                  废单            [资金可用余额]不足，尚需[2397.800]，其中预留金额[0.000]
15:17:18.722    10:50:38.792    202338619       10871           601066          100 证券买入    1900            0               0               53.6100         0.0000                  废单            [资金可用余额]不足，尚需[77593.020]，其中预留金额[0.000]
15:17:18.722    10:50:54.492    218344398       10881           600095          100 证券买入    900             0               0               17.5000         0.0000                  废单            [资金可用余额]不足，尚需[8958.930]，其中预留金额[0.000]
15:17:18.738    10:51:49.288    218344429       10893           002026          100 证券买入    30000           0               0               9.4200          0.0000                  废单            [资金可用余额]不足，尚需[161005.720]，其中预留金额[0.000]
15:17:18.738    10:52:40.686    226337505       10909           600095          100 证券买入    5100            0               0               17.4800         0.0000                  废单            [资金可用余额]不足，尚需[5951.180]，其中预留金额[0.000]
15:17:18.738    10:53:17.588    214345300       10934           601066          100 证券买入    800             0               0               53.7200         0.0000                  废单            [资金可用余额]不足，尚需[5664.420]，其中预留金额[0.000]
15:17:18.738    10:54:46.282    206346126       10985           601066          100 证券买入    1000            0               0               53.8300         0.0000                  废单            [资金可用余额]不足，尚需[29609.080]，其中预留金额[0.000]
15:17:18.910    10:56:22.377    218344613       11009           600095          100 证券买入    2500            0               0               17.6100         0.0000                  废单            [资金可用余额]不足，尚需[15637.380]，其中预留金额[0.000]
15:17:18.910    10:56:37.375    218344623       11011           600095          100 证券买入    1900            0               0               17.6300         0.0000                  废单            [资金可用余额]不足，尚需[1886.070]，其中预留金额[0.000]
15:17:18.910    10:56:38.375    218344624       11012           603069          100 证券买入    5000            0               0               40.7200         0.0000                  废单            [资金可用余额]不足，尚需[172024.790]，其中预留金额[0.000]
15:17:18.910    10:56:53.776    238346620       11015           603069          100 证券买入    5000            0               0               40.5700         0.0000                  废单            [资金可用余额]不足，尚需[164807.480]，其中预留金额[0.000]
15:17:18.910    10:59:39.867    230348350       11040           603069          100 证券买入    13400           0               0               40.7200         0.0000                  废单            [资金可用余额]不足，尚需[404376.710]，其中预留金额[0.000]
