业务日期,机构代码,机构名称,产品编号,产品名称,账户编号,账户名称,组合代码,组合名称,交易市场,证券代码,证券名称,T0指令可用,T0交易可用,持仓数量,盈亏成本,盈亏成本价,买入成本价,实时盈亏,买入成本,浮动盈亏,浮盈率,实现盈亏,市值,市值/产品净资产(%),价格|最新价,价格|昨收价,价格|市值计算价,价格|公允价,价格|市均价,交易信息|当日买量,交易信息|当日卖量,交易信息|净买量,交易信息|当日买金额,交易信息|当日卖金额,交易信息|净买金额,交易信息|当日买入价,交易信息|当日卖出价,交易信息|预买数量,交易信息|预卖数量,当日调整数量,待上市|网上新股,待上市|网下新股,待上市|红股,待上市|配股,配股数量,非流通数量,清算冻结数量,投保标识,持仓方向,投资类型,资金账号,股东账户,托管席位,证券内码,质押数量,盯市持仓均价,逐笔持仓均价
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300070,碧水源,4800,4800,4800,43150.169999999998,8.98961875,8.98961875,-2206.1699999999983,43150.169999999998,-2206.1699999999983,-5.3882620164126571,0,40944,0.046580790652158373,8.5299999999999994,8.7100000000000009,8.5299999999999994,0,8.5647079099999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300070SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300072,三聚环保,2600,2600,2600,13736.860000000001,5.2834076923076925,5.2834076923076925,771.13999999999942,13736.860000000001,771.13999999999942,5.3152743314033595,0,14508,0.016505327051131148,5.5800000000000001,5.7000000000000002,5.5800000000000001,0,5.5764799900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300072SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300074,华平股份,200,200,200,915.11000000000001,4.5755499999999998,4.5755499999999998,36.889999999999986,915.11000000000001,36.889999999999986,3.8749999999999987,0,952,0.0010830625415410018,4.7599999999999998,4.8499999999999996,4.7599999999999998,0,4.7677596600000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300074SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300075,数字政通,1600,1600,1600,26016.580000000002,16.260362499999999,16.260362499999999,-1360.5800000000017,26016.580000000002,-1360.5800000000017,-5.5182511356262243,0,24656,0.028050409689322413,15.41,16.030000000000001,15.41,0,15.40846247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300075SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300076,GQY视讯,100,100,100,486.06,4.8605999999999998,4.8605999999999998,29.939999999999998,486.06,29.939999999999998,5.8023255813953485,0,516,0.0005870381002470135,5.1600000000000001,5.2699999999999996,5.1600000000000001,0,5.13967244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300076SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300079,数码科技,219963,219963,219963,1154847.78,5.2501910775903218,5.2501910775903218,-57232.409999999916,1154847.78,-57232.409999999916,-5.2142500519102528,0,1097615.3700000001,1.2487248868347343,4.9900000000000002,5.1299999999999999,4.9900000000000002,0,5.0080492699999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300079SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300080,易成新能,1400,1400,1400,7322.7200000000003,5.2305142857142863,5.2305142857142863,-0.72000000000025466,7322.7200000000003,-0.72000000000025466,-0.0098333788582389333,0,7322,0.0083300251356756439,5.2300000000000004,5.4000000000000004,5.2300000000000004,0,5.2613974900000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300080SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300081,恒信东方,500,500,500,4592.6400000000003,9.1852800000000006,8.9275200000000012,-162.64000000000033,4463.7600000000002,-33.760000000000218,-0.76207674943567083,-128.88,4430,0.0050398813645237787,8.8599999999999994,9.0199999999999996,8.8599999999999994,0,8.8529930700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300081SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300082,奥克股份,5600,5600,5600,47226.230000000003,8.4332553571428583,8.4332553571428583,-522.2300000000032,47226.230000000003,-522.2300000000032,-1.118169749914361,0,46704,0.0531337740967762,8.3399999999999999,8.6199999999999992,8.3399999999999999,0,8.4550855499999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300082SZ,0,0,0
20200810,17011,上海鸣石,17011003,极速-鸣石锐驰1号,270,极速-鸣石锐驰1号-默认资产单元,277,极速-鸣石锐驰1号-默认组合,0,300083,创世纪,17100,17100,17100,148890.38999999998,8.7070403508771914,10.241918128654969,64859.610000000015,175136.79999999999,38613.200000000012,18.064654970760238,26246.41,213750,0.24317712001511463,12.5,11.359999999999999,12.5,0,12.07127229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,10268,0899200766,248800,300083SZ,0,0,0
