更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:24:27.861    10:53:58.232    234323050       11770           002108          100 证券买入    30400           0               0               6.4400          0.0000                  废单            [资金可用余额]不足，尚需[60273.630]，其中预留金额[0.000]
15:24:28.502    11:00:27.516    238329900       12121           300719          100 证券买入    400             0               0               17.3400         0.0000                  废单            [资金可用余额]不足，尚需[6113.260]，其中预留金额[0.000]
15:24:28.502    11:00:27.721    210324275       12122           603678          100 证券买入    500             0               0               41.6800         0.0000                  废单            [资金可用余额]不足，尚需[20020.180]，其中预留金额[0.000]
15:24:28.502    11:00:32.815    206329462       12124           000930          100 证券买入    4300            0               0               9.5600          0.0000                  废单            [资金可用余额]不足，尚需[33737.550]，其中预留金额[0.000]
15:24:28.502    11:00:32.914    214328622       12125           603167          100 证券买入    1600            0               0               18.4000         0.0000                  废单            [资金可用余额]不足，尚需[22067.920]，其中预留金额[0.000]
15:24:28.502    11:00:48.416    234323356       12133           300702          100 证券买入    100             0               0               116.8400        0.0000                  废单            [资金可用余额]不足，尚需[2341.940]，其中预留金额[0.000]
15:24:28.502    11:00:53.913    210324308       12139           000768          100 证券买入    100             0               0               26.5800         0.0000                  废单            [资金可用余额]不足，尚需[389.170]，其中预留金额[0.000]
15:24:28.502    11:00:59.714    218327918       12148           000768          100 证券买入    200             0               0               26.5400         0.0000                  废单            [资金可用余额]不足，尚需[2693.490]，其中预留金额[0.000]
15:24:28.502    11:00:59.814    226321260       12149           002949          100 证券买入    100             0               0               32.8900         0.0000                  废单            [资金可用余额]不足，尚需[674.100]，其中预留金额[0.000]
15:24:28.502    11:01:25.612    238329976       12162           603167          100 证券买入    1600            0               0               18.5500         0.0000                  废单            [资金可用余额]不足，尚需[6089.510]，其中预留金额[0.000]
15:24:28.502    11:03:04.111    234323519       12211           000019          100 证券买入    14600           0               0               11.3500         0.0000                  废单            [资金可用余额]不足，尚需[23898.710]，其中预留金额[0.000]
15:24:28.502    14:45:27.539    218338075       12398           600118          100 证券买入    25000           0               0               41.0700         0.0000                  废单            [资金可用余额]不足，尚需[382219.980]，其中预留金额[0.000]
