时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-08-03 09:30:21,20300226218,603538,美诺华,全成,已结束订单,卖出,46.2,60,60,46.2,2772,0,限价,SHDDF0_20300226218_SH_3935,CSV,文件扫单,CSV@56400001,8980000931,603538.SH
2020-08-03 09:30:21,9912900268,600318,新力金融,全成,已结束订单,卖出,11.6,20,20,11.75,235,0,限价,SHDDF0_9912900268_SH_3936,CSV,文件扫单,CSV@57400012,8980000931,600318.SH
2020-08-03 09:30:21,9912900268,002014,永新股份,全成,已结束订单,卖出,11.55,79,79,11.66,921.14,0,限价,SHDDF0_9912900268_SZ_3937,CSV,文件扫单,CSV@57400014,8980000931,002014.SZ
2020-08-03 09:30:21,9912900268,300390,天华超净,全成,已结束订单,卖出,19.82,60,60,19.88,1192.8,0,限价,SHDDF0_9912900268_SZ_3938,CSV,文件扫单,CSV@57400015,8980000931,300390.SZ
2020-08-03 09:30:21,9912900268,300085,银之杰,全成,已结束订单,卖出,22.61,24,24,22.65,543.6,0,限价,SHDDF0_9912900268_SZ_3939,CSV,文件扫单,CSV@57400016,8980000931,300085.SZ
2020-08-03 09:30:21,9912900268,002928,华夏航空,全成,已结束订单,卖出,10.85,28,28,10.87,304.36,0,限价,SHDDF0_9912900268_SZ_3940,CSV,文件扫单,CSV@57400017,8980000931,002928.SZ
2020-08-03 09:30:21,9912900268,000686,东北证券,全成,已结束订单,卖出,11.38,20,20,11.42,228.4,0,限价,SHDDF0_9912900268_SZ_3941,CSV,文件扫单,CSV@57400018,8980000931,000686.SZ
2020-08-03 09:30:21,9912900268,002024,苏宁易购,全成,已结束订单,卖出,10.36,3,3,10.39,31.17,0,限价,SHDDF0_9912900268_SZ_3942,CSV,文件扫单,CSV@57400021,8980000931,002024.SZ
2020-08-03 09:30:21,9912900268,002104,恒宝股份,全成,已结束订单,卖出,10.82,72,72,10.85,781.2,0,限价,SHDDF0_9912900268_SZ_3943,CSV,文件扫单,CSV@57400023,8980000931,002104.SZ
2020-08-03 13:01:27,9912900268,002833,弘亚数控,全撤,已结束订单,卖出,36.93,100,0,0,0,100,限价,SHDDF0_9912900268_SZ_184089,CSV,文件扫单,CSV@57504874,8980000931,002833.SZ
