时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-07-29 09:15:42,20300226218,601818,光大银行,全撤,已结束订单,买入,3.6,100,0,0,0,100,限价,SHDDF0_20300226218_SH_7,DBF,文件扫单,DBF@5630004,8980000931,601818.SH
2020-07-29 09:30:18,20300226218,002745,木林森,全成,已结束订单,卖出,17.01,75,75,17.04,1278,0,限价,SHDDF0_20300226218_SZ_3474,DBF,文件扫单,DBF@5630008,8980000931,002745.SZ
2020-07-29 09:37:05,20300226218,002425,凯撒文化,全撤,已结束订单,卖出,13.48,300,0,0,0,300,限价,SHDDF0_20300226218_SZ_31758,DBF,文件扫单,DBF@5631331,8980000931,002425.SZ
2020-07-29 09:37:05,20300226218,300085,银之杰,全成,已结束订单,卖出,21.25,400,400,21.26,8504,0,限价,SHDDF0_20300226218_SZ_31759,DBF,文件扫单,DBF@5631332,8980000931,300085.SZ
2020-07-29 09:37:05,20300226218,300149,量子生物,全成,已结束订单,卖出,19.13,100,100,19.14,1914,0,限价,SHDDF0_20300226218_SZ_31760,DBF,文件扫单,DBF@5631333,8980000931,300149.SZ
2020-07-29 09:37:05,20300226218,300316,晶盛机电,全撤,已结束订单,卖出,24.14,200,0,0,0,200,限价,SHDDF0_20300226218_SZ_31761,DBF,文件扫单,DBF@5631334,8980000931,300316.SZ
2020-07-29 09:37:05,20300226218,002409,雅克科技,全成,已结束订单,卖出,58.45,200,200,58.46,11692,0,限价,SHDDF0_20300226218_SZ_31762,DBF,文件扫单,DBF@5631335,8980000931,002409.SZ
2020-07-29 09:37:05,20300226218,002557,洽洽食品,全撤,已结束订单,卖出,57.96,100,0,0,0,100,限价,SHDDF0_20300226218_SZ_31763,DBF,文件扫单,DBF@5631336,8980000931,002557.SZ
2020-07-29 09:37:05,20300226218,300148,天舟文化,全撤,已结束订单,卖出,4.95,6600,0,0,0,6600,限价,SHDDF0_20300226218_SZ_31764,DBF,文件扫单,DBF@5631337,8980000931,300148.SZ
2020-07-29 09:37:05,20300226218,300740,御家汇,全撤,已结束订单,卖出,19.99,600,0,0,0,600,限价,SHDDF0_20300226218_SZ_31765,DBF,文件扫单,DBF@5631338,8980000931,300740.SZ
