时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-07-30 09:13:55,20300226218,601818,光大银行,全撤,已结束订单,买入,3.6,100,0,0,0,100,限价,SHDDF0_20300226218_SH_10,DBF,文件扫单,DBF@5640004,8980000931,601818.SH
2020-07-30 09:30:19,20300226218,300148,天舟文化,全成,已结束订单,卖出,5.27,90,90,5.32,478.8,0,限价,SHDDF0_20300226218_SZ_3838,DBF,文件扫单,DBF@5640023,8980000931,300148.SZ
2020-07-30 09:37:26,20300226218,300202,聚龙股份,全成,已结束订单,卖出,14.28,9000,9000,14.284556,128561.004,0,限价,SHDDF0_20300226218_SZ_36501,DBF,文件扫单,DBF@5640242,8980000931,300202.SZ
2020-07-30 09:37:26,20300226218,300618,寒锐钴业,全成,已结束订单,卖出,76.43,700,700,76.52,53564,0,限价,SHDDF0_20300226218_SZ_36502,DBF,文件扫单,DBF@5640243,8980000931,300618.SZ
2020-07-30 09:37:26,20300226218,600201,生物股份,全撤,已结束订单,卖出,28.55,500,0,0,0,500,限价,SHDDF0_20300226218_SH_36503,DBF,文件扫单,DBF@5640244,8980000931,600201.SH
2020-07-30 09:37:27,20300226218,000733,振华科技,全撤,已结束订单,卖出,37.9,400,0,0,0,400,限价,SHDDF0_20300226218_SZ_36571,DBF,文件扫单,DBF@5640245,8980000931,000733.SZ
2020-07-30 09:37:27,20300226218,000987,越秀金控,全成,已结束订单,卖出,22.94,1500,1500,22.959333,34438.9995,0,限价,SHDDF0_20300226218_SZ_36572,DBF,文件扫单,DBF@5640246,8980000931,000987.SZ
2020-07-30 09:37:27,20300226218,002013,中航机电,全成,已结束订单,卖出,10.64,5100,5100,10.64,54264,0,限价,SHDDF0_20300226218_SZ_36573,DBF,文件扫单,DBF@5640247,8980000931,002013.SZ
2020-07-30 09:37:27,20300226218,002163,海南发展,全成,已结束订单,卖出,14.98,2500,2500,15,37500,0,限价,SHDDF0_20300226218_SZ_36574,DBF,文件扫单,DBF@5640248,8980000931,002163.SZ
2020-07-30 09:37:27,20300226218,002555,三七互娱,全成,已结束订单,卖出,44.6,100,100,44.6,4460,0,限价,SHDDF0_20300226218_SZ_36575,DBF,文件扫单,DBF@5640249,8980000931,002555.SZ
2020-07-30 09:37:27,20300226218,603106,恒银科技,全成,已结束订单,卖出,10.61,3800,3800,10.62,40356,0,限价,SHDDF0_20300226218_SH_36576,DBF,文件扫单,DBF@5640250,8980000931,603106.SH
