时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-08-05 09:27:59,20300226218,601818,光大银行,全撤,已结束订单,买入,3.6,100,0,0,0,100,限价,SHDDF0_20300226218_SH_1346,CSV,文件扫单,CSV@56500004,8980000931,601818.SH
2020-08-05 10:32:06,20300226218,002371,北方华创,全成,已结束订单,卖出,216.94,400,400,217.045,86818,0,限价,SHDDF0_20300226218_SZ_133806,CSV,文件扫单,CSV@56504001,8980000931,002371.SZ
2020-08-05 10:32:06,20300226218,300618,寒锐钴业,全撤,已结束订单,卖出,80.42,100,0,0,0,100,限价,SHDDF0_20300226218_SZ_133807,CSV,文件扫单,CSV@56504002,8980000931,300618.SZ
2020-08-05 10:32:06,20300226218,300366,创意信息,全成,已结束订单,卖出,17.44,100,100,17.45,1745,0,限价,SHDDF0_20300226218_SZ_133808,CSV,文件扫单,CSV@56504003,8980000931,300366.SZ
2020-08-05 10:32:06,20300226218,600337,美克家居,部撤,已结束订单,卖出,5.21,5600,400,5.21,2084,5200,限价,SHDDF0_20300226218_SH_133809,CSV,文件扫单,CSV@56504004,8980000931,600337.SH
2020-08-05 10:32:06,20300226218,300599,雄塑科技,全成,已结束订单,卖出,14.45,100,100,14.45,1445,0,限价,SHDDF0_20300226218_SZ_133820,CSV,文件扫单,CSV@56504005,8980000931,300599.SZ
2020-08-05 10:32:06,20300226218,600490,鹏欣资源,全撤,已结束订单,卖出,4.41,8900,0,0,0,8900,限价,SHDDF0_20300226218_SH_133821,CSV,文件扫单,CSV@56504006,8980000931,600490.SH
2020-08-05 10:32:06,20300226218,000733,振华科技,全成,已结束订单,卖出,39.39,1300,1300,39.43,51259,0,限价,SHDDF0_20300226218_SZ_133822,CSV,文件扫单,CSV@56504007,8980000931,000733.SZ
2020-08-05 10:32:06,20300226218,600601,方正科技,全成,已结束订单,卖出,5.25,8700,8700,5.25,45675,0,限价,SHDDF0_20300226218_SH_133823,CSV,文件扫单,CSV@56504008,8980000931,600601.SH
2020-08-05 10:32:06,20300226218,601108,财通证券,全成,已结束订单,卖出,15.35,11400,11400,15.35,174990,0,限价,SHDDF0_20300226218_SH_133824,CSV,文件扫单,CSV@56504009,8980000931,601108.SH
2020-08-05 10:32:06,20300226218,000603,盛达资源,全成,已结束订单,卖出,18.5,700,700,18.505714,12953.9998,0,限价,SHDDF0_20300226218_SZ_133825,CSV,文件扫单,CSV@56504010,8980000931,000603.SZ
