时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-07-24 09:30:17,20300226218,000830,鲁西化工,全成,已结束订单,卖出,11.66,15,15,11.7,175.5,0,限价,SHDDF0_20300226218_SZ_4310,DBF,文件扫单,DBF@561,8980000931,000830.SZ
2020-07-24 09:38:13,20300226218,002803,吉宏股份,全成,已结束订单,卖出,41.26,200,200,41.28,8256,0,限价,SHDDF0_20300226218_SZ_58352,DBF,文件扫单,DBF@562,8980000931,002803.SZ
2020-07-24 09:38:13,20300226218,300095,华伍股份,全成,已结束订单,卖出,10.91,3100,3100,10.92,33852,0,限价,SHDDF0_20300226218_SZ_58353,DBF,文件扫单,DBF@563,8980000931,300095.SZ
2020-07-24 09:38:13,20300226218,300458,全志科技,全成,已结束订单,卖出,45.15,1100,1100,45.3,49830,0,限价,SHDDF0_20300226218_SZ_58354,DBF,文件扫单,DBF@564,8980000931,300458.SZ
2020-07-24 09:38:13,20300226218,002425,凯撒文化,全成,已结束订单,卖出,14.26,3700,3700,14.266486,52785.9982,0,限价,SHDDF0_20300226218_SZ_58355,DBF,文件扫单,DBF@565,8980000931,002425.SZ
2020-07-24 09:38:13,20300226218,300233,金城医药,全成,已结束订单,卖出,42.26,100,100,42.32,4232,0,限价,SHDDF0_20300226218_SZ_58356,DBF,文件扫单,DBF@566,8980000931,300233.SZ
2020-07-24 09:38:13,20300226218,300496,中科创达,全成,已结束订单,卖出,101.4,200,200,101.4,20280,0,限价,SHDDF0_20300226218_SZ_58357,DBF,文件扫单,DBF@567,8980000931,300496.SZ
2020-07-24 09:38:13,20300226218,600435,北方导航,全成,已结束订单,卖出,9.28,7400,7400,9.28,68672,0,限价,SHDDF0_20300226218_SH_58358,DBF,文件扫单,DBF@568,8980000931,600435.SH
2020-07-24 09:38:13,20300226218,600580,卧龙电驱,全成,已结束订单,卖出,12.74,2600,2600,12.76,33176,0,限价,SHDDF0_20300226218_SH_58359,DBF,文件扫单,DBF@569,8980000931,600580.SH
2020-07-24 09:38:13,20300226218,002563,森马服饰,全成,已结束订单,卖出,8.44,8900,8900,8.450112,75205.9968,0,限价,SHDDF0_20300226218_SZ_58360,DBF,文件扫单,DBF@5610,8980000931,002563.SZ
2020-07-24 09:38:13,20300226218,300183,东软载波,全成,已结束订单,卖出,23.21,200,200,23.21,4642,0,限价,SHDDF0_20300226218_SZ_58361,DBF,文件扫单,DBF@5611,8980000931,300183.SZ
2020-07-24 09:38:13,20300226218,600285,羚锐制药,全成,已结束订单,卖出,11.24,3600,3600,11.24,40464,0,限价,SHDDF0_20300226218_SH_58362,DBF,文件扫单,DBF@5612,8980000931,600285.SH
2020-07-24 09:38:13,20300226218,300054,鼎龙股份,全成,已结束订单,卖出,19.47,100,100,19.49,1949,0,限价,SHDDF0_20300226218_SZ_58363,DBF,文件扫单,DBF@5613,8980000931,300054.SZ
