时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-07-31 09:18:47,20300226218,601818,光大银行,全撤,已结束订单,买入,3.6,100,0,0,0,100,限价,SHDDF0_20300226218_SH_28,CSV,文件扫单,CSV@56400006,8980000931,601818.SH
2020-07-31 09:36:55,20300226218,603538,美诺华,全撤,已结束订单,卖出,47.29,200,0,0,0,200,限价,SHDDF0_20300226218_SH_40266,CSV,文件扫单,CSV@56400427,8980000931,603538.SH
2020-07-31 09:36:55,20300226218,603605,珀莱雅,全撤,已结束订单,卖出,183.74,100,0,0,0,100,限价,SHDDF0_20300226218_SH_40267,CSV,文件扫单,CSV@56400428,8980000931,603605.SH
2020-07-31 09:36:55,20300226218,300031,宝通科技,全成,已结束订单,卖出,25.25,1400,1400,25.25,35350,0,限价,SHDDF0_20300226218_SZ_40268,CSV,文件扫单,CSV@56400429,8980000931,300031.SZ
2020-07-31 09:36:56,20300226218,300758,七彩化学,全成,已结束订单,卖出,32.68,200,200,32.69,6538,0,限价,SHDDF0_20300226218_SZ_40287,CSV,文件扫单,CSV@56400431,8980000931,300758.SZ
2020-07-31 09:36:56,20300226218,600515,海航基础,全成,已结束订单,卖出,6.95,27700,27700,6.96,192792,0,限价,SHDDF0_20300226218_SH_40288,CSV,文件扫单,CSV@56400432,8980000931,600515.SH
2020-07-31 09:36:56,20300226218,300740,御家汇,全成,已结束订单,卖出,22.19,3000,3000,22.19,66570,0,限价,SHDDF0_20300226218_SZ_40289,CSV,文件扫单,CSV@56400433,8980000931,300740.SZ
2020-07-31 09:36:56,20300226218,300300,汉鼎宇佑,全成,已结束订单,卖出,6.2,3900,3900,6.2,24180,0,限价,SHDDF0_20300226218_SZ_40290,CSV,文件扫单,CSV@56400434,8980000931,300300.SZ
2020-07-31 09:36:56,20300226218,300053,欧比特,全撤,已结束订单,卖出,12.03,5600,0,0,0,5600,限价,SHDDF0_20300226218_SZ_40291,CSV,文件扫单,CSV@56400435,8980000931,300053.SZ
2020-07-31 09:36:56,20300226218,300118,东方日升,全成,已结束订单,卖出,18.09,2000,2000,18.134,36268,0,限价,SHDDF0_20300226218_SZ_40292,CSV,文件扫单,CSV@56400436,8980000931,300118.SZ
2020-07-31 09:36:56,20300226218,300629,新劲刚,全撤,已结束订单,卖出,30.27,200,0,0,0,200,限价,SHDDF0_20300226218_SZ_40293,CSV,文件扫单,CSV@56400437,8980000931,300629.SZ
2020-07-31 09:36:56,20300226218,002581,未名医药,全成,已结束订单,卖出,23.17,1200,1200,23.213333,27855.9996,0,限价,SHDDF0_20300226218_SZ_40294,CSV,文件扫单,CSV@56400438,8980000931,002581.SZ
2020-07-31 09:36:56,20300226218,000795,英洛华,部撤,已结束订单,卖出,6.45,19900,10000,6.45,64500,9900,限价,SHDDF0_20300226218_SZ_40295,CSV,文件扫单,CSV@56400439,8980000931,000795.SZ
