证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2947,101,证券卖出,97,63.15,已成,0
600926,101,证券卖出,51,9.6,已成,0
300504,101,证券卖出,300,26.89,已成,0
300741,101,证券卖出,200,41.94,已成,0
603360,101,证券卖出,300,19.52,部分成交,0
603360,101,证券卖出,200,19.52,已成,0
300751,100,证券买入,100,288.31,已成,0
403,100,证券买入,100,72.97,已成,0
2891,100,证券买入,100,38.36,部分成交,0
600933,101,证券卖出,800,13.61,已成,0
2891,100,证券买入,200,38.36,部分成交,0
603568,101,证券卖出,400,22.94,部分成交,0
603568,101,证券卖出,100,22.94,已成,0
2891,100,证券买入,300,38.36,部分成交,0
603239,101,证券卖出,800,14.31,部分成交,0
603239,101,证券卖出,100,14.31,已成,0
603387,100,证券买入,300,39.03,已成,0
300504,101,证券卖出,100,26.89,部分成交,0
300504,101,证券卖出,100,26.88,部分成交,0
300504,101,证券卖出,100,26.88,已成,0
300741,101,证券卖出,500,41.93,部分成交,0
300741,101,证券卖出,100,41.93,已成,0
300739,101,证券卖出,100,20.77,部分成交,0
300739,101,证券卖出,300,20.73,已成,0
600933,101,证券卖出,400,13.61,已成,0
603360,101,证券卖出,100,19.54,部分成交,0
603297,101,证券卖出,100,44.35,已成,0
603360,101,证券卖出,600,19.52,已成,0
603239,101,证券卖出,900,14.31,已成,0
603568,101,证券卖出,700,22.91,已成,0
603816,101,证券卖出,100,48.77,部分成交,0
603816,101,证券卖出,200,48.7,已成,0
603338,100,证券买入,100,73.65,部分成交,0
603338,100,证券买入,100,73.65,已成,0
603208,101,证券卖出,100,100.69,已成,0
603387,100,证券买入,2100,39.01,已成,0
403,100,证券买入,100,72.76,已成,0
300504,101,证券卖出,300,26.89,已成,0
300741,101,证券卖出,700,41.94,部分成交,0
300741,101,证券卖出,200,41.94,已成,0
603360,101,证券卖出,500,19.52,已成,0
600933,101,证券卖出,400,13.6,部分成交,0
600933,101,证券卖出,600,13.6,已成,0
403,100,证券买入,100,72.82,已成,0
603297,101,证券卖出,100,44.31,已成,0
603239,101,证券卖出,900,14.3,已成,0
603208,101,证券卖出,100,100.6,已成,0
2891,100,证券买入,200,38.4,已成,0
603816,101,证券卖出,67,48.7,部分成交,0
603816,101,证券卖出,33,48.7,已成,0
603338,100,证券买入,100,73.66,已成,0
300741,101,证券卖出,100,41.93,已成,0
403,100,证券买入,100,72.69,已成,0
300739,101,证券卖出,200,20.73,已成,0
603297,101,证券卖出,400,44.45,已成,0
300741,101,证券卖出,200,41.86,已成,0
603338,100,证券买入,100,73.65,已成,0
300504,101,证券卖出,500,26.88,已成,0
403,100,证券买入,100,72.63,已成,0
600933,101,证券卖出,200,13.58,已成,0
603338,100,证券买入,300,73.59,已成,0
300504,101,证券卖出,600,26.88,已成,0
603360,101,证券卖出,100,19.52,部分成交,0
603297,101,证券卖出,100,44.36,已成,0
603360,101,证券卖出,200,19.51,已成,0
300741,101,证券卖出,600,41.74,已成,0
603338,100,证券买入,100,73.65,已成,0
603387,100,证券买入,2100,38.86,已成,0
300504,101,证券卖出,800,26.86,已成,0
300741,101,证券卖出,100,41.66,部分成交,0
300741,101,证券卖出,200,41.65,部分成交,0
300741,101,证券卖出,100,41.65,已成,0
403,100,证券买入,100,72.69,已成,0
2891,100,证券买入,100,38.39,部分成交,0
2891,100,证券买入,4300,38.4,已成,0
600933,101,证券卖出,400,13.56,部分成交,0
600933,101,证券卖出,1600,13.55,已成,0
603360,101,证券卖出,1100,19.53,已成,0
603297,101,证券卖出,100,44.36,已成,0
603208,101,证券卖出,100,101.13,已成,0
603387,100,证券买入,3400,38.86,已成,0
603338,100,证券买入,100,73.61,已成,0
300504,101,证券卖出,900,26.85,部分成交,0
300504,101,证券卖出,100,26.85,部分成交,0
300504,101,证券卖出,100,26.85,已成,0
300739,101,证券卖出,400,20.7,已成,0
300741,101,证券卖出,500,41.65,已成,0
603239,101,证券卖出,400,14.29,已成,0
603568,101,证券卖出,400,22.92,已成,0
603816,101,证券卖出,100,48.55,部分成交,0
603360,101,证券卖出,900,19.55,已成,0
603816,101,证券卖出,500,48.55,已成,0
600933,101,证券卖出,1700,13.55,部分成交,0
600933,101,证券卖出,300,13.55,已成,0
603338,100,证券买入,100,73.56,已成,0
2891,100,证券买入,900,38.32,部分成交,0
603387,100,证券买入,200,38.88,部分成交,0
603387,100,证券买入,1200,38.88,部分成交,0
300504,101,证券卖出,1300,26.84,部分成交,0
300504,101,证券卖出,100,26.83,部分成交,0
300504,101,证券卖出,100,26.83,已成,0
603360,101,证券卖出,100,19.58,部分成交,0
603360,101,证券卖出,2500,19.57,已成,0
300739,101,证券卖出,100,20.7,部分成交,0
300739,101,证券卖出,200,20.7,已成,0
600933,101,证券卖出,300,13.56,已成,0
603297,101,证券卖出,200,44.3,部分成交,0
603297,101,证券卖出,100,44.3,部分成交,0
603297,101,证券卖出,100,44.3,已成,0
2891,100,证券买入,500,38.44,部分成交,0
300751,100,证券买入,100,287.82,已成,0
603239,101,证券卖出,300,14.28,已成,0
603208,101,证券卖出,100,101.17,已成,0
603568,101,证券卖出,200,22.93,部分成交,0
603568,101,证券卖出,200,22.93,部分成交,0
603568,101,证券卖出,400,22.93,已成,0
603338,100,证券买入,100,73.56,已成,0
603387,100,证券买入,100,38.9,已成,0
2891,100,证券买入,100,38.44,部分成交,0
2891,100,证券买入,700,38.44,已成,0
603816,101,证券卖出,100,48.53,已成,0
300739,101,证券卖出,400,20.69,已成,0
300504,101,证券卖出,1400,26.83,已成,0
300741,101,证券卖出,200,41.65,已成,0
603816,101,证券卖出,100,48.5,已成,0
603208,101,证券卖出,100,101.17,已成,0
603360,101,证券卖出,1300,19.59,已成,0
603297,101,证券卖出,200,44.3,部分成交,0
603297,101,证券卖出,200,44.3,已成,0
2891,100,证券买入,500,38.44,部分成交,0
600933,101,证券卖出,300,13.55,已成,0
403,100,证券买入,100,73.05,已成,0
603568,101,证券卖出,310,22.88,部分成交,0
603568,101,证券卖出,390,22.88,已成,0
603338,100,证券买入,100,73.53,已成,0
603387,100,证券买入,1000,38.92,已成,0
603239,101,证券卖出,100,14.28,已成,0
300504,101,证券卖出,1100,26.82,已成,0
300741,101,证券卖出,500,41.66,已成,0
603360,101,证券卖出,1300,19.6,已成,0
300739,101,证券卖出,200,20.71,已成,0
600933,101,证券卖出,300,13.55,部分成交,0
603297,101,证券卖出,100,44.3,部分成交,0
603239,101,证券卖出,300,14.28,已成,0
600933,101,证券卖出,500,13.55,部分成交,0
603297,101,证券卖出,100,44.29,已成,0
2891,100,证券买入,1300,38.49,已成,0
300751,100,证券买入,100,288.24,已成,0
403,100,证券买入,100,73.01,已成,0
603338,100,证券买入,100,73.47,部分成交,0
603387,100,证券买入,1000,38.95,已成,0
603338,100,证券买入,100,73.47,已成,0
300504,101,证券卖出,2000,26.82,部分成交,0
300504,101,证券卖出,100,26.81,已成,0
300741,101,证券卖出,100,41.54,部分成交,0
300741,101,证券卖出,100,41.54,部分成交,0
300741,101,证券卖出,300,41.54,部分成交,0
300741,101,证券卖出,100,41.54,已成,0
603360,101,证券卖出,900,19.62,部分成交,0
603360,101,证券卖出,400,19.6,已成,0
600933,101,证券卖出,900,13.55,部分成交,0
600933,101,证券卖出,800,13.55,部分成交,0
603297,101,证券卖出,100,44.29,已成,0
600933,101,证券卖出,300,13.55,已成,0
2891,100,证券买入,1300,38.51,已成,0
300751,100,证券买入,100,288.27,已成,0
403,100,证券买入,100,73.05,已成,0
603568,101,证券卖出,800,22.9,已成,0
603338,100,证券买入,100,73.43,部分成交,0
603387,100,证券买入,1800,38.94,已成,0
603338,100,证券买入,100,73.5,部分成交,0
603338,100,证券买入,300,73.5,已成,0
603816,101,证券卖出,300,48.37,已成,0
300739,101,证券卖出,500,20.69,已成,0
300504,101,证券卖出,600,26.8,部分成交,0
300504,101,证券卖出,400,26.8,已成,0
403,100,证券买入,100,73.04,已成,0
600933,101,证券卖出,100,13.54,部分成交,0
600933,101,证券卖出,200,13.54,已成,0
603568,101,证券卖出,100,22.9,部分成交,0
603568,101,证券卖出,600,22.87,部分成交,0
603568,101,证券卖出,100,22.86,已成,0
603338,100,证券买入,300,73.3,已成,0
603387,100,证券买入,600,38.96,已成,0
603239,101,证券卖出,400,14.23,已成,0
603239,101,证券卖出,300,14.23,部分成交,0
603239,101,证券卖出,500,14.23,已成,0
603239,101,证券卖出,300,14.23,部分成交,0
603338,100,证券买入,200,73.36,已成,0
603239,101,证券卖出,500,14.23,已成,0
300741,101,证券卖出,100,41.48,已成,0
300504,101,证券卖出,200,26.78,已成,0
603239,101,证券卖出,800,14.24,已成,0
603338,100,证券买入,200,73.36,已成,0
603387,100,证券买入,300,38.99,已成,0
603338,100,证券买入,200,73.45,已成,0
403,100,证券买入,100,72.78,已成,0
603387,100,证券买入,200,38.97,已成,0
603360,101,证券卖出,300,19.68,部分成交,0
300741,101,证券卖出,200,41.49,已成,0
300741,101,证券卖出,300,41.5,已成,0
603360,101,证券卖出,200,19.69,已成,0
603239,101,证券卖出,1900,14.21,已成,0
603208,101,证券卖出,100,101.0,已成,0
603338,100,证券买入,100,73.46,部分成交,0
603338,100,证券买入,200,73.48,已成,0
2891,100,证券买入,100,38.82,已成,0
603208,101,证券卖出,100,101.22,已成,0
603360,101,证券卖出,100,19.7,部分成交,0
603360,101,证券卖出,100,19.7,部分成交,0
603360,101,证券卖出,300,19.7,部分成交,0
603360,101,证券卖出,200,19.69,已成,0
300741,101,证券卖出,100,41.47,部分成交,0
300741,101,证券卖出,400,41.47,已成,0
403,100,证券买入,100,72.8,已成,0
603239,101,证券卖出,200,14.21,部分成交,0
603338,100,证券买入,200,73.38,部分成交,0
603239,101,证券卖出,1400,14.21,已成,0
603338,100,证券买入,100,73.41,已成,0
300741,101,证券卖出,100,41.43,部分成交,0
300741,101,证券卖出,100,41.43,部分成交,0
300741,101,证券卖出,100,41.43,部分成交,0
300741,101,证券卖出,400,41.43,已成,0
300739,101,证券卖出,800,20.75,已成,0
403,100,证券买入,37,72.95,部分成交,0
403,100,证券买入,63,72.95,已成,0
603360,101,证券卖出,500,19.7,已成,0
2891,100,证券买入,500,38.82,已成,0
603297,101,证券卖出,100,44.1,已成,0
603239,101,证券卖出,1700,14.21,已成,0
603568,101,证券卖出,600,22.92,部分成交,0
603568,101,证券卖出,100,22.91,已成,0
603338,100,证券买入,200,73.41,部分成交,0
603338,100,证券买入,100,73.44,已成,0
300741,101,证券卖出,200,41.48,部分成交,0
300741,101,证券卖出,200,41.48,已成,0
300739,101,证券卖出,600,20.75,部分成交,0
300739,101,证券卖出,200,20.74,已成,0
603360,101,证券卖出,400,19.69,已成,0
300751,100,证券买入,100,286.92,已成,0
603239,101,证券卖出,500,14.21,部分成交,0
603297,101,证券卖出,100,44.13,已成,0
603239,101,证券卖出,500,14.21,已成,0
603568,101,证券卖出,100,22.91,已成,0
603338,100,证券买入,300,73.39,已成,0
603208,101,证券卖出,100,100.96,已成,0
2891,100,证券买入,100,38.72,部分成交,0
2891,100,证券买入,100,38.72,部分成交,0
2891,100,证券买入,600,38.72,已成,0
300739,101,证券卖出,600,20.75,部分成交,0
300739,101,证券卖出,100,20.74,部分成交,0
300739,101,证券卖出,100,20.74,已成,0
2891,100,证券买入,255,38.64,部分成交,0
2891,100,证券买入,145,38.65,已成,0
603208,101,证券卖出,100,100.96,已成,0
300741,101,证券卖出,100,41.46,部分成交,0
300751,100,证券买入,100,286.92,已成,0
600933,101,证券卖出,1300,13.55,已成,0
603360,101,证券卖出,3700,19.73,已成,0
603568,101,证券卖出,900,22.91,已成,0
603239,101,证券卖出,1000,14.21,已成,0
603338,100,证券买入,200,73.39,已成,0
300741,101,证券卖出,300,41.46,已成,0
603360,101,证券卖出,300,19.74,部分成交,0
603360,101,证券卖出,1800,19.74,已成,0
603568,101,证券卖出,100,22.88,已成,0
600933,101,证券卖出,300,13.55,已成,0
2891,100,证券买入,200,38.44,部分成交,0
2891,100,证券买入,200,38.44,已成,0
603360,101,证券卖出,1700,19.71,已成,0
600933,101,证券卖出,500,13.55,已成,0
603387,100,证券买入,2100,38.92,已成,0
300739,101,证券卖出,900,20.68,部分成交,0
300739,101,证券卖出,100,20.68,已成,0
300751,100,证券买入,100,286.99,已成,0
2891,100,证券买入,100,38.39,部分成交,0
2891,100,证券买入,100,38.4,部分成交,0
2891,100,证券买入,500,38.4,已成,0
600933,101,证券卖出,200,13.52,部分成交,0
600933,101,证券卖出,500,13.52,部分成交,0
603360,101,证券卖出,500,19.75,部分成交,0
603360,101,证券卖出,100,19.75,部分成交,0
603360,101,证券卖出,100,19.75,已成,0
603338,100,证券买入,200,73.21,已成,0
300741,101,证券卖出,400,41.42,已成,0
300741,101,证券卖出,100,41.47,已成,0
300739,101,证券卖出,100,20.67,已成,0
2891,100,证券买入,400,38.34,已成,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,100,22.87,已成,0
600933,101,证券卖出,1900,13.52,已成,0
603338,100,证券买入,100,73.27,部分成交,0
603387,100,证券买入,2300,38.81,已成,0
603338,100,证券买入,100,73.27,已成,0
300751,100,证券买入,100,286.31,已成,0
300739,101,证券卖出,400,20.66,已成,0
300741,101,证券卖出,300,41.48,已成,0
600933,101,证券卖出,1200,13.52,已成,0
603360,101,证券卖出,500,19.75,部分成交,0
603360,101,证券卖出,400,19.75,部分成交,0
603297,101,证券卖出,100,44.14,已成,0
603360,101,证券卖出,200,19.75,已成,0
603568,101,证券卖出,500,22.87,已成,0
603338,100,证券买入,200,73.28,已成,0
2891,100,证券买入,300,38.31,已成,0
603239,101,证券卖出,500,14.27,部分成交,0
300739,101,证券卖出,1400,20.66,已成,0
2891,100,证券买入,100,38.31,部分成交,0
2891,100,证券买入,300,38.32,已成,0
603360,101,证券卖出,1100,19.76,已成,0
600933,101,证券卖出,300,13.52,已成,0
603568,101,证券卖出,300,22.87,已成,0
603297,101,证券卖出,100,44.14,已成,0
403,100,证券买入,100,73.19,已成,0
603338,100,证券买入,200,73.26,已成,0
603239,101,证券卖出,1400,14.26,部分成交,0
300739,101,证券卖出,1300,20.66,已成,0
300741,101,证券卖出,200,41.37,已成,0
403,100,证券买入,300,73.12,已成,0
603360,101,证券卖出,1100,19.75,已成,0
603297,101,证券卖出,200,44.15,部分成交,0
600933,101,证券卖出,100,13.51,已成,0
603297,101,证券卖出,100,44.14,已成,0
603239,101,证券卖出,1700,14.25,已成,0
603387,100,证券买入,2000,38.92,已成,0
603338,100,证券买入,200,73.28,已成,0
300739,101,证券卖出,200,20.65,已成,0
300741,101,证券卖出,200,41.44,已成,0
603360,101,证券卖出,1100,19.76,已成,0
603297,101,证券卖出,100,44.13,部分成交,0
603297,101,证券卖出,200,44.13,已成,0
600933,101,证券卖出,200,13.52,部分成交,0
600933,101,证券卖出,100,13.52,部分成交,0
600933,101,证券卖出,300,13.51,已成,0
2891,100,证券买入,14,38.37,部分成交,0
2891,100,证券买入,186,38.37,已成,0
603239,101,证券卖出,100,14.26,部分成交,0
603239,101,证券卖出,1600,14.25,已成,0
603568,101,证券卖出,280,22.88,部分成交,0
603568,101,证券卖出,200,22.88,部分成交,0
603568,101,证券卖出,60,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,200,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,200,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,60,22.87,已成,0
603338,100,证券买入,400,73.28,已成,0
603387,100,证券买入,1500,38.94,已成,0
300741,101,证券卖出,62,41.52,部分成交,0
300741,101,证券卖出,400,41.49,部分成交,0
300741,101,证券卖出,200,41.48,部分成交,0
300741,101,证券卖出,200,41.48,部分成交,0
300741,101,证券卖出,300,41.48,部分成交,0
300741,101,证券卖出,700,41.47,部分成交,0
300741,101,证券卖出,38,41.47,已成,0
600933,101,证券卖出,200,13.54,已成,0
603568,101,证券卖出,600,22.88,部分成交,0
603568,101,证券卖出,140,22.87,部分成交,0
603387,100,证券买入,1700,39.0,已成,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,100,22.87,部分成交,0
603568,101,证券卖出,200,22.87,部分成交,0
603568,101,证券卖出,60,22.87,已成,0
603338,100,证券买入,100,73.29,已成,0
603338,100,证券买入,100,73.31,已成,0
603297,101,证券卖出,300,44.13,已成,0
603338,100,证券买入,100,73.18,已成,0
300741,101,证券卖出,100,41.93,部分成交,0
300741,101,证券卖出,100,41.97,部分成交,0
300741,101,证券卖出,100,41.92,已成,0
2891,100,证券买入,100,38.36,部分成交,0
2891,100,证券买入,14,38.37,部分成交,0
2891,100,证券买入,86,38.38,已成,0
603297,101,证券卖出,100,44.12,已成,0
603338,100,证券买入,100,73.22,已成,0
300741,101,证券卖出,100,41.97,已成,0
2891,100,证券买入,200,38.34,已成,0
603297,101,证券卖出,150,44.22,部分成交,0
603297,101,证券卖出,50,44.14,已成,0
603338,100,证券买入,300,73.23,已成,0
603387,100,证券买入,400,39.19,已成,0
2891,100,证券买入,100,38.33,部分成交,0
2891,100,证券买入,100,38.34,部分成交,0
2891,100,证券买入,500,38.34,已成,0
603338,100,证券买入,100,73.18,已成,0
603387,100,证券买入,200,39.18,已成,0
603297,101,证券卖出,300,44.25,已成,0
300739,101,证券卖出,500,20.58,部分成交,0
300739,101,证券卖出,300,20.58,已成,0
2891,100,证券买入,400,38.25,已成,0
603360,101,证券卖出,400,19.73,已成,0
603297,101,证券卖出,100,44.22,部分成交,0
603297,101,证券卖出,100,44.22,部分成交,0
300741,101,证券卖出,100,41.9,部分成交,0
603297,101,证券卖出,200,44.19,已成,0
603338,100,证券买入,100,73.25,已成,0
603387,100,证券买入,300,39.26,已成,0
300741,101,证券卖出,100,41.9,部分成交,0
300741,101,证券卖出,100,41.9,部分成交,0
300741,101,证券卖出,100,41.9,已成,0
300741,101,证券卖出,100,41.92,部分成交,0
300741,101,证券卖出,100,41.92,部分成交,0
300741,101,证券卖出,100,41.92,部分成交,0
300741,101,证券卖出,100,41.92,已成,0
300739,101,证券卖出,800,20.59,已成,0
603360,101,证券卖出,300,19.74,部分成交,0
603297,101,证券卖出,200,44.23,已成,0
603360,101,证券卖出,300,19.73,已成,0
2891,100,证券买入,100,38.25,部分成交,0
2891,100,证券买入,100,38.25,已成,0
603338,100,证券买入,100,73.22,已成,0
603387,100,证券买入,100,39.28,已成,0
300739,101,证券卖出,400,20.58,已成,0
300741,101,证券卖出,400,41.92,已成,0
603360,101,证券卖出,600,19.73,已成,0
603297,101,证券卖出,100,44.22,部分成交,0
603297,101,证券卖出,100,44.22,已成,0
2891,100,证券买入,200,38.18,部分成交,0
2891,100,证券买入,100,38.18,部分成交,0
2891,100,证券买入,100,38.18,部分成交,0
2891,100,证券买入,100,38.18,部分成交,0
603239,101,证券卖出,600,14.25,部分成交,0
603239,101,证券卖出,200,14.25,已成,0
2891,100,证券买入,100,38.18,已成,0
603568,101,证券卖出,1100,22.95,已成,0
603338,100,证券买入,100,73.22,已成,0
603387,100,证券买入,100,39.28,部分成交,0
603387,100,证券买入,100,39.28,已成,0
300739,101,证券卖出,100,20.57,已成,0
300741,101,证券卖出,100,41.95,部分成交,0
300741,101,证券卖出,100,41.95,部分成交,0
300741,101,证券卖出,600,41.94,已成,0
2891,100,证券买入,100,38.1,已成,0
403,100,证券买入,100,73.23,已成,0
603360,101,证券卖出,600,19.72,已成,0
603568,101,证券卖出,300,22.95,已成,0
603239,101,证券卖出,500,14.24,部分成交,0
603239,101,证券卖出,1000,14.24,部分成交,0
603239,101,证券卖出,100,14.23,已成,0
603387,100,证券买入,100,39.19,部分成交,0
603387,100,证券买入,100,39.19,部分成交,0
603387,100,证券买入,100,39.19,已成,0
603338,100,证券买入,100,73.27,已成,0
300741,101,证券卖出,800,41.97,已成,0
300739,101,证券卖出,100,20.58,已成,0
403,100,证券买入,100,73.15,已成,0
603568,101,证券卖出,100,22.95,已成,0
603239,101,证券卖出,200,14.24,部分成交,0
603239,101,证券卖出,1100,14.23,已成,0
2891,100,证券买入,100,38.05,部分成交,0
2891,100,证券买入,100,38.05,部分成交,0
2891,100,证券买入,200,38.06,部分成交,0
2891,100,证券买入,100,38.06,已成,0
603360,101,证券卖出,200,19.71,部分成交,0
603360,101,证券卖出,400,19.71,已成,0
603387,100,证券买入,100,39.17,已成,0
603338,100,证券买入,100,73.27,已成,0
603360,101,证券卖出,500,19.75,已成,0
2891,100,证券买入,400,37.89,部分成交,0
2891,100,证券买入,1400,37.89,已成,0
2891,100,证券买入,100,37.67,已成,0
603360,101,证券卖出,2200,19.77,部分成交,0
603360,101,证券卖出,200,19.77,部分成交,0
603360,101,证券卖出,300,19.77,部分成交,0
603360,101,证券卖出,100,19.77,已成,0
300741,101,证券卖出,200,42.09,已成,0
603360,101,证券卖出,1100,19.78,已成,0
603338,100,证券买入,300,73.5,已成,0
603387,100,证券买入,100,39.2,已成,0
300741,101,证券卖出,200,42.22,已成,0
2891,100,证券买入,100,37.71,已成,0
603360,101,证券卖出,800,19.8,已成,0
603338,100,证券买入,100,73.46,已成,0
603387,100,证券买入,600,39.16,已成,0
300741,101,证券卖出,2100,42.21,部分成交,0
300741,101,证券卖出,500,42.21,已成,0
603360,101,证券卖出,900,19.82,已成,0
603338,100,证券买入,100,73.5,已成,0
300741,101,证券卖出,400,42.67,已成,0
300739,101,证券卖出,200,20.61,部分成交,0
300739,101,证券卖出,300,20.61,部分成交,0
300739,101,证券卖出,200,20.6,部分成交,0
300739,101,证券卖出,100,20.6,部分成交,0
300739,101,证券卖出,400,20.6,已成,0
2891,100,证券买入,200,37.68,部分成交,0
603816,101,证券卖出,200,48.77,已成,0
603360,101,证券卖出,100,19.8,已成,0
603297,101,证券卖出,100,44.63,已成,0
603387,100,证券买入,700,39.35,已成,0
603338,100,证券买入,100,73.47,已成,0
600933,101,证券卖出,600,13.59,已成,0
2891,100,证券买入,100,37.79,已成,0
603387,100,证券买入,100,39.32,部分成交,0
603387,100,证券买入,300,39.32,已成,0
2891,100,证券买入,100,37.8,已成,0
300751,100,证券买入,300,290.6,已成,0
300741,101,证券卖出,300,42.36,已成,0
603239,101,证券卖出,300,14.23,已成,0
603387,100,证券买入,100,39.31,部分成交,0
603387,100,证券买入,400,39.31,部分成交,0
603360,101,证券卖出,1000,19.81,已成,0
300741,101,证券卖出,300,42.44,已成,0
2891,100,证券买入,200,37.95,已成,0
603360,101,证券卖出,700,19.8,已成,0
603239,101,证券卖出,600,14.23,已成,0
603338,100,证券买入,100,73.46,已成,0
603387,100,证券买入,200,39.3,部分成交,0
603387,100,证券买入,400,39.3,已成,0
300739,101,证券卖出,400,20.63,部分成交,0
300739,101,证券卖出,1200,20.63,已成,0
2891,100,证券买入,300,38.0,已成,0
603239,101,证券卖出,700,14.24,已成,0
603360,101,证券卖出,200,19.79,部分成交,0
603360,101,证券卖出,200,19.79,部分成交,0
603387,100,证券买入,100,39.28,部分成交,0
603387,100,证券买入,500,39.28,已成,0
603360,101,证券卖出,100,19.79,已成,0
300741,101,证券卖出,200,42.4,已成,0
300751,100,证券买入,100,290.67,部分成交,0
300741,101,证券卖出,200,42.36,部分成交,0
300741,101,证券卖出,100,42.35,已成,0
2891,100,证券买入,200,38.06,已成,0
603239,101,证券卖出,300,14.24,已成,0
603387,100,证券买入,900,39.26,已成,0
603338,100,证券买入,100,73.25,已成,0
603360,101,证券卖出,300,19.8,部分成交,0
603360,101,证券卖出,200,19.8,已成,0
300739,101,证券卖出,200,20.63,已成,0
300741,101,证券卖出,300,42.41,已成,0
603239,101,证券卖出,400,14.24,已成,0
603297,101,证券卖出,100,44.65,已成,0
300751,100,证券买入,100,290.99,已成,0
603387,100,证券买入,400,39.17,已成,0
603360,101,证券卖出,500,19.8,已成,0
300741,101,证券卖出,2400,42.39,部分成交,0
300741,101,证券卖出,1700,42.38,已成,0
300751,100,证券买入,100,290.99,已成,0
600933,101,证券卖出,800,13.55,已成,0
603239,101,证券卖出,500,14.24,已成,0
603360,101,证券卖出,500,19.8,已成,0
603387,100,证券买入,300,39.18,已成,0
603338,100,证券买入,200,73.48,已成,0
603297,101,证券卖出,100,44.62,已成,0
300741,101,证券卖出,800,42.38,已成,0
300739,101,证券卖出,100,20.63,已成,0
300751,100,证券买入,100,290.99,已成,0
600933,101,证券卖出,600,13.55,已成,0
2891,100,证券买入,100,38.06,已成,0
