冻结金额,可用,参考市值,资产
11014959.66,6390791.52,77651693.25,84042484.77
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
1,平安银行,91900,91900,15.3804,-44147.51,1369310.0,14.9
11,深物业A,42500,42500,20.2883,-81101.58,781150.0,18.38
333,美的集团,19400,19600,71.2356,-5988.95,1390228.0,70.93
513,丽珠集团,0,13300,51.965,-13233.22,677901.0,50.97
526,紫光学大,5200,5200,79.0103,-68069.76,342784.0,65.92
532,华金资本,20800,20800,13.8826,-11078.84,277680.0,13.35
671,阳光城,154500,154500,7.257,-55149.99,1066050.0,6.9
688,国城矿业,0,17300,23.9024,-12324.84,401187.0,23.19
703,恒逸石化,100400,100400,11.3365,98741.68,1236928.0,12.32
733,振华科技,29900,29900,45.2529,-54204.28,1298856.0,43.44
799,酒鬼酒,8700,8700,23.5665,577014.87,782043.0,89.89
828,东莞控股,96847,96847,12.5552,-201946.25,1013988.09,10.469999999999999
913,钱江摩托,5200,5200,21.3927,30093.85,141336.0,27.18
930,中粮科技,51400,51400,10.404,-34641.32,500122.0,9.73
2027,分众传媒,18200,18200,6.8652,8276.95,133224.0,7.32
2028,思源电气,0,53800,25.7866,-12192.59,1375128.0,25.56
2032,苏泊尔,5000,5000,82.964,1630.17,416450.0,83.29
2053,云南能投,0,6500,8.2843,-1002.86,52845.0,8.13
2081,金螳螂,19600,19600,17.1194,-125429.04,210112.0,10.72
2084,海鸥住工,74100,74100,13.5865,-81991.29,924768.0,12.48
2100,天康生物,0,28000,18.1589,-6408.82,502040.0,17.93
2124,天邦股份,78700,78700,19.8345,-32617.53,1528354.0,19.42
2126,银轮股份,22000,22000,15.3621,-37006.05,300960.0,13.68
2271,东方雨虹,23119,23119,56.7543,109714.93,1421818.5,61.5
2293,罗莱生活,9700,9700,12.7949,-3539.56,120571.0,12.43
2322,理工环科,28700,28700,16.2307,20644.24,486465.0,16.95
2352,顺丰控股,16400,16600,86.088,-51259.98,1377800.0,83.0
2371,北方华创,5900,5900,182.4908,14745.56,1091441.0,184.99
2398,垒知集团,10600,10600,19.3496,-88506.21,116600.0,11.0
2533,金杯电工,195400,195400,6.2673,-50269.66,1174354.0,6.01
