时间            委托编号        成交编号        证券代码        交易业务        成交数量        成交价格        委托状态        汇总成交        汇总撤单        
09:16:56        1060302601      WTD:1690500000  601818          700 担保品买入  -100            3.6000          已撤            0               0               
09:30:32        1180302210      354732          603960          701 担保品卖出  100             26.4400         部分成交        0               0               
09:30:32        1180302210      354733          603960          701 担保品卖出  100             26.4300         部分成交        0               0               
09:30:33        1060302610      0101000000895202 002007          700 担保品买入  1600            47.1800         已成            0               0               
09:30:33        1080305410      0101000000895204 002007          700 担保品买入  600             47.1800         部分成交        0               0               
09:30:33        1080305410      0101000000897147 002007          700 担保品买入  200             47.1800         部分成交        0               0               
09:30:33        1080305410      0101000000898066 002007          700 担保品买入  200             47.1800         部分成交        0               0               
09:30:33        1080305410      0101000000898468 002007          700 担保品买入  400             47.1800         部分成交        0               0               
09:30:33        1020302310      359531          603881          700 担保品买入  300             89.6600         已成            0               0               
09:30:33        1040303610      359532          603881          700 担保品买入  300             89.6600         已成            0               0               
09:30:34        1080305410      0101000000899719 002007          700 担保品买入  200             47.1800         已成            0               0               
09:30:34        1040303614      0103000000950628 002353          701 担保品卖出  200             31.2800         部分成交        0               0               
09:30:34        1040303614      0103000000950630 002353          701 担保品卖出  100             31.2700         部分成交        0               0               
09:30:34        1040303614      0103000000950632 002353          701 担保品卖出  100             31.2700         部分成交        0               0               
09:30:34        1040303614      0103000000950634 002353          701 担保品卖出  100             31.2700         部分成交        0               0               
09:30:34        1040303614      0103000000950636 002353          701 担保品卖出  600             31.2700         已成            0               0               
09:30:34        1080305414      0103000000950936 000063          700 担保品买入  300             42.3900         部分成交        0               0               
09:30:34        1080305414      0103000000950938 000063          700 担保品买入  200             42.3900         部分成交        0               0               
09:30:34        1080305414      0103000000950940 000063          700 担保品买入  6100            42.4000         已成            0               0               
09:30:34        1180302214      361888          603799          700 担保品买入  400             38.3000         部分成交        0               0               
09:30:34        1000303614      361890          603799          700 担保品买入  300             38.3000         部分成交        0               0               
09:30:34        1000303614      361891          603799          700 担保品买入  100             38.3000         部分成交        0               0               
09:30:34        1180302214      361889          603799          700 担保品买入  1900            38.3000         已成            0               0               
09:30:34        1000303614      362077          603799          700 担保品买入  100             38.3100         部分成交        0               0               
09:30:34        1000303614      362127          603799          700 担保品买入  500             38.3100         部分成交        0               0               
09:30:34        1000303614      362458          603799          700 担保品买入  1000            38.3100         部分成交        0               0               
09:30:34        1180302210      362539          603960          701 担保品卖出  600             26.4100         部分成交        0               0               
09:30:34        1060302615      363090          603113          700 担保品买入  200             12.2100         部分成交        0               0               
09:30:34        1180302210      363366          603960          701 担保品卖出  100             26.4100         部分成交        0               0               
09:30:34        1080305416      0103000000954186 002353          701 担保品卖出  100             31.2600         部分成交        0               0               
09:30:34        1180302210      363515          603960          701 担保品卖出  100             26.4100         已成            0               0               
09:30:34        1080305416      0103000000954216 002353          701 担保品卖出  600             31.2600         部分成交        0               0               
09:30:34        1080305416      0103000000954229 002353          701 担保品卖出  400             31.2600         已成            0               0               
09:30:34        1120305216      0103000000954361 000063          700 担保品买入  6600            42.4000         已成            0               0               
09:30:34        1160304816      0103000000954409 002352          700 担保品买入  1500            56.3500         部分成交        0               0               
09:30:34        1180302217      0102000001019373 000526          701 担保品卖出  100             54.5900         已成            0               0               
09:30:34        1000303614      363761          603799          700 担保品买入  100             38.3100         部分成交        0               0               
09:30:34        1060302615      363916          603113          700 担保品买入  100             12.2200         部分成交        0               0               
09:30:34        1000303614      364099          603799          700 担保品买入  100             38.3100         部分成交        0               0               
09:30:35        1020302318      364555          601231          700 担保品买入  400             20.1800         部分成交        0               0               
09:30:35        1080305417      364485          603039          700 担保品买入  100             68.8800         已成            0               0               
09:30:35        1020302318      364556          601231          700 担保品买入  1000            20.1800         部分成交        0               0               
09:30:35        1020302318      364557          601231          700 担保品买入  300             20.1800         部分成交        0               0               
09:30:35        1020302318      364558          601231          700 担保品买入  200             20.1800         部分成交        0               0               
09:30:35        1060302619      0103000000956660 002075          700 担保品买入  1100            14.3000         部分成交        0               0               
09:30:35        1060302619      0103000000956662 002075          700 担保品买入  4340            14.3100         部分成交        0               0               
09:30:35        1060302618      364782          603039          700 担保品买入  100             68.8800         已成            0               0               
09:30:35        1060302619      0103000000956942 002075          700 担保品买入  500             14.3100         部分成交        0               0               
09:30:35        1020302318      365228          601231          700 担保品买入  500             20.1800         部分成交        0               0               
09:30:35        1100302214      365191          600315          700 担保品买入  700             47.9900         部分成交        0               0               
09:30:35        1180302219      365074          600429          701 担保品卖出  400             5.1700          已成            0               0               
09:30:35        1100302219      0103000000958054 002688          700 担保品买入  300             7.7300          部分成交        0               0               
09:30:35        1100302219      0103000000958056 002688          700 担保品买入  2400            7.7300          已成            0               0               
09:30:35        1120305219      365507          603338          701 担保品卖出  200             75.1500         已成            0               0               
09:30:35        1140301017      365955          601231          700 担保品买入  66              20.1800         部分成交        0               0               
09:30:35        1000303614      365928          603799          700 担保品买入  100             38.3100         已成            0               0               
09:30:35        1020302318      365660          601231          700 担保品买入  2000            20.1800         部分成交        0               0               
09:30:35        1120305220      365970          603626          700 担保品买入  1300            11.2600         已成            0               0               
09:30:35        1180302221      0101000000909746 002697          701 担保品卖出  2100            11.0600         部分成交        0               0               
09:30:35        1020302318      365942          601231          700 担保品买入  500             20.1800         部分成交        0               0               
09:30:35        1140301020      0102000001023353 300394          700 担保品买入  100             54.1500         部分成交        0               0               
09:30:35        1180302221      0101000000909748 002697          701 担保品卖出  200             11.0600         部分成交        0               0               
09:30:35        1020302318      365954          601231          700 担保品买入  1800            20.1800         已成            0               0               
09:30:35        1140301018      365874          603338          701 担保品卖出  200             75.1500         已成            0               0               
09:30:35        1180302221      0101000000909750 002697          701 担保品卖出  100             11.0600         部分成交        0               0               
09:30:35        1180302221      0101000000909752 002697          701 担保品卖出  300             11.0600         已成            0               0               
09:30:35        1060302619      0103000000959359 002075          700 担保品买入  2960            14.3100         已成            0               0               
09:30:35        1120305222      0103000000959718 002705          700 担保品买入  500             35.7600         已成            0               0               
09:30:35        1180302223      0102000001024136 300480          701 担保品卖出  500             15.4400         已成            0               0               
09:30:35        1040303623      0102000001024374 300630          701 担保品卖出  100             70.4700         部分成交        0               0               
09:30:35        1060302623      0102000001024380 002850          700 担保品买入  900             57.5500         已成            0               0               
09:30:35        1080305423      0103000000960002 300390          700 担保品买入  580             13.7600         部分成交        0               0               
09:30:35        1040303623      0102000001024376 300630          701 担保品卖出  100             70.4600         已成            0               0               
09:30:35        1080305423      0103000000960004 300390          700 担保品买入  100             13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960006 300390          700 担保品买入  100             13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960008 300390          700 担保品买入  100             13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960010 300390          700 担保品买入  100             13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960012 300390          700 担保品买入  200             13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960014 300390          700 担保品买入  2000            13.7600         部分成交        0               0               
09:30:35        1080305423      0103000000960016 300390          700 担保品买入  720             13.7600         已成            0               0               
09:30:36        1040303624      0102000001024918 300291          700 担保品买入  500             5.7000          已成            0               0               
09:30:35        1060302622      366701          603258          700 担保品买入  400             48.0000         部分成交        0               0               
09:30:35        1120305223      0102000001024691 300149          701 担保品卖出  2900            17.4000         已成            0               0               
09:30:35        1140301022      0102000001024697 300019          700 担保品买入  2000            10.9900         部分成交        0               0               
09:30:36        1180302224      0102000001024770 300209          700 担保品买入  1700            13.5800         已成            0               0               
09:30:36        1160304823      0103000000960405 300492          700 担保品买入  100             69.1700         部分成交        0               0               
09:30:36        1100302223      0103000000960912 002705          700 担保品买入  500             35.7600         已成            0               0               
09:30:36        1140301021      0102000001025204 002810          700 担保品买入  100             30.8400         部分成交        0               0               
09:30:36        1140301021      0102000001025307 002810          700 担保品买入  300             30.8400         部分成交        0               0               
09:30:36        1180302225      0103000000961148 002916          700 担保品买入  300             163.5100        部分成交        0               0               
09:30:36        1160304824      0101000000912213 002815          700 担保品买入  1000            19.3200         已成            0               0               
09:30:36        1000303625      0101000000912260 300661          700 担保品买入  100             260.4000        部分成交        0               0               
09:30:36        1180302225      0103000000961150 002916          700 担保品买入  192             163.6100        部分成交        0               0               
09:30:36        1180302225      0103000000961152 002916          700 担保品买入  200             163.6100        部分成交        0               0               
09:30:36        1000303625      0101000000912262 300661          700 担保品买入  100             260.8000        已成            0               0               
09:30:36        1180302225      0103000000961154 002916          700 担保品买入  8               163.6100        已成            0               0               
09:30:36        1060302624      0101000000912694 300261          701 担保品卖出  2000            5.2000          部分成交        0               0               
09:30:36        1100302224      0103000000961387 300390          700 担保品买入  480             13.7600         部分成交        0               0               
09:30:36        1120305217      0104000000953820 002208          700 担保品买入  2100            10.3500         部分成交        0               0               
09:30:36        1140301021      0102000001025767 002810          700 担保品买入  400             30.8400         已成            0               0               
09:30:36        1100302224      0103000000961389 300390          700 担保品买入  700             13.7600         部分成交        0               0               
09:30:36        1120305224      0102000001025769 002810          700 担保品买入  100             30.8400         已成            0               0               
09:30:35        1140301017      367293          601231          700 担保品买入  200             20.1800         部分成交        0               0               
09:30:35        1140301017      367521          601231          700 担保品买入  6434            20.1800         已成            0               0               
09:30:36        1100302224      0103000000961391 300390          700 担保品买入  2720            13.7600         已成            0               0               
09:30:36        1120305217      0104000000954360 002208          700 担保品买入  300             10.3500         部分成交        0               0               
09:30:35        1060302622      367704          603258          700 担保品买入  300             48.0600         部分成交        0               0               
09:30:36        1160304820      0103000000962987 002212          700 担保品买入  100             25.2600         已成            0               0               
09:30:36        1120305226      0104000000955552 002837          700 担保品买入  700             29.7900         已成            0               0               
09:30:36        1180302227      0103000000963380 300570          700 担保品买入  200             21.7900         已成            0               0               
09:30:36        1160304816      0103000000963091 002352          700 担保品买入  200             56.3500         部分成交        0               0               
09:30:36        1160304816      0103000000963195 002352          700 担保品买入  500             56.3500         已成            0               0               
09:30:36        1140301020      0102000001027503 300394          700 担保品买入  300             54.1900         已成            0               0               
09:30:36        1020302327      0102000001027583 002850          700 担保品买入  300             57.5500         部分成交        0               0               
09:30:36        1020302327      0102000001027585 002850          700 担保品买入  600             57.5500         已成            0               0               
09:30:36        1100302225      368741          600521          700 担保品买入  4000            32.4200         部分成交        0               0               
09:30:36        1100302225      368742          600521          700 担保品买入  1500            32.4700         已成            0               0               
09:30:36        1100302214      368519          600315          700 担保品买入  1000            47.9900         部分成交        0               0               
09:30:36        1100302214      368609          600315          700 担保品买入  800             47.9900         部分成交        0               0               
09:30:36        1120305227      0102000001027858 300149          701 担保品卖出  800             17.3900         部分成交        0               0               
09:30:36        1120305227      0102000001027860 300149          701 担保品卖出  100             17.3800         部分成交        0               0               
09:30:36        1120305227      0102000001027862 300149          701 担保品卖出  300             17.3800         部分成交        0               0               
09:30:36        1120305227      0102000001027864 300149          701 担保品卖出  100             17.3800         部分成交        0               0               
09:30:36        1120305227      0102000001027866 300149          701 担保品卖出  1600            17.3800         已成            0               0               
09:30:36        1020302319      0102000001028140 002183          701 担保品卖出  9200            5.3900          已成            0               0               
09:30:36        1040303627      0102000001028053 300413          700 担保品买入  700             65.1500         已成            0               0               
09:30:36        1060302627      0102000001028057 300413          700 担保品买入  500             65.1500         部分成交        0               0               
09:30:36        1100302214      368947          600315          700 担保品买入  800             47.9900         已成            0               0               
09:30:36        1060302622      368667          603258          700 担保品买入  500             48.0600         部分成交        0               0               
09:30:36        1080305422      368794          603258          700 担保品买入  1300            48.0600         已成            0               0               
09:30:36        1060302622      368793          603258          700 担保品买入  100             48.0600         已成            0               0               
09:30:36        1060302615      369065          603113          700 担保品买入  100             12.2200         部分成交        0               0               
09:30:36        1060302615      369334          603113          700 担保品买入  200             12.2200         部分成交        0               0               
09:30:36        1000303628      0102000001029049 300450          700 担保品买入  300             46.4300         已成            0               0               
09:30:36        1020302328      0102000001029056 300450          700 担保品买入  500             46.4300         部分成交        0               0               
09:30:36        1020302328      0102000001029058 300450          700 担保品买入  1200            46.4600         部分成交        0               0               
09:30:36        1020302328      0102000001029060 300450          700 担保品买入  2000            46.4600         已成            0               0               
09:30:36        1040303619      0104000000957571 002045          700 担保品买入  600             9.3400          部分成交        0               0               
09:30:36        1060302615      370339          603113          700 担保品买入  3300            12.2200         已成            0               0               
09:30:36        1080305428      0104000000957397 300207          700 担保品买入  5400            17.5900         已成            0               0               
09:30:36        1120305228      0102000001029249 300142          700 担保品买入  400             51.0600         部分成交        0               0               
09:30:36        1040303619      0104000000957619 002045          700 担保品买入  600             9.3400          已成            0               0               
09:30:36        1060302627      0102000001029108 300413          700 担保品买入  100             65.1500         部分成交        0               0               
09:30:36        1120305228      0102000001029251 300142          700 担保品买入  100             51.0600         部分成交        0               0               
09:30:36        1120305228      0102000001029253 300142          700 担保品买入  1500            51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029255 300142          700 担保品买入  200             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029257 300142          700 担保品买入  200             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029259 300142          700 担保品买入  200             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029261 300142          700 担保品买入  200             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029263 300142          700 担保品买入  200             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029265 300142          700 担保品买入  100             51.0700         部分成交        0               0               
09:30:36        1120305228      0102000001029267 300142          700 担保品买入  500             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029269 300142          700 担保品买入  100             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029271 300142          700 担保品买入  200             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029273 300142          700 担保品买入  200             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029275 300142          700 担保品买入  100             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029277 300142          700 担保品买入  200             51.0800         部分成交        0               0               
09:30:36        1120305228      0102000001029279 300142          700 担保品买入  200             51.0800         部分成交        0               0               
09:30:36        1180302229      0101000000916441 300661          700 担保品买入  100             260.8900        部分成交        0               0               
09:30:36        1120305228      0102000001029281 300142          700 担保品买入  100             51.0800         部分成交        0               0               
09:30:36        1180302229      0101000000916443 300661          700 担保品买入  100             260.9000        已成            0               0               
09:30:36        1120305228      0102000001029283 300142          700 担保品买入  100             51.0900         部分成交        0               0               
09:30:36        1120305228      0102000001029285 300142          700 担保品买入  200             51.0900         部分成交        0               0               
09:30:36        1120305228      0102000001029287 300142          700 担保品买入  200             51.0900         部分成交        0               0               
09:30:36        1120305228      0102000001029289 300142          700 担保品买入  300             51.1000         部分成交        0               0               
09:30:36        1120305228      0102000001029291 300142          700 担保品买入  200             51.1000         部分成交        0               0               
09:30:36        1120305228      0102000001029293 300142          700 担保品买入  200             51.1000         部分成交        0               0               
09:30:36        1040303629      0103000000966180 000063          700 担保品买入  1400            42.4000         已成            0               0               
09:30:36        1060302629      0104000000958438 000596          700 担保品买入  300             143.8000        已成            0               0               
09:30:37        1060302624      0101000000917572 300261          701 担保品卖出  6000            5.2000          部分成交        0               0               
09:30:36        1120305218      371242          603113          700 担保品买入  3900            12.2200         已成            0               0               
