时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:15:49.503    1000320201      601818          700 担保品买入  100             3.4000          已撤            
09:30:34.855    1120321510      300451          700 担保品买入  4200            17.1700         已撤            
09:30:35.036    1140317512      002399          700 担保品买入  2500            24.2600         已成            
09:30:35.845    1000320211      600657          700 担保品买入  300             4.0500          已撤            
09:30:35.903    1020318910      600468          700 担保品买入  1500            4.6400          已撤            
09:30:35.903    1040320211      600812          700 担保品买入  10000           11.9400         已撤            
09:30:35.903    1060319610      600552          700 担保品买入  200             5.5000          已成            
09:30:35.966    1100318812      600570          701 担保品卖出  1900            106.3400        已成            
09:30:35.966    1120321511      600804          700 担保品买入  17800           8.8200          已撤            
09:30:35.966    1140317513      600676          700 担保品买入  7600            5.6900          已撤            
09:30:35.966    1160321512      600436          700 担保品买入  300             164.0100        已成            
09:30:36.003    1000320212      000823          700 担保品买入  3800            13.4400         已撤            
09:30:36.029    1020318911      603229          700 担保品买入  5200            52.7300         已成            
09:30:36.029    1040320212      603595          700 担保品买入  500             33.8100         已撤            
09:30:36.048    1060319611      000810          700 担保品买入  3100            12.0100         已成            
09:30:36.092    1100318813      603605          700 担保品买入  300             174.1200        已撤            
09:30:36.092    1120321512      603069          700 担保品买入  11000           14.1400         已成            
09:30:36.103    1140317514      000636          700 担保品买入  14400           29.3200         已成            
09:30:36.183    1000320213      603058          700 担保品买入  500             9.1500          已撤            
09:30:36.183    1020318912      603496          700 担保品买入  300             21.1500         已撤            
09:30:36.183    1040320213      603606          700 担保品买入  200             13.7100         已成            
09:30:36.183    1160321513      603258          700 担保品买入  5200            50.8600         已撤            
09:30:36.183    1180318813      603466          700 担保品买入  3600            19.3500         已撤            
09:30:36.269    1140317515      603127          700 担保品买入  1500            96.6900         已撤            
09:30:36.326    1160321514      603160          700 担保品买入  400             224.0500        已撤            
09:30:36.327    1180318814      603986          700 担保品买入  300             240.3500        已成            
09:30:36.388    1000320214      603919          700 担保品买入  4500            16.7000         已成            
09:30:36.531    1020318913      603688          701 担保品卖出  2200            23.3100         已成            
09:30:36.532    1040320214      603739          700 担保品买入  3800            26.5200         部撤            
09:30:36.618    1120321514      603712          700 担保品买入  3300            36.6700         已撤            
09:30:36.618    1140317516      603799          700 担保品买入  10300           38.5400         已成            
09:30:36.674    1000320215      603816          701 担保品卖出  300             45.0700         已撤            
09:30:36.674    1180318815      603987          700 担保品买入  8400            17.0300         部撤            
09:30:36.680    1020318914      002467          700 担保品买入  29000           7.1100          已成            
09:30:36.691    1040320215      000829          700 担保品买入  10600           6.4500          部撤            
09:30:36.744    1060319614      603976          701 担保品卖出  3700            34.5700         已撤            
09:30:36.745    1000320216      603788          700 担保品买入  800             17.2000         已成            
09:30:36.745    1020318915      603659          700 担保品买入  1300            100.3500        已成            
09:30:36.745    1080322016      603881          700 担保品买入  1600            102.0000        已撤            
09:30:36.745    1120321515      603690          701 担保品卖出  3000            41.5900         已成            
09:30:36.745    1140317517      603855          700 担保品买入  6100            16.3100         已成            
09:30:36.745    1160321516      603896          700 担保品买入  800             32.8700         已撤            
09:30:36.746    1060319615      603801          700 担保品买入  1400            25.0500         已撤            
09:30:36.746    1100318816      603986          700 担保品买入  300             240.3500        已成            
09:30:36.749    1180318816      603883          700 担保品买入  2300            95.3000         已撤            
09:30:36.751    1040320216      603700          701 担保品卖出  600             30.3100         已撤            
09:30:36.762    1100318817      000599          700 担保品买入  100             4.6000          已撤            
09:30:36.763    1120321516      002459          700 担保品买入  1800            17.7800         已成            
09:30:36.764    1140317518      002398          700 担保品买入  5300            10.5100         已撤            
09:30:36.785    1160321517      002461          700 担保品买入  5800            9.3600          已撤            
09:30:36.786    1180318817      002432          700 担保品买入  12400           10.7800         已成            
09:30:36.792    1000320217      002465          700 担保品买入  29000           12.9400         已成            
09:30:36.795    1020318916      603858          700 担保品买入  2700            27.2500         已撤            
09:30:36.803    1040320217      002460          700 担保品买入  7400            53.4500         已成            
09:30:36.927    1060319616      603811          700 担保品买入  1800            29.1000         已撤            
09:30:36.927    1080322018      603708          700 担保品买入  200             43.6800         已成            
09:30:36.995    1160321518      603676          701 担保品卖出  900             10.4300         已成            
09:30:37.072    1040320218      000878          700 担保品买入  1300            10.5000         已成            
09:30:37.073    1060319617      002481          700 担保品买入  18800           17.0100         已成            
