时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
13:12:01.144    1100288978      511990          701 担保品卖出  1000000         99.9980         已成            
13:12:26.437    1180288889      511990          701 担保品卖出  500             99.9970         已成            
13:12:34.640    1020289197      511990          701 担保品卖出  50000           99.9970         已成            
14:05:42.788    1020289859      000725          700 担保品买入  4700            4.4400          已撤            
14:05:42.788    1040291067      300673          700 担保品买入  100             36.9400         已成            
14:05:42.849    1060290071      002241          700 担保品买入  200             23.6500         已成            
14:05:42.911    1080292382      002222          700 担保品买入  100             13.7000         已成            
14:05:43.151    1100289671      300014          700 担保品买入  100             42.7400         已成            
14:05:43.151    1140288589      300635          700 担保品买入  100             30.1000         已成            
14:05:43.151    1160291853      601231          700 担保品买入  300             18.8400         已成            
14:05:43.274    1180289568      603378          700 担保品买入  100             44.0100         已撤            
14:05:43.387    1000290684      002582          700 担保品买入  100             12.4200         已成            
14:05:43.387    1020289860      002683          700 担保品买入  100             35.4400         已成            
14:05:43.408    1040291068      002271          700 担保品买入  100             41.2600         已成            
14:05:43.507    1060290072      603027          700 担保品买入  200             26.7800         已成            
14:05:43.507    1080292383      002481          700 担保品买入  400             18.0400         已成            
14:05:43.637    1100289672      600639          700 担保品买入  300             14.9800         已成            
14:05:43.637    1120292240      601021          700 担保品买入  100             36.8700         已成            
14:05:43.990    1140288590      300566          700 担保品买入  100             26.2100         已成            
14:05:43.991    1000290685      603297          700 担保品买入  100             39.5100         已成            
14:05:43.991    1020289861      600667          700 担保品买入  100             11.7800         已成            
14:05:43.991    1040291069      603816          700 担保品买入  100             42.8500         已成            
14:05:43.991    1060290073      300599          700 担保品买入  300             13.9500         已成            
14:05:43.991    1160291854      600079          700 担保品买入  200             24.2600         已成            
14:05:43.991    1180289569      300396          700 担保品买入  200             26.3700         已成            
14:05:44.150    1080292384      300674          700 担保品买入  100             41.2100         已成            
14:05:44.150    1100289673      603186          700 担保品买入  100             44.3900         已成            
14:05:44.150    1120292241      002475          700 担保品买入  100             53.7800         已成            
14:05:44.150    1140288591      603876          700 担保品买入  300             14.2500         已成            
14:05:44.150    1160291855      300684          700 担保品买入  100             32.7800         已成            
14:05:44.405    1000290686      300034          700 担保品买入  200             17.9000         已成            
14:05:44.405    1020289862      002384          700 担保品买入  100             27.1000         已成            
14:05:44.405    1040291070      300332          700 担保品买入  1000            4.6700          已成            
14:05:44.405    1060290074      002409          700 担保品买入  100             47.3100         已成            
14:05:44.405    1180289570      600126          700 担保品买入  200             9.9800          已成            
14:05:44.489    1080292385      002549          700 担保品买入  600             7.7900          已成            
14:05:44.489    1100289674      002600          700 担保品买入  700             10.0800         已成            
14:05:44.489    1120292242      603700          700 担保品买入  100             29.1400         已成            
14:05:44.615    1000290687      002324          700 担保品买入  100             14.4400         已成            
14:05:44.615    1140288592      002008          700 担保品买入  100             34.1200         已成            
14:05:44.615    1160291856      002228          700 担保品买入  1100            4.2300          部撤            
14:05:44.912    1020289863      300433          700 担保品买入  500             21.6000         已成            
14:05:44.912    1040291071      002707          700 担保品买入  100             6.9400          已成            
14:05:44.912    1060290075      000625          700 担保品买入  100             11.5100         已撤            
14:05:44.912    1080292386      002273          700 担保品买入  100             15.7300         已成            
14:05:45.662    1100289675      002236          700 担保品买入  400             17.6400         已成            
14:05:45.662    1120292243      000902          700 担保品买入  500             9.0100          已成            
14:05:45.662    1140288593      000921          700 担保品买入  400             11.7300         已成            
14:05:45.662    1160291857      600330          700 担保品买入  500             10.0300         已成            
14:05:45.664    1180289572      300475          700 担保品买入  100             8.5000          已成            
14:05:45.817    1000290688      603055          700 担保品买入  600             7.6600          已成            
14:05:45.817    1020289864      002106          700 担保品买入  400             12.0800         已成            
14:05:45.817    1040291072      000636          700 担保品买入  100             25.7200         已成            
14:05:45.872    1060290076      002749          700 担保品买入  100             12.3500         已成            
14:05:45.872    1080292387      002853          700 担保品买入  200             20.8300         已成            
14:05:45.872    1100289676      603043          700 担保品买入  100             30.6400         已成            
14:05:45.872    1120292244      000426          700 担保品买入  100             6.4300          已成            
14:05:45.876    1000290689      600246          700 担保品买入  500             8.7600          已成            
14:05:45.876    1020289865      300037          700 担保品买入  100             44.3800         已成            
14:05:45.876    1040291073      600993          700 担保品买入  200             18.4500         已成            
14:05:45.878    1160291858      002250          700 担保品买入  200             18.5900         已成            
14:05:45.893    1180289573      603158          700 担保品买入  200             24.2500         已成            
14:05:46.192    1060290077      600621          700 担保品买入  100             18.9300         已成            
14:05:46.447    1080292388      300136          700 担保品买入  100             46.4300         已成            
14:05:46.447    1120292245      002080          700 担保品买入  300             14.4100         已成            
14:05:46.678    1160291859      600298          700 担保品买入  100             44.2600         已成            
14:05:51.536    1120292247      002475          700 担保品买入  100             53.8100         已成            
14:05:51.536    1140288597      000625          700 担保品买入  100             11.5300         已成            
14:05:51.536    1160291861      300475          700 担保品买入  200             8.4900          已撤            
14:05:57.871    1180289578      300475          700 担保品买入  200             8.5000          已成            
14:06:36.504    1040291089      002228          700 担保品买入  900             4.2400          已撤            
14:06:42.517    1020289883      002034          700 担保品买入  100             18.0700         已撤            
14:06:42.517    1040291090      600804          700 担保品买入  100             7.9700          已成            
14:06:43.357    1060290093      600246          700 担保品买入  100             8.7500          已成            
14:06:47.940    1100289692      000030          700 担保品买入  100             5.9100          已成            
14:06:48.443    1120292261      002034          700 担保品买入  100             18.0700         已撤            
14:06:53.681    1000290708      002034          700 担保品买入  100             18.0800         已撤            
14:06:59.179    1160291880      002034          700 担保品买入  100             18.0800         已撤            
14:07:04.957    1160291881      002034          700 担保品买入  100             18.0900         已成            
