时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:16:42.049    1040315201      601818          700 担保品买入  100             3.6000          已成            
09:30:31.896    1080317009      002467          700 担保品买入  29000           7.2900          已撤            
09:30:32.111    1120316809      603887          700 担保品买入  900             22.7800         已成            
09:30:32.299    1160316508      603811          700 担保品买入  3300            30.3500         已撤            
09:30:32.299    1180313810      603728          701 担保品卖出  1300            13.7800         已撤            
09:30:32.368    1000315209      603823          700 担保品买入  9000            18.3300         已撤            
09:30:32.759    1040315210      300390          701 担保品卖出  19700           14.0200         部撤            
09:30:32.814    1100313809      000811          701 担保品卖出  600             6.3200          已成            
09:30:32.927    1160316509      601028          701 担保品卖出  3300            10.6300         已成            
09:30:32.927    1180313811      600984          701 担保品卖出  300             22.7800         已撤            
09:30:32.984    1000315210      601788          701 担保品卖出  22500           15.0800         已成            
09:30:32.984    1020313911      601606          700 担保品买入  13600           12.7400         已撤            
09:30:32.984    1040315211      603078          700 担保品买入  2300            45.0100         已成            
09:30:33.057    1080317011      603337          701 担保品卖出  100             20.1600         已成            
09:30:33.057    1100313810      603444          701 担保品卖出  200             497.2600        已成            
09:30:33.057    1120316811      603506          700 担保品买入  1400            29.6700         已撤            
09:30:33.114    1000315211      603181          700 担保品买入  600             21.6500         已成            
09:30:33.115    1020313912      603387          701 担保品卖出  1200            39.8700         已成            
09:30:33.173    1060314611      603229          700 担保品买入  600             50.1600         已撤            
09:30:33.304    1080317012      600511          700 担保品买入  24800           46.8800         已成            
09:30:33.304    1100313811      600316          700 担保品买入  2300            15.5800         已成            
09:30:33.305    1120316812      603297          700 担保品买入  1900            40.0600         已撤            
09:30:33.305    1140312512      600199          700 担保品买入  1600            6.3000          已成            
09:30:33.311    1160316511      000021          701 担保品卖出  1100            23.3300         已成            
09:30:33.312    1180313813      000009          701 担保品卖出  21500           8.0600          已撤            
09:30:33.339    1020313913      000030          701 担保品卖出  10700           6.2800          已成            
09:30:33.340    1040315213      000034          700 担保品买入  400             23.4700         已成            
09:30:33.368    1060314612      300576          701 担保品卖出  200             50.3700         已成            
09:30:33.369    1080317013      000564          700 担保品买入  49100           4.2300          部撤            
09:30:33.370    1100313812      300331          701 担保品卖出  800             30.6600         已撤            
09:30:33.384    1120316813      002723          701 担保品卖出  1200            19.4000         已成            
09:30:33.478    1000315213      300633          701 担保品卖出  2700            38.1000         已成            
09:30:33.478    1180313814      002317          701 担保品卖出  1800            14.6000         已成            
09:30:33.561    1020313914      002169          701 担保品卖出  17000           10.5200         已成            
09:30:33.596    1040315214      600126          700 担保品买入  19600           10.7900         已成            
09:30:33.640    1060314613      002294          701 担保品卖出  7400            27.8300         已成            
09:30:33.641    1080317014      002891          701 担保品卖出  200             41.7300         部撤            
09:30:33.754    1100313813      002372          701 担保品卖出  100             11.9300         已撤            
09:30:33.754    1120316814      002183          701 担保品卖出  13400           5.6900          已成            
09:30:33.782    1140312514      002238          701 担保品卖出  2400            7.3600          已成            
