时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:16:41.276    1040324201      601818          700 担保品买入  100             3.4000          已撤            
09:30:21.758    1180322809      002783          701 担保品卖出  21              9.4800          已成            
09:30:22.201    1040324210      300485          701 担保品卖出  92              21.4300         已成            
09:30:22.220    1060323610      002084          701 担保品卖出  78              9.0300          已成            
09:30:22.464    1100322810      600742          701 担保品卖出  30              8.2100          已成            
09:30:22.464    1120325510      603669          701 担保品卖出  20              7.8400          已成            
09:30:22.527    1140321509      600143          701 担保品卖出  82              13.1000         已成            
09:30:22.527    1160325510      600876          701 担保品卖出  54              13.2700         已成            
09:30:32.484    1040324211      002371          701 担保品卖出  1600            169.9100        部撤            
09:30:32.556    1080326210      603977          701 担保品卖出  200             7.8600          已成            
09:30:32.624    1120325511      603916          700 担保品买入  10400           25.5200         已撤            
09:30:32.624    1140321510      603871          701 担保品卖出  500             22.1500         已成            
09:30:32.624    1160325511      603960          701 担保品卖出  600             27.1700         已撤            
09:30:32.624    1180322811      603868          700 担保品买入  900             49.0100         已撤            
09:30:32.687    1000324312      600988          700 担保品买入  48900           11.7300         已成            
09:30:32.813    1060323612      600745          701 担保品卖出  4900            125.9600        已成            
09:30:32.937    1140321511      603650          701 担保品卖出  2300            23.9800         已撤            
09:30:33.064    1000324313      603659          701 担保品卖出  1000            102.1000        已撤            
09:30:33.064    1020323113      603557          700 担保品买入  1000            8.8200          已成            
09:30:33.064    1040324213      603661          701 担保品卖出  300             51.2400         已成            
09:30:33.065    1080326212      603590          701 担保品卖出  900             39.3600         已撤            
09:30:33.070    1060323613      600702          701 担保品卖出  3600            37.2300         已撤            
09:30:33.292    1140321512      000011          701 担保品卖出  14300           15.3500         已成            
09:30:33.323    1000324314      002402          701 担保品卖出  9500            15.9500         已撤            
09:30:33.323    1180322813      000739          701 担保品卖出  2000            22.2800         已撤            
09:30:33.357    1040324214      002465          701 担保品卖出  29000           12.9900         已成            
09:30:33.362    1060323614      002459          701 担保品卖出  1800            18.9200         已撤            
09:30:33.378    1080326213      002401          700 担保品买入  2000            15.8800         已成            
09:30:33.378    1100322814      002240          701 担保品卖出  22400           12.9800         已撤            
09:30:33.562    1160325514      603238          701 担保品卖出  400             42.3300         已撤            
09:30:33.569    1180322814      002410          701 担保品卖出  300             69.0000         已撤            
09:30:33.570    1000324315      000032          700 担保品买入  1500            20.8200         已成            
09:30:33.606    1020323115      000733          701 担保品卖出  100             22.3500         已撤            
