时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:19:14.204    1020306301      601818          700 担保品买入  100             3.6000          已撤            
09:30:21.322    1040307608      000797          701 担保品卖出  1               4.0700          已成            
09:30:21.322    1080309408      002475          701 担保品卖出  80              45.6700         已成            
09:30:21.324    1140305009      600126          701 担保品卖出  90              10.2500         已成            
09:30:35.057    1140305010      600132          701 担保品卖出  400             65.4800         已成            
09:30:35.149    1160308910      600804          700 担保品买入  28300           8.5900          已成            
09:30:35.212    1000307610      600197          700 担保品买入  4700            17.8900         部撤            
09:30:35.212    1020306310      600197          700 担保品买入  4700            17.8900         已撤            
09:30:35.795    1040307610      002465          700 担保品买入  29500           13.1900         已成            
09:30:35.795    1060306609      603811          700 担保品买入  3000            27.9700         已成            
09:30:35.856    1080309410      603855          701 担保品卖出  1000            15.5300         已成            
09:30:35.856    1100306209      603855          701 担保品卖出  1000            15.5300         已成            
09:30:35.856    1120309310      300298          701 担保品卖出  200             31.8600         已成            
09:30:35.856    1140305011      300019          701 担保品卖出  9200            13.0400         已成            
09:30:35.856    1160308911      300019          701 担保品卖出  9200            13.0400         已成            
09:30:36.063    1020306311      000651          701 担保品卖出  600             57.4100         已成            
09:30:36.068    1080309411      603127          701 担保品卖出  300             91.9000         已成            
09:30:36.071    1100306210      603127          701 担保品卖出  400             91.9000         已成            
09:30:36.071    1120309311      300298          701 担保品卖出  200             31.8600         部撤            
09:30:36.071    1140305012      600933          701 担保品卖出  1100            13.5200         已撤            
09:30:36.225    1180306213      603113          701 担保品卖出  2900            12.2600         已成            
09:30:36.329    1040307612      000301          701 担保品卖出  8900            5.8200          已成            
09:30:36.329    1060306611      002294          701 担保品卖出  3300            26.1400         已成            
09:30:36.329    1080309412      603113          701 担保品卖出  2900            12.2600         部撤            
09:30:36.466    1000307613      002666          701 担保品卖出  13500           7.2500          已成            
09:30:36.466    1160308913      600459          701 担保品卖出  6000            28.1300         已成            
09:30:36.466    1180306214      603626          701 担保品卖出  2600            11.8100         已成            
09:30:36.583    1060306612      002123          701 担保品卖出  5200            19.6800         已成            
09:30:36.583    1080309413      603358          701 担保品卖出  4500            18.9900         已成            
09:30:36.583    1100306212      603358          701 担保品卖出  2100            18.9900         已成            
09:30:36.583    1120309313      002324          701 担保品卖出  4300            14.9600         已成            
09:30:36.621    1140305014      002100          701 担保品卖出  3800            15.4600         已成            
09:30:36.711    1000307614      002123          701 担保品卖出  5200            19.6800         已成            
09:30:36.738    1020306314      603013          701 担保品卖出  400             15.2900         已成            
09:30:36.805    1080309414      002299          701 担保品卖出  600             27.4200         已成            
09:30:36.805    1100306213      002324          701 担保品卖出  4300            14.9600         已成            
09:30:36.805    1120309314      002402          701 担保品卖出  9800            16.3900         已成            
09:30:37.010    1140305015      603185          701 担保品卖出  1000            43.7700         已成            
09:30:37.126    1160308915      600596          701 担保品卖出  1800            8.6000          已成            
09:30:37.380    1180306216      603185          701 担保品卖出  900             43.7700         已成            
09:30:37.485    1020306315      600233          701 担保品卖出  3300            16.4900         已撤            
09:30:37.485    1040307615      600233          701 担保品卖出  3300            16.4900         已撤            
09:30:37.818    1060306614      002749          701 担保品卖出  10100           13.4400         已成            
09:30:38.315    1080309415      300381          701 担保品卖出  5600            14.9900         部撤            
09:30:38.315    1100306214      300251          701 担保品卖出  4700            11.2600         已成            
09:30:38.315    1120309315      002791          701 担保品卖出  100             88.7100         已撤            
09:30:38.795    1080309416      002853          701 担保品卖出  900             22.5900         已成            
09:30:38.819    1100306215      300475          701 担保品卖出  10100           8.8300          已撤            
09:30:38.858    1120309316      002791          701 担保品卖出  100             88.7100         已撤            
09:30:39.132    1160308917      603990          701 担保品卖出  2200            52.6400         已成            
09:30:39.296    1020306317      600350          701 担保品卖出  2600            6.1800          部撤            
09:30:39.454    1160308918      300381          701 担保品卖出  5600            14.9900         已撤            
09:30:41.571    1140305022      002075          701 担保品卖出  9200            14.3700         已成            
09:30:41.586    1160308922      002042          701 担保品卖出  2100            6.3200          已撤            
09:30:41.710    1000307622      000910          701 担保品卖出  4300            16.3900         已撤            
09:30:41.710    1040307622      300633          701 担保品卖出  900             38.6000         已撤            
09:30:42.064    1100306221      603990          701 担保品卖出  2200            52.6400         已成            
09:30:42.064    1120309322      300636          701 担保品卖出  300             39.3300         已撤            
09:30:42.212    1020306323      603661          701 担保品卖出  100             53.4200         已成            
09:30:42.212    1140305023      300636          701 担保品卖出  300             39.3300         已撤            
09:30:42.275    1040307623      000100          701 担保品卖出  137600          6.2100          已成            
09:30:42.275    1060306622      002324          701 担保品卖出  1700            14.9700         已成            
09:30:42.275    1080309423      002324          701 担保品卖出  1700            14.9700         已成            
09:30:42.275    1100306222      000823          701 担保品卖出  500             13.5700         已成            
09:30:42.334    1120309323      000823          701 担保品卖出  500             13.5700         已成            
09:30:42.427    1000307624      603116          701 担保品卖出  2200            7.2300          已撤            
09:30:42.428    1180306225      603116          701 担保品卖出  2200            7.2300          已撤            
09:30:42.571    1020306324      603855          701 担保品卖出  1000            15.5300         已成            
09:30:42.602    1040307624      603855          701 担保品卖出  400             15.5300         已成            
09:30:44.561    1120309325      002123          701 担保品卖出  3300            19.6700         已成            
09:30:44.615    1140305026      002226          701 担保品卖出  2200            5.9600          已撤            
09:30:44.860    1160308926      603979          701 担保品卖出  600             10.0700         已撤            
09:30:44.860    1180306227      002241          701 担保品卖出  23000           27.1500         已撤            
09:30:45.286    1000307626      603990          701 担保品卖出  200             52.6300         已成            
09:30:45.363    1020306326      603690          701 担保品卖出  1100            34.3900         已成            
09:30:46.082    1140305028      000823          701 担保品卖出  100             13.5700         已成            
09:30:46.082    1160308928      000823          701 担保品卖出  500             13.5700         已成            
09:30:46.082    1180306229      000829          701 担保品卖出  2900            6.5500          已撤            
09:30:46.107    1040307628      002601          701 担保品卖出  100             18.2300         已撤            
09:30:46.109    1060306627      002555          701 担保品卖出  500             41.5700         已成            
09:30:46.109    1080309428      002555          701 担保品卖出  500             41.5700         已成            
09:30:46.134    1140305029      600825          701 担保品卖出  3000            6.8100          已撤            
09:30:46.588    1000307629      300298          701 担保品卖出  100             31.8500         已成            
09:30:46.589    1020306329      300298          701 担保品卖出  100             31.8500         已成            
09:30:46.622    1040307629      300669          701 担保品卖出  100             32.2700         已撤            
09:30:46.940    1000307630      600070          701 担保品卖出  4600            10.8300         已成            
09:30:46.940    1160308930      300661          701 担保品卖出  200             268.5300        已成            
09:30:46.941    1140305030      300702          701 担保品卖出  100             106.2500        已撤            
09:30:46.941    1180306231      300661          701 担保品卖出  200             268.5300        已成            
09:30:46.943    1120309329      300702          701 担保品卖出  100             106.2500        已撤            
09:30:48.090    1040307630      002706          701 担保品卖出  5200            15.4000         已撤            
09:30:48.090    1060306629      002706          701 担保品卖出  5200            15.4000         已撤            
09:30:48.857    1120309331      300677          701 担保品卖出  600             114.9900        已撤            
