时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:30:44.773    1060310125      300010          701 担保品卖出  1100            18.0200         已撤            
09:30:44.773    1080313026      300088          701 担保品卖出  48500           10.9400         已撤            
09:30:44.773    1100309727      300261          701 担保品卖出  9500            6.1800          已成            
09:30:44.986    1180309827      300073          700 担保品买入  400             33.6900         已撤            
09:30:45.031    1040311129      300088          701 担保品卖出  1300            10.9400         已撤            
09:30:45.173    1060310126      300453          701 担保品卖出  3900            18.7100         已撤            
09:30:45.173    1080313027      300489          701 担保品卖出  100             29.3900         已撤            
09:30:45.173    1120312827      300633          701 担保品卖出  900             37.7700         已撤            
09:30:45.265    1140308529      300677          701 担保品卖出  1500            113.9900        已成            
09:30:45.566    1080313028      600861          701 担保品卖出  5900            14.1400         已撤            
09:30:45.566    1180309828      603179          700 担保品买入  700             22.1900         已成            
09:30:45.613    1000311131      603258          701 担保品卖出  600             48.5700         已撤            
09:30:45.613    1120312829      603179          700 担保品买入  700             22.1900         已成            
09:30:45.618    1140308531      600984          701 担保品卖出  3000            21.9400         已撤            
09:30:45.618    1180309830      600609          700 担保品买入  11500           6.6500          已撤            
09:30:45.619    1160312429      603528          701 担保品卖出  6000            10.1500         已成            
09:30:45.625    1020309928      600984          701 担保品卖出  3000            21.9400         已撤            
09:30:45.805    1000311132      603258          701 担保品卖出  600             48.5700         已撤            
09:30:45.982    1080313030      603030          700 担保品买入  2500            6.5500          已成            
09:30:46.999    1160312431      601968          700 担保品买入  200             5.6400          已成            
09:30:47.608    1020309931      000049          700 担保品买入  400             53.5900         已成            
09:30:48.062    1040311134      000990          700 担保品买入  200             12.8300         已成            
09:30:48.243    1100309733      002352          700 担保品买入  100             55.6800         已撤            
09:30:48.309    1120312832      600126          701 担保品卖出  5500            9.9400          已撤            
09:30:49.069    1140308535      300280          700 担保品买入  500             48.0000         已撤            
09:30:49.228    1000311136      002555          701 担保品卖出  700             41.9200         已成            
09:30:49.289    1020309933      002555          701 担保品卖出  700             41.9200         已成            
09:30:49.508    1080313034      002626          700 担保品买入  300             24.7600         已撤            
09:30:49.508    1100309735      002901          701 担保品卖出  100             106.5300        已成            
09:30:49.510    1060310133      002666          700 担保品买入  2900            7.0500          已成            
09:30:49.564    1120312834      002901          701 担保品卖出  100             106.5300        已成            
09:30:49.564    1140308536      300609          701 担保品卖出  600             39.2900         已撤            
09:30:49.564    1160312434      300609          701 担保品卖出  600             39.2900         已撤            
09:30:50.301    1140308537      300016          701 担保品卖出  5000            12.3900         已成            
09:30:50.516    1080313036      300016          701 担保品卖出  5000            12.3900         已成            
09:30:50.516    1140308538      002920          701 担保品卖出  500             52.6600         已撤            
09:30:50.668    1160312436      300595          701 担保品卖出  300             63.5900         已成            
09:30:50.668    1180309837      300595          701 担保品卖出  300             63.5900         已成            
09:30:50.765    1000311139      600053          701 担保品卖出  1500            27.0400         已成            
09:30:50.765    1020309936      600053          701 担保品卖出  300             27.0400         已成            
09:30:50.796    1040311139      300651          701 担保品卖出  200             35.4000         已撤            
09:30:51.028    1080313037      601999          700 担保品买入  3400            7.4200          已成            
09:30:51.199    1120312837      002798          701 担保品卖出  400             33.7500         已撤            
09:30:51.199    1140308539      300010          701 担保品卖出  1100            18.0000         已撤            
09:30:52.077    1080313038      300010          701 担保品卖出  1100            18.0000         已撤            
09:30:52.642    1100309739      300463          701 担保品卖出  800             55.7900         已撤            
09:30:52.642    1120312838      300073          700 担保品买入  1400            33.8400         已撤            
09:30:52.865    1020309938      002918          701 担保品卖出  500             30.3600         已撤            
09:30:52.865    1180309839      300363          700 担保品买入  800             31.5800         已撤            
09:30:52.866    1040311141      002745          701 担保品卖出  5100            15.3900         已成            
09:30:52.866    1060310138      002745          701 担保品卖出  5100            15.3900         已成            
09:30:52.866    1080313039      300623          701 担保品卖出  800             28.2100         已成            
09:30:53.048    1120312839      002918          701 担保品卖出  500             30.3600         已撤            
09:30:53.048    1140308541      002824          700 担保品买入  1800            27.2500         部撤            
09:30:53.048    1180309840      300357          701 担保品卖出  300             59.8600         已撤            
09:30:53.051    1160312439      300357          701 担保品卖出  300             59.8600         已撤            
09:30:53.202    1000311142      300573          701 担保品卖出  200             145.8000        已撤            
09:30:53.202    1020309939      300573          701 担保品卖出  200             145.8000        已撤            
09:30:53.202    1060310139      300492          700 担保品买入  200             40.3300         已撤            
09:30:53.209    1040311142      300677          701 担保品卖出  200             113.9900        已成            
09:30:53.266    1080313040      300677          701 担保品卖出  200             113.9900        已成            
09:30:53.610    1100309741      300580          701 担保品卖出  300             18.9900         已撤            
09:30:53.610    1120312840      002605          700 担保品买入  500             34.5000         已撤            
09:30:53.610    1140308542      002605          700 担保品买入  500             34.5000         已撤            
09:30:53.639    1160312440      002416          701 担保品卖出  200             7.3900          已撤            
09:30:53.792    1180309841      601606          700 担保品买入  8700            13.3100         已撤            
09:30:54.043    1040311143      603129          700 担保品买入  1200            67.3200         已成            
09:30:54.231    1060310140      002240          701 担保品卖出  2700            12.4300         已撤            
09:30:54.325    1100309742      002050          700 担保品买入  2500            21.9000         已成            
09:30:54.325    1120312841      002171          701 担保品卖出  2800            8.9000          已撤            
09:30:54.370    1140308543      603881          700 担保品买入  500             94.2800         已撤            
09:30:54.496    1160312441      603666          701 担保品卖出  100             106.4600        已撤            
09:30:54.496    1180309842      603688          701 担保品卖出  7100            23.3900         已成            
09:30:54.673    1020309941      603506          701 担保品卖出  1500            29.4100         已撤            
09:30:54.673    1040311144      603393          701 担保品卖出  1100            36.8700         已撤            
09:30:54.673    1060310141      603666          701 担保品卖出  100             106.4600        已撤            
09:30:54.673    1080313042      601028          700 担保品买入  2300            9.5800          已撤            
09:30:54.770    1100309743      603179          700 担保品买入  1200            22.2400         已成            
09:30:55.392    1160312442      603258          701 担保品卖出  1700            48.5600         已撤            
09:30:55.765    1020309942      300016          701 担保品卖出  3700            12.3000         已成            
09:30:55.846    1040311145      603238          701 担保品卖出  300             41.0000         已撤            
09:30:55.846    1060310142      603238          701 担保品卖出  300             41.0000         已撤            
09:30:55.846    1080313043      300016          701 担保品卖出  3700            12.3000         已成            
09:30:56.416    1100309744      002025          700 担保品买入  700             33.5500         已成            
09:30:56.716    1120312843      300280          700 担保品买入  200             48.1600         已撤            
09:30:56.716    1140308545      300280          700 担保品买入  200             48.1600         已撤            
09:30:56.716    1160312443      002555          701 担保品卖出  400             42.0000         已撤            
09:30:56.716    1180309844      002555          701 担保品卖出  400             42.0000         已撤            
09:30:56.784    1000311146      002476          701 担保品卖出  500             5.6100          已撤            
09:30:56.807    1020309943      300696          700 担保品买入  200             34.3600         已撤            
09:30:56.839    1040311146      300715          701 担保品卖出  1700            39.2000         已撤            
09:30:56.839    1060310143      600521          701 担保品卖出  1400            32.1400         已成            
09:30:56.839    1080313044      600521          701 担保品卖出  1400            32.1400         已成            
09:30:56.839    1100309745      600216          700 担保品买入  4100            20.4700         已撤            
09:30:56.839    1120312844      300609          701 担保品卖出  1400            39.1800         部撤            
09:30:56.839    1140308546      300609          701 担保品卖出  1400            39.1800         已撤            
09:30:56.888    1160312444      300559          701 担保品卖出  100             21.3000         已撤            
09:30:57.089    1000311147      002918          701 担保品卖出  2000            30.2700         已撤            
09:30:57.089    1020309944      002918          701 担保品卖出  2000            30.2700         已撤            
09:30:57.089    1040311147      002866          700 担保品买入  600             14.7200         已成            
09:30:57.089    1060310144      300685          701 担保品卖出  300             68.7700         已撤            
