证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2340,101,证券卖出,11100,5.32,部分成交,0
2340,101,证券卖出,5000,5.32,部分成交,0
2340,101,证券卖出,4000,5.31,部分成交,0
2340,101,证券卖出,5000,5.31,部分成交,0
2340,101,证券卖出,500,5.31,部分成交,0
2340,101,证券卖出,10000,5.31,部分成交,0
2340,101,证券卖出,2000,5.31,部分成交,0
2340,101,证券卖出,2500,5.31,部分成交,0
2340,101,证券卖出,600,5.31,部分成交,0
2340,101,证券卖出,1000,5.31,部分成交,0
2340,101,证券卖出,500,5.31,部分成交,0
2340,101,证券卖出,5000,5.31,部分成交,0
2340,101,证券卖出,3700,5.31,部分成交,0
2340,101,证券卖出,1600,5.31,部分成交,0
2340,101,证券卖出,2000,5.31,部分成交,0
2340,101,证券卖出,1000,5.31,部分成交,0
2340,101,证券卖出,6200,5.31,部分成交,0
2340,101,证券卖出,6900,5.31,已成,0
300285,101,证券卖出,600,37.8,已成,0
300596,101,证券卖出,900,35.24,已成,0
2028,101,证券卖出,1200,29.47,部分成交,0
2028,101,证券卖出,100,29.47,部分成交,0
2028,101,证券卖出,200,29.47,已成,0
2138,101,证券卖出,100,26.44,已成,0
2406,101,证券卖出,4100,7.62,部分成交,0
300274,101,证券卖出,400,23.01,部分成交,0
2406,101,证券卖出,1500,7.62,部分成交,0
2406,101,证券卖出,100,7.61,部分成交,0
300274,101,证券卖出,900,23.01,部分成交,0
300274,101,证券卖出,600,23.01,部分成交,0
300274,101,证券卖出,500,23.01,已成,0
600500,101,证券卖出,500,6.14,已成,0
600158,101,证券卖出,200,9.91,已成,0
300755,101,证券卖出,600,29.48,已成,0
601058,101,证券卖出,1800,4.49,部分成交,0
601058,101,证券卖出,600,4.49,部分成交,0
601058,101,证券卖出,1100,4.49,部分成交,0
603508,101,证券卖出,1500,37.68,已成,0
601058,101,证券卖出,2700,4.49,部分成交,0
601058,101,证券卖出,1100,4.49,部分成交,0
601058,101,证券卖出,5400,4.49,部分成交,0
601058,101,证券卖出,1900,4.49,部分成交,0
601058,101,证券卖出,1300,4.49,部分成交,0
601058,101,证券卖出,3400,4.49,部分成交,0
601058,101,证券卖出,600,4.49,部分成交,0
601058,101,证券卖出,600,4.49,部分成交,0
601058,101,证券卖出,2300,4.49,部分成交,0
601058,101,证券卖出,1500,4.49,部分成交,0
300296,101,证券卖出,400,6.71,已成,0
601058,101,证券卖出,6700,4.49,部分成交,0
300244,101,证券卖出,600,41.18,部分成交,0
300244,101,证券卖出,100,41.17,已成,0
600039,101,证券卖出,4730,4.59,部分成交,0
600039,101,证券卖出,4800,4.59,部分成交,0
601058,101,证券卖出,1300,4.49,部分成交,0
600039,101,证券卖出,200,4.58,部分成交,0
600039,101,证券卖出,100,4.58,部分成交,0
600039,101,证券卖出,300,4.58,部分成交,0
600039,101,证券卖出,2300,4.58,部分成交,0
600039,101,证券卖出,300,4.58,部分成交,0
600039,101,证券卖出,870,4.58,已成,0
2920,101,证券卖出,100,70.18,已成,0
600426,101,证券卖出,400,26.2,部分成交,0
603916,101,证券卖出,2900,34.33,已成,0
600426,101,证券卖出,200,26.16,部分成交,0
600426,101,证券卖出,1000,26.16,部分成交,0
600426,101,证券卖出,200,26.16,部分成交,0
2127,101,证券卖出,600,18.58,已成,0
601168,101,证券卖出,100,7.86,已成,0
600216,101,证券卖出,1200,19.05,部分成交,0
600557,101,证券卖出,100,14.61,已成,0
600216,101,证券卖出,1200,19.04,部分成交,0
600216,101,证券卖出,5300,19.03,部分成交,0
2410,100,证券买入,200,69.52,部分成交,0
2410,100,证券买入,500,69.53,已成,0
2414,100,证券买入,2300,40.07,已成,0
300548,100,证券买入,100,56.01,已成,0
600201,101,证券卖出,200,30.81,已成,0
300638,100,证券买入,900,78.73,已成,0
601811,101,证券卖出,1700,11.77,部分成交,0
601811,101,证券卖出,500,11.77,部分成交,0
601811,101,证券卖出,500,11.77,已成,0
601828,101,证券卖出,2400,10.2,已成,0
601058,101,证券卖出,100,4.49,部分成交,0
553,101,证券卖出,100,9.43,已成,0
729,101,证券卖出,300,7.42,已成,0
