冻结金额,可用,参考市值,资产
,4037514.95,,86749958.75
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
1,平安银行,2700,4100,15.6859,-3058.04,61254.0,14.94
6,深振业Ａ,1500,1500,6.2312,-301.86,9045.0,6.03
7,全新好,0,300,9.1982,-17.47,2742.0,9.14
11,深物业A,6400,6400,19.9507,-19908.53,107776.0,16.84
26,飞亚达,0,100,14.4487,360.13,1805.0,18.05
27,深圳能源,0,100,5.5212,-6.12,546.0,5.46
30,富奥股份,600,600,7.1541,-260.44,4032.0,6.72
34,神州数码,0,10400,25.683,72.49,267176.0,25.69
35,中国天楹,0,100,5.3484,-28.84,506.0,5.06
42,中洲控股,0,100,9.7021,-5.21,965.0,9.65
46,泛海控股,100,100,4.1269,17.31,430.0,4.3
48,京基智农,1212,1212,33.5612,7355.37,48031.56,39.629999999999995
49,德赛电池,200,200,56.3413,-698.25,10570.0,52.85
58,深赛格,800,900,8.3037,-345.36,7128.0,7.92
70,特发信息,0,500,84.9612,-37130.58,5350.0,10.7
88,盐田港,0,2900,6.2603,-261.99,17893.0,6.17
90,天健集团,0,200,7.2316,-18.32,1428.0,7.14
100,TCL科技,61300,61300,7.0146,332.59,430326.0,7.02
156,华数传媒,100,100,11.1975,-54.75,1065.0,10.65
301,东方盛虹,1200,1300,6.2331,138.94,8242.0,6.34
400,许继电气,0,600,14.9933,-175.98,8820.0,14.7
411,英特集团,1800,1800,18.1518,-1659.26,31014.0,17.23
416,民生控股,0,3000,6.3631,170.68,19260.0,6.42
421,南京公用,200,300,6.8314,-69.42,1980.0,6.6
423,东阿阿胶,0,700,44.5247,-87.32,31080.0,44.4
429,粤高速Ａ,100,100,7.0414,-17.14,687.0,6.87
430,张家界,0,300,5.7908,77.76,1815.0,6.05
488,晨鸣纸业,19400,19400,5.8283,-7339.4,105730.0,5.45
501,鄂武商Ａ,18900,18900,19.5601,-62561.41,307125.0,16.25
502,绿景控股,1600,1600,8.0056,-1017.02,11792.0,7.37
513,丽珠集团,600,800,51.7908,-3704.6,37728.0,47.16
516,国际医学,5600,5600,6.2111,-117.97,34664.0,6.19
519,中兵红箭,0,1900,11.6556,-219.67,21926.0,11.54
526,紫光学大,100,100,66.0864,-283.64,6325.0,63.25
528,柳工,200,400,7.4166,45.38,3012.0,7.53
529,广弘控股,1400,1400,9.1596,-1077.5,11746.0,8.39
532,华金资本,400,400,13.0094,-83.74,5120.0,12.8
534,万泽股份,0,1200,12.822,-266.39,15120.0,12.6
537,广宇发展,200,200,7.7816,-86.31,1470.0,7.35
538,云南白药,300,300,107.2965,211.05,32400.0,108.0
541,佛山照明,0,200,5.9613,-14.26,1178.0,5.89
543,皖能电力,400,400,4.3409,-44.35,1692.0,4.23
544,中原环保,300,300,7.5124,-144.71,2109.0,7.03
