证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
600739,101,证券卖出,2,21.92,已成,0
300037,101,证券卖出,200,57.23,已成,0
601108,100,证券买入,100,13.12,已成,0
603528,101,证券卖出,3400,10.43,部分成交,0
603528,101,证券卖出,1000,10.43,部分成交,0
600511,100,证券买入,2300,39.04,已成,0
600570,101,证券卖出,200,116.53,部分成交,0
600570,101,证券卖出,200,116.5,已成,0
603079,101,证券卖出,200,30.89,已成,0
603528,101,证券卖出,1900,10.42,已成,0
603026,101,证券卖出,100,31.82,已成,0
300161,100,证券买入,100,24.95,已成,0
300113,101,证券卖出,200,26.29,部分成交,0
300113,101,证券卖出,100,26.26,已成,0
300132,101,证券卖出,100,22.47,部分成交,0
300132,101,证券卖出,100,22.47,部分成交,0
300072,101,证券卖出,2000,4.97,已成,0
300132,101,证券卖出,100,22.47,已成,0
600115,101,证券卖出,100,4.85,已成,0
300035,101,证券卖出,100,9.87,已成,0
603912,101,证券卖出,400,24.35,已成,0
600114,101,证券卖出,300,11.24,已成,0
300148,101,证券卖出,700,4.7,已成,0
2776,101,证券卖出,100,9.29,已成,0
300657,101,证券卖出,100,23.5,部分成交,0
300657,101,证券卖出,200,23.5,部分成交,0
300657,101,证券卖出,800,23.5,部分成交,0
300657,101,证券卖出,800,23.5,部分成交,0
300657,101,证券卖出,100,23.5,已成,0
2612,100,证券买入,800,10.54,已成,0
300041,101,证券卖出,300,16.3,已成,0
878,101,证券卖出,1200,13.77,已成,0
2803,101,证券卖出,700,28.3,部分成交,0
2803,101,证券卖出,300,28.29,已成,0
300724,101,证券卖出,100,91.07,已成,0
2537,100,证券买入,200,6.37,已成,0
2261,100,证券买入,400,9.47,已成,0
603218,101,证券卖出,100,19.19,已成,0
603187,101,证券卖出,100,37.94,已成,0
600110,101,证券卖出,700,5.42,已成,0
601162,100,证券买入,5500,7.64,已成,0
300261,100,证券买入,2800,6.11,已成,0
600291,101,证券卖出,100,13.12,已成,0
636,101,证券卖出,700,31.34,已成,0
300638,101,证券卖出,100,60.45,已成,0
49,101,证券卖出,100,51.81,已成,0
300695,101,证券卖出,100,80.41,已成,0
2212,101,证券卖出,100,28.02,已成,0
2837,101,证券卖出,600,29.39,部分成交,0
2837,101,证券卖出,100,29.3,已成,0
