冻结金额,可用,参考市值,资产
,5478329.0,,88106921.81
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300126,锐奇股份,0,2800,7.582,-229.65,21000.0,7.5
300127,银河磁体,0,1600,18.6098,-79.65,29696.0,18.56
300130,新国都,3600,3600,13.3221,9640.57,57600.0,16.0
300131,英唐智控,0,12100,8.02,-4355.4,92686.0,7.66
300132,青松股份,0,600,23.5137,-110.24,13998.0,23.33
300136,信维通信,5400,5400,57.5037,24388.12,334908.0,62.02
300137,先河环保,0,1400,8.8939,-75.49,12376.0,8.84
300138,晨光生物,0,500,17.2218,-35.92,8575.0,17.15
300142,沃森生物,4038,5538,104.5584,-227381.56,351663.0,63.5
300143,盈康生命,0,700,25.5736,669.5,18571.0,26.53
300147,香雪制药,0,800,10.4816,-121.25,8264.0,10.33
300148,天舟文化,1200,1200,5.9612,-13.43,7140.0,5.95
300149,量子生物,0,400,22.5439,62.44,9080.0,22.7
300150,世纪瑞尔,0,700,5.1898,28.16,3661.0,5.23
300151,昌红科技,0,1300,25.2732,-4671.1,28184.0,21.68
300152,科融环境,0,25800,4.4836,6099.05,121776.0,4.72
300154,瑞凌股份,600,600,6.5313,-108.78,3810.0,6.35
300157,恒泰艾普,0,4400,5.0453,-331.31,21868.0,4.97
300159,新研股份,0,6400,5.6045,-220.86,35648.0,5.57
300161,华中数控,200,200,23.2347,91.07,4738.0,23.69
300163,先锋新材,3000,3000,4.5809,-362.75,13380.0,4.46
300164,通源石油,1300,1300,4.7109,-170.22,5954.0,4.58
300165,天瑞仪器,1800,1800,5.8812,-146.12,10440.0,5.8
300167,迪威迅,1500,1500,5.8412,-346.75,8415.0,5.61
300168,万达信息,9100,9100,26.7861,-2148.19,241605.0,26.55
300169,天晟新材,0,1500,10.6627,715.95,16710.0,11.14
300170,汉得信息,600,600,10.3021,-193.24,5988.0,9.98
300171,东富龙,3400,3400,19.9414,4347.19,72148.0,21.22
300173,福能东方,400,400,7.1915,-44.58,2832.0,7.08
300179,四方达,700,700,6.2913,-133.88,4270.0,6.1
300182,捷成股份,11600,11600,5.3551,4581.19,66700.0,5.75
300188,美亚柏科,0,1000,20.8628,-242.82,20620.0,20.62
300190,维尔利,1300,3000,9.4662,1571.52,29970.0,9.99
300192,科斯伍德,300,300,19.2243,2458.72,8226.0,27.42
300193,佳士科技,1000,1000,8.941,69.01,9010.0,9.01
300196,长海股份,0,600,14.8102,1139.86,10026.0,16.71
300200,高盟新材,0,1700,11.635,-382.55,19397.0,11.41
300201,海伦哲,0,900,4.4913,-46.18,3996.0,4.44
300205,天喻信息,0,500,12.5879,-53.96,6240.0,12.48
300207,欣旺达,1000,1000,21.8802,2099.76,23980.0,23.98
300211,亿通科技,0,3000,8.2905,-1591.45,23280.0,7.76
300212,易华录,500,500,37.5115,779.25,19535.0,39.07
300213,佳讯飞鸿,0,2400,8.7988,1803.0,22920.0,9.55
300214,日科化学,600,600,9.767,-220.17,5640.0,9.4
300229,拓尔思,100,100,11.6123,-21.23,1140.0,11.4
300233,金城医药,0,300,36.189,51.31,10908.0,36.36
300239,东宝生物,4700,4700,6.0898,-798.12,27824.0,5.92
300240,飞力达,0,1500,6.7246,-396.96,9690.0,6.46
300241,瑞丰光电,0,1600,9.5484,-1885.46,13392.0,8.37
300244,迪安诊断,2700,2700,42.2743,1581.34,115722.0,42.86
300245,天玑科技,2300,5100,12.1769,3075.8,65178.0,12.78
300248,新开普,3400,3600,14.5649,-557.67,51876.0,14.41
300249,依米康,0,3905,7.0576,-107.89,27452.15,7.03
300251,光线传媒,5000,5000,16.1274,362.88,81000.0,16.2
300255,常山药业,0,5000,7.5828,-264.16,37650.0,7.53
300257,开山股份,600,600,19.1638,267.7,11766.0,19.61
300258,精锻科技,300,300,14.4729,-6.87,4335.0,14.45
300259,新天科技,0,900,5.4564,-41.79,4869.0,5.41
300262,巴安水务,3500,3900,5.0628,27.89,19773.0,5.07
300264,佳创视讯,2800,2800,5.536,-576.74,14924.0,5.33
300265,通光线缆,500,500,11.7223,-116.17,5745.0,11.49
300268,佳沃股份,0,700,12.7455,3.17,8925.0,12.75
300271,华宇软件,500,500,27.6295,-634.77,13180.0,26.36
300272,开能健康,1900,1900,5.7897,-341.46,10659.0,5.61
300274,阳光电源,1500,1500,25.2644,-5001.63,32895.0,21.93
300276,三丰智能,4300,4300,5.6062,-499.81,23607.0,5.49
300279,和晶科技,3000,3000,6.2484,-175.25,18570.0,6.19
300280,紫天科技,0,300,46.8805,419.85,14484.0,48.28
300281,金明精机,0,900,7.4085,-61.62,6606.0,7.34
300282,三盛教育,0,1900,6.9201,-532.13,12616.0,6.64
300283,温州宏丰,900,900,5.2144,-237.93,4455.0,4.95
300285,国瓷材料,600,800,41.3026,-170.09,32872.0,41.09
300286,安科瑞,0,200,15.7567,58.66,3210.0,16.05
300288,朗玛信息,200,200,12.7423,211.54,2760.0,13.8
300292,吴通控股,0,4300,5.449,-339.65,23091.0,5.37
300295,三六五网,500,500,14.2328,-161.42,6955.0,13.91
300296,利亚德,1300,1300,6.9883,-140.81,8944.0,6.88
300298,三诺生物,300,300,99.1681,-18611.43,11139.0,37.13
300302,同有科技,700,700,15.7932,-184.21,10871.0,15.53
300305,裕兴股份,800,800,11.8111,-280.89,9168.0,11.46
300306,远方信息,200,200,11.2123,-28.45,2214.0,11.07
