时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:15:49.842    205391712       10001           601818          700 担保品买入  100             3.6000          已撤
09:30:15.222    237393333       10002           300709          701 担保品卖出  60              95.5100         已成
11:02:41.084    229398314       10003           600872          701 担保品卖出  100             56.6100         已成
11:02:41.182    205397174       10004           300760          701 担保品卖出  100             302.7100        已成
11:02:41.182    209391393       10005           603260          701 担保品卖出  600             26.6100         已成
11:02:41.285    201390267       10006           603533          701 担保品卖出  500             37.5600         已成
11:02:41.286    205397175       10007           002410          701 担保品卖出  100             68.0900         已成
11:02:41.381    217393688       10008           300755          701 担保品卖出  800             28.6700         已成
11:02:41.382    221399052       10009           300759          701 担保品卖出  100             90.0100         已成
11:02:41.494    205397176       10010           002581          701 担保品卖出  400             27.5800         已成
11:02:41.582    217393689       10011           300082          701 担保品卖出  1200            6.4500          已成
11:02:41.583    221399053       10012           300146          701 担保品卖出  600             22.1100         已成
11:02:41.583    225390902       10013           300624          701 担保品卖出  200             75.7600         部撤
11:02:41.686    225390903       10014           600834          701 担保品卖出  3500            12.1600         已成
11:02:41.687    229398315       10015           002007          701 担保品卖出  100             48.3800         已成
11:02:41.782    217393691       10016           002022          701 担保品卖出  3200            17.2000         已成
11:02:41.782    221399055       10017           300207          701 担保品卖出  100             18.9100         已成
11:02:41.887    237398783       10018           600763          701 担保品卖出  100             156.4800        已撤
11:02:41.982    209391396       10019           603360          701 担保品卖出  600             19.2200         已撤
11:02:41.992    213396968       10020           002643          701 担保品卖出  400             16.8500         已成
11:02:41.993    217393692       10021           300395          701 担保品卖出  300             30.3400         已撤
11:02:42.085    205397177       10022           600298          701 担保品卖出  1100            46.8500         已撤
11:02:42.182    217393693       10023           600804          701 担保品卖出  11000           9.0500          已成
11:02:42.183    221399056       10024           601689          701 担保品卖出  300             27.2900         已成
11:02:42.183    225390904       10025           002821          701 担保品卖出  100             238.1600        已成
11:02:42.283    201390270       10026           300037          701 担保品卖出  400             52.6600         已成
11:02:42.283    205397178       10027           601999          701 担保品卖出  5000            7.7800          已撤
11:02:42.386    225390905       10028           002773          701 担保品卖出  100             44.6300         已撤
11:02:42.386    229398316       10029           300651          701 担保品卖出  200             36.3000         已成
11:02:42.493    201390271       10030           600521          701 担保品卖出  500             33.0800         已成
11:02:42.583    209391397       10031           603444          701 担保品卖出  100             472.9800        部撤
11:02:42.583    213396970       10032           002602          700 担保品买入  8500            15.3400         已撤
11:02:42.583    217393695       10033           002798          700 担保品买入  1000            33.2100         已撤
11:02:42.688    209391398       10034           300438          700 担保品买入  1200            15.7000         已撤
11:02:42.784    217393696       10035           300738          700 担保品买入  100             53.3200         已撤
11:02:42.784    221399057       10036           002074          700 担保品买入  1800            27.8400         已成
11:02:42.891    201390273       10037           300485          700 担保品买入  900             21.9900         已成
11:02:42.892    209391399       10038           600418          700 担保品买入  13100           9.0800          已成
11:02:43.334    213396971       10039           603301          700 担保品买入  800             46.6700         已成
11:02:43.450    213396972       10040           300223          700 担保品买入  100             105.8600        已成
11:02:43.450    217393698       10041           300054          700 担保品买入  1900            14.9600         已成
11:02:43.451    221399059       10042           300364          700 担保品买入  2700            6.9900          已撤
11:02:43.452    201390274       10047           002539          700 担保品买入  3700            6.8400          已撤
11:02:43.451    225390907       10043           300418          700 担保品买入  1000            23.6400         已成
11:02:43.451    229398317       10044           600143          700 担保品买入  3900            13.3000         已成
11:02:43.451    233392251       10045           601788          700 担保品买入  2300            14.1200         已成
11:02:43.451    237398785       10046           603179          700 担保品买入  100             22.1300         已成
11:02:43.452    205397181       10048           002402          700 担保品买入  7000            15.7100         已撤
11:02:43.485    209391402       10049           300465          700 担保品买入  2200            13.3900         已成
11:02:43.486    213396973       10050           600988          700 担保品买入  4600            10.9000         已成
11:02:43.594    221399060       10051           002025          700 担保品买入  200             33.4800         已撤
11:02:48.585    229398321       10052           601999          701 担保品卖出  2400            7.7700          已成
11:02:48.585    233392258       10053           002821          701 担保品卖出  100             238.2500        已成
11:02:48.685    205397184       10054           300037          701 担保品卖出  100             52.6600         已成
11:02:48.686    209391407       10055           002773          701 担保品卖出  100             44.5700         已成
11:02:48.792    233392259       10056           600521          701 担保品卖出  700             33.1000         已成
11:02:48.793    237398791       10057           600872          701 担保品卖出  100             56.6100         已撤
11:02:48.895    213396979       10058           603260          701 担保品卖出  600             26.6100         已成
11:02:48.897    221399068       10059           603533          701 担保品卖出  500             37.5700         已成
11:02:48.982    229398323       10060           002410          701 担保品卖出  100             68.1900         已成
11:02:48.982    233392260       10061           300755          701 担保品卖出  900             28.6800         已成
11:02:49.086    205397185       10062           300759          701 担保品卖出  100             89.9700         已成
11:02:49.086    209391409       10063           603919          701 担保品卖出  900             17.2700         已成
11:02:49.198    221399069       10064           300082          701 担保品卖出  1900            6.4500          已成
11:02:49.198    225390911       10065           300146          701 担保品卖出  2500            22.1100         部撤
11:02:49.296    201390280       10067           600834          701 担保品卖出  1700            12.1600         已成
11:02:49.295    237398792       10066           300624          701 担保品卖出  100             75.9800         已撤
11:02:49.400    213396980       10068           603360          701 担保品卖出  700             19.2200         已撤
11:02:49.400    217393701       10069           002022          701 担保品卖出  3200            17.2000         已成
11:02:49.482    229398324       10070           600763          701 担保品卖出  100             156.4600        已成
11:02:49.483    233392261       10071           300395          701 担保品卖出  300             30.2900         已成
