证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2299,701,担保品卖出,59,28.52,已成,0
603301,701,担保品卖出,96,56.02,已成,0
603605,701,担保品卖出,31,174.24,已成,0
601990,701,担保品卖出,1000,16.1,部分成交,0
601990,701,担保品卖出,1000,16.1,部分成交,0
601990,701,担保品卖出,500,16.1,部分成交,0
9,701,担保品卖出,500,8.58,已成,0
300482,701,担保品卖出,100,103.96,已成,0
2837,700,担保品买入,400,28.03,已成,0
2030,700,担保品买入,600,28.03,部分成交,0
16,700,担保品买入,1000,7.36,部分成交,0
16,700,担保品买入,1000,7.36,部分成交,0
16,700,担保品买入,100,7.36,部分成交,0
16,700,担保品买入,200,7.36,已成,0
601990,701,担保品卖出,900,16.1,部分成交,0
2308,700,担保品买入,1700,7.01,部分成交,0
2308,700,担保品买入,100,7.01,部分成交,0
2308,700,担保品买入,600,7.01,部分成交,0
2308,700,担保品买入,500,7.01,部分成交,0
2308,700,担保品买入,800,7.01,已成,0
2466,700,担保品买入,400,22.62,已成,0
2371,700,担保品买入,100,182.77,已成,0
2030,700,担保品买入,200,28.03,部分成交,0
2030,700,担保品买入,1000,28.03,部分成交,0
601990,701,担保品卖出,5200,16.1,已成,0
603987,701,担保品卖出,400,16.68,已成,0
300418,701,担保品卖出,700,24.91,已成,0
2050,701,担保品卖出,800,21.99,已成,0
2030,700,担保品买入,500,28.03,部分成交,0
2030,700,担保品买入,1200,28.03,已成,0
2600,700,担保品买入,11900,11.04,已成,0
603298,701,担保品卖出,1200,11.35,已成,0
300659,701,担保品卖出,100,57.95,已成,0
2643,701,担保品卖出,1000,17.03,已成,0
2481,701,担保品卖出,200,16.73,已成,0
777,701,担保品卖出,100,12.2,已成,0
300724,701,担保品卖出,300,91.0,已成,0
300482,701,担保品卖出,100,103.99,已成,0
300302,701,担保品卖出,100,12.82,部分成交,0
9,701,担保品卖出,5900,8.58,已成,0
300529,701,担保品卖出,100,66.89,已成,0
300203,701,担保品卖出,1300,16.84,部分成交,0
300203,701,担保品卖出,100,16.84,部分成交,0
300203,701,担保品卖出,300,16.84,部分成交,0
300203,701,担保品卖出,300,16.84,已成,0
2600,700,担保品买入,12900,11.04,已成,0
603298,701,担保品卖出,1000,11.35,部分成交,0
603298,701,担保品卖出,300,11.35,已成,0
601990,701,担保品卖出,100,16.09,部分成交,0
601990,701,担保品卖出,600,16.09,部分成交,0
601990,701,担保品卖出,400,16.09,部分成交,0
300017,700,担保品买入,500,9.64,已成,0
601990,701,担保品卖出,1000,16.09,部分成交,0
601990,701,担保品卖出,1000,16.09,部分成交,0
601990,701,担保品卖出,600,16.09,部分成交,0
2837,700,担保品买入,100,28.05,部分成交,0
2837,700,担保品买入,200,28.05,已成,0
601990,701,担保品卖出,100,16.09,部分成交,0
601990,701,担保品卖出,200,16.09,部分成交,0
601990,701,担保品卖出,300,16.09,部分成交,0
601990,701,担保品卖出,500,16.09,部分成交,0
601990,701,担保品卖出,500,16.09,部分成交,0
601990,701,担保品卖出,800,16.09,部分成交,0
601990,701,担保品卖出,100,16.09,部分成交,0
