时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:30:16.376    229774870       572290          002498          701 担保品卖出  20              5.7200          已成
09:30:16.379    237774372       572289          002385          701 担保品卖出  34              10.4800         已成
09:30:16.409    205771669       572291          002097          701 担保品卖出  2               6.7300          已成
09:30:16.551    221775474       572292          000016          701 担保品卖出  64              7.7300          已成
09:30:16.568    201765081       572293          300324          701 担保品卖出  69              7.2100          已成
09:30:16.605    225765465       572294          300310          701 担保品卖出  60              6.1000          已成
09:30:16.692    237774374       572295          601058          701 担保品卖出  40              4.3500          已成
09:30:16.778    221775476       572296          600866          701 担保品卖出  1               5.0700          已成
09:30:16.901    213771752       572299          600466          701 担保品卖出  20              5.7200          已成
09:30:16.902    221775477       572298          002587          701 担保品卖出  85              6.1100          已成
10:46:14.779    209777061       1005-500010     511990          701 担保品卖出  646651          99.0000         已成
10:53:43.076    237784942       1005-500020     510500          704 买券还券    150000          7.2660          已成
10:54:18.737    229785532       1005-500030     510500          704 买券还券    150000          7.2730          已成
10:56:10.741    217779602       1005-500040     510500          704 买券还券    150000          7.2850          已成
10:56:29.834    221786353       1005-500050     510500          704 买券还券    150000          7.2860          已成
10:58:12.410    209778073       1005-500060     510500          704 买券还券    150000          7.2880          已成
10:58:30.508    205782627       1005-500070     510500          704 买券还券    150000          7.2880          已成
10:59:01.162    221786484       1005-500080     510500          704 买券还券    150000          7.2890          已成
11:00:53.104    209778311       1005-500090     510500          704 买券还券    100000          7.2910          已成
11:02:09.369    229786113       578347          600936          701 担保品卖出  7000            4.1700          已撤
11:02:09.400    237785548       578348          002161          701 担保品卖出  600             8.2100          已成
11:02:09.469    233778395       578349          000697          701 担保品卖出  100             10.0900         已成
11:02:09.582    237785549       578350          002125          701 担保品卖出  900             8.6900          已成
11:02:09.617    205782956       578351          300232          701 担保品卖出  1100            9.1000          已成
11:02:09.621    213783104       578352          300297          701 担保品卖出  4500            4.3400          已成
11:02:09.687    221786815       578353          002288          701 担保品卖出  2600            5.6300          已成
11:02:09.816    237785550       578354          002057          701 担保品卖出  1300            7.9200          已成
11:02:09.844    205782957       578355          002570          701 担保品卖出  400             7.4800          已成
11:02:09.844    209778442       578356          000997          701 担保品卖出  900             18.0900         已成
11:02:09.868    221786816       578357          002547          701 担保品卖出  400             7.4600          已成
11:02:09.915    229786117       578358          300035          701 担保品卖出  1400            9.0100          已撤
11:02:09.991    237785551       578359          300273          701 担保品卖出  700             7.6000          已成
11:02:10.005    205782958       578360          600136          701 担保品卖出  200             9.1500          已成
11:02:10.067    213783105       578361          603185          701 担保品卖出  100             56.4300         已撤
11:02:10.128    221786817       578362          600879          701 担保品卖出  100             7.1300          已成
11:02:10.170    229786118       578363          601818          701 担保品卖出  200             3.9800          已撤
11:02:10.270    237785552       578364          000725          701 担保品卖出  307700          4.9200          已成
11:02:10.273    205782959       578365          000793          701 担保品卖出  113400          3.8300          已撤
11:02:10.377    213783106       578366          002090          701 担保品卖出  3500            10.2200         已成
11:02:10.415    221786818       578367          002317          701 担保品卖出  2700            16.6400         已成
11:02:10.512    229786119       578368          300036          701 担保品卖出  200             26.2100         已成
11:02:10.551    237785553       578369          600176          701 担保品卖出  9000            10.6100         已成
11:02:10.555    205782960       578370          002249          701 担保品卖出  47400           4.0800          已撤
11:02:10.581    213783107       578371          002741          701 担保品卖出  500             12.7900         已成
11:02:10.631    221786819       578372          603533          701 担保品卖出  100             37.1800         已成
11:02:10.689    229786120       578373          300238          701 担保品卖出  2900            32.4200         已成
11:02:10.726    237785554       578374          300298          701 担保品卖出  100             38.3100         已撤
11:02:10.831    205782961       578376          600499          701 担保品卖出  82500           4.6100          部撤
11:02:10.832    209778443       578375          600983          701 担保品卖出  3700            5.0000          已成
11:02:10.887    221786820       578377          603697          701 担保品卖出  100             19.0900         已成
11:02:10.928    229786121       578378          000100          701 担保品卖出  44200           6.7000          已成
11:02:10.975    237785555       578379          002230          701 担保品卖出  2200            39.2100         已成
11:02:11.042    205782962       578380          600771          701 担保品卖出  400             15.4600         已成
11:02:11.109    213783108       578381          300294          700 担保品买入  500             48.1100         已成
11:02:11.156    221786821       578382          601888          700 担保品买入  400             184.3000        已成
11:02:11.209    229786122       578383          000786          700 担保品买入  1900            29.8200         已成
11:02:11.233    237785556       578384          002425          700 担保品买入  6200            15.5800         已成
11:02:16.240    217780061       578385          002027          701 担保品卖出  4400            6.0400          已撤
11:02:16.449    229786130       578386          300785          701 担保品卖出  100             135.1500        已撤
11:02:16.451    201776533       578388          300238          701 担保品卖出  2900            32.4000         已成
11:02:16.450    233778401       578387          603533          701 担保品卖出  100             37.1700         已撤
11:02:16.488    213783114       578389          300099          701 担保品卖出  6400            6.1000          部撤
11:02:16.491    221786831       578390          600210          701 担保品卖出  200             5.0600          已成
11:02:16.595    229786131       578391          600983          701 担保品卖出  4900            5.0000          已成
11:02:16.607    237785562       578392          603697          701 担保品卖出  100             19.0900         已成
11:02:16.641    205782968       578393          000100          701 担保品卖出  42000           6.7000          已成
11:02:16.708    213783115       578394          002230          701 担保品卖出  3100            39.2200         已成
11:02:16.775    221786832       578395          600771          701 担保品卖出  400             15.4600         已成
11:02:16.828    229786132       578396          002358          701 担保品卖出  100             5.4900          已成
11:02:16.851    237785563       578397          002161          701 担保品卖出  800             8.2100          已成
11:02:16.897    205782969       578398          300271          701 担保品卖出  100             27.9400         已成
11:02:16.939    213783116       578399          000697          701 担保品卖出  100             10.0900         已成
11:02:17.025    221786833       578400          002125          701 担保品卖出  1100            8.6900          已成
11:02:17.095    229786133       578402          002570          701 担保品卖出  200             7.4800          已成
