时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:30:16.000    202366409       10004           0102000001086072        300541          101 证券卖出            20              20.0900         已成            0               0
09:30:16.000    234367563       10002           326679                  600363          101 证券卖出            94              25.2800         已成            0               0
09:30:16.000    238374089       10003           326696                  600801          101 证券卖出            50              28.1700         已成            0               0
09:31:08.000    206373413       10001           WTD:2196000001          601818          100 证券买入            -100            3.7000          已撤            0               0
10:31:55.000    218376138       10005           0101000014967839        300558          101 证券卖出            100             129.2500        已成            0               0
10:31:56.000    234371525       10008           0103000014860089        002949          101 证券卖出            200             33.7600         已成            0               0
10:31:56.000    218376139       10007           8515079                 601888          101 证券卖出            100             212.9900        部分成交        0               0
10:31:56.000    226369025       10006           8514986                 600885          101 证券卖出            800             48.6400         已成            0               0
10:31:56.000    218376139       10007           8515080                 601888          101 证券卖出            200             212.9000        已成            0               0
10:31:56.000    206377427       10009           0101000014968797        300671          101 证券卖出            1400            51.7000         已成            0               0
10:31:56.000    238378019       10011           0103000014860759        000661          101 证券卖出            100             449.0200        已成            0               0
10:31:56.000    222380530       10010           8515419                 603605          101 证券卖出            200             182.9400        已成            0               0
10:31:56.000    230379978       10012           0103000014861089        000070          101 证券卖出            400             13.1300         已成            0               0
10:31:56.000    238378020       10013           0104000014563479        002287          101 证券卖出            200             32.2400         已成            0               0
10:31:56.000    214376828       10014           0103000014861396        300307          101 证券卖出            3600            7.7100          部分成交        0               0
10:31:56.000    214376828       10014           0103000014861398        300307          101 证券卖出            1400            7.7100          已成            0               0
10:31:57.000    222380531       10015           0101000014970388        300298          101 证券卖出            100             38.6100         部分成交        0               0
10:31:57.000    222380531       10015           0101000014970390        300298          101 证券卖出            100             38.6000         已成            0               0
10:31:57.000    230379980       10018           0104000014564412        000901          101 证券卖出            300             12.2800         部分成交        0               0
10:31:57.000    230379980       10018           0104000014564414        000901          101 证券卖出            1000            12.2800         部分成交        0               0
10:31:57.000    230379980       10018           0104000014564416        000901          101 证券卖出            700             12.2800         已成            0               0
10:31:57.000    222380532       10017           8516280                 600556          101 证券卖出            600             21.9200         部分成交        0               0
10:31:57.000    222380532       10017           8516281                 600556          101 证券卖出            400             21.9200         已成            0               0
10:31:57.000    226369027       10021           0103000014862792        000893          101 证券卖出            1900            9.8800          已成            0               0
10:31:57.000    238378021       10022           0101000014972095        300502          101 证券卖出            100             69.2700         已成            0               0
10:31:57.000    218376143       10020           8516652                 600184          101 证券卖出            400             11.9700         部分成交        0               0
10:31:57.000    218376143       10020           8516653                 600184          101 证券卖出            300             11.9700         已成            0               0
10:31:57.000    226369028       10023           8516955                 600909          100 证券买入            3800            9.0600          已成            0               0
10:31:58.000    226369031       10027           0103000014864492        300099          100 证券买入            6900            8.4000          已成            0               0
10:31:57.000    210372850       10024           8517064                 600988          100 证券买入            400             21.1700         已成            0               0
10:31:58.000    210372848       10019           0102000016414834        002570          101 证券卖出            -1400           9.2100          已撤            0               0
10:31:58.000    226369032       10029           0101000014974080        000930          100 证券买入            6900            10.7200         已成            0               0
10:31:58.000    222380535       10030           0101000014974361        002001          100 证券买入            400             32.9500         部分成交        0               0
10:31:58.000    222380535       10030           0101000014974363        002001          100 证券买入            100             32.9500         已成            0               0
10:31:58.000    230379982       10031           0103000014865561        002041          100 证券买入            600             20.8800         部分成交        0               0
10:31:58.000    230379982       10031           0103000014865563        002041          100 证券买入            100             20.8800         部分成交        0               0
10:31:58.000    230379982       10031           0103000014865565        002041          100 证券买入            800             20.8800         已成            0               0
10:31:58.000    222380536       10034           0102000016416026        000411          100 证券买入            3800            19.5500         已成            0               0
10:31:58.000    202370373       10032           8518115                 603378          100 证券买入            100             75.1200         已成            0               0
10:31:59.000    234371533       10035           0102000016416226        000703          100 证券买入            121             11.2300         部分成交        0               0
10:31:59.000    234371533       10035           0102000016416228        000703          100 证券买入            100             11.2300         部分成交        0               0
10:31:59.000    234371533       10035           0102000016416230        000703          100 证券买入            900             11.2300         部分成交        0               0
10:31:59.000    234371533       10035           0102000016416232        000703          100 证券买入            300             11.2300         部分成交        0               0
10:31:59.000    234371533       10035           0102000016416234        000703          100 证券买入            3679            11.2300         已成            0               0
10:31:58.000    210372852       10033           8518243                 603638          100 证券买入            100             62.2000         已成            0               0
10:31:59.000    234371534       10037           0104000014569265        300432          100 证券买入            3100            9.9500          已成            0               0
10:31:59.000    206377432       10038           0104000014569481        000735          100 证券买入            500             12.3600         部分成交        0               0
10:31:59.000    206377432       10038           0104000014569483        000735          100 证券买入            1200            12.3600         部分成交        0               0
10:31:59.000    214376834       10036           8518501                 600967          100 证券买入            1000            12.6900         部分成交        0               0
10:31:59.000    214376834       10036           8518502                 600967          100 证券买入            100             12.6900         部分成交        0               0
10:31:59.000    206377432       10038           0104000014569485        000735          100 证券买入            8100            12.3600         已成            0               0
10:31:59.000    214376834       10036           8518503                 600967          100 证券买入            400             12.6900         已成            0               0
10:31:59.000    202370370       10026           WTD:2196000013          603801          100 证券买入            -1200           37.1200         已撤            0               0
10:31:59.000    226369034       10039           0103000014867315        002585          100 证券买入            2000            10.4400         已成            0               0
