时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
10:32:43.289    226190391       10088           002949          101 证券卖出    900             34.8000         已撤
10:32:43.404    234192961       10089           600298          101 证券卖出    300             68.7100         已成
10:32:43.590    222202102       10090           300770          101 证券卖出    200             116.7800        已成
10:32:43.613    202190034       10091           601888          101 证券卖出    100             218.0400        已成
10:32:43.689    214197862       10092           300048          101 证券卖出    200             4.4200          已撤
10:32:43.789    222202103       10093           002507          101 证券卖出    300             39.4400         已成
10:32:43.892    230200470       10094           002641          101 证券卖出    4000            8.8700          已成
10:32:43.990    238199273       10095           000537          101 证券卖出    17000           8.0300          已成
10:32:44.090    206198593       10096           600742          100 证券买入    200             11.0500         已成
10:32:44.200    218195564       10097           000973          100 证券买入    3000            5.1800          已成
10:32:44.291    234192962       10098           600098          100 证券买入    400             5.9900          已撤
10:32:44.398    206198594       10099           600885          100 证券买入    100             48.3600         已成
10:32:44.490    214197863       10100           603722          100 证券买入    200             45.3400         已成
10:32:44.589    222202104       10101           300047          100 证券买入    1000            8.4200          已成
10:32:44.690    230200471       10102           600496          100 证券买入    1700            6.2200          已成
10:32:44.790    222202105       10103           002706          100 证券买入    100             26.2700         已成
10:32:44.891    238199275       10104           000070          100 证券买入    2300            12.7100         已成
10:32:44.992    206198596       10105           300426          100 证券买入    100             9.8500          已成
10:32:45.090    222202106       10106           603718          100 证券买入    300             43.9800         已成
10:32:50.088    206198603       10107           300048          101 证券卖出    28800           4.4100          已成
10:32:50.189    214197870       10108           300315          101 证券卖出    1600            8.9600          已成
10:32:50.291    234192970       10109           002507          101 证券卖出    100             39.4200         已成
10:32:50.393    202190043       10110           002641          101 证券卖出    1900            8.8700          已成
10:32:50.488    218195571       10111           600161          101 证券卖出    200             51.7100         已成
10:32:50.588    202190044       10112           002190          101 证券卖出    200             32.5900         已撤
10:32:50.690    218195572       10113           002346          101 证券卖出    1300            11.1500         已成
10:32:50.791    202190045       10114           002920          101 证券卖出    200             72.4000         已成
10:32:50.889    206198604       10115           300206          101 证券卖出    100             22.8000         已成
10:32:50.991    238199288       10116           002851          101 证券卖出    400             28.8500         已成
10:32:51.089    206198606       10117           300416          101 证券卖出    1300            29.5000         已成
10:32:51.189    230200484       10118           600298          101 证券卖出    300             68.6900         已成
10:32:51.289    230200485       10119           300770          101 证券卖出    100             116.6200        已成
10:32:51.390    218195577       10120           002949          101 证券卖出    900             34.7800         已成
10:32:51.490    206198609       10121           601888          101 证券卖出    100             218.4700        已撤
10:32:51.589    226190401       10122           002706          100 证券买入    100             26.2800         已成
10:32:51.690    202190048       10123           300497          100 证券买入    700             21.2000         已成
10:32:51.790    210193420       10124           603223          100 证券买入    100             14.5100         已成
10:32:51.891    226190402       10125           002821          100 证券买入    100             236.7500        已成
10:32:51.989    202190049       10126           300248          100 证券买入    400             13.9900         已撤
10:32:52.089    230200487       10127           603718          100 证券买入    800             43.8100         已撤
10:32:52.191    238199295       10128           000973          100 证券买入    3800            5.1900          已成
10:32:52.589    202190051       10130           300596          100 证券买入    700             38.3500         已撤
10:32:52.589    206198612       10131           600885          100 证券买入    100             48.3300         已成
10:32:52.588    238199297       10129           600098          100 证券买入    400             6.0000          已成
