时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
10:32:31.000    222202090       10026           0102000015463930        300148          100 证券买入            400             5.7800          已成            0               0
10:32:31.000    238199252       10021           0103000015632415        000537          101 证券卖出            -6100           8.0800          部撤            0               0
10:32:35.000    230200462       10047           0103000015641853        002507          101 证券卖出            100             39.5000         部分成交        0               0
10:32:35.000    230200462       10047           0103000015641855        002507          101 证券卖出            400             39.5000         已成            0               0
10:32:35.000    206198585       10048           0103000015642082        002641          101 证券卖出            200             8.8700          部分成交        0               0
10:32:35.000    206198585       10048           0103000015642084        002641          101 证券卖出            800             8.8700          已成            0               0
10:32:35.000    234192951       10053           0103000015643262        002346          101 证券卖出            1100            11.1600         已成            0               0
10:32:35.000    210193393       10051           11290855                600600          101 证券卖出            100             77.5500         已成            0               0
10:32:35.000    202190024       10054           0103000015643554        002920          101 证券卖出            100             72.4900         已成            0               0
10:32:36.000    210193394       10055           0102000015475794        300206          101 证券卖出            200             22.8100         已成            0               0
10:32:35.000    218195551       10052           11291090                600161          101 证券卖出            100             51.7900         已成            0               0
10:32:36.000    222202095       10056           0103000015644074        002190          101 证券卖出            500             32.4200         已成            0               0
10:32:36.000    230200464       10057           0102000015476256        002930          101 证券卖出            100             23.5100         已成            0               0
10:32:36.000    218195550       10049           11291562                603596          101 证券卖出            200             39.9400         已成            0               0
10:32:36.000    210193395       10059           0101000015493779        002851          101 证券卖出            300             28.8800         部分成交        0               0
10:32:36.000    210193395       10059           0101000015493781        002851          101 证券卖出            100             28.8500         已成            0               0
10:32:36.000    238199265       10062           0102000015477674        300770          101 证券卖出            100             116.8900        已成            0               0
10:32:36.000    230200465       10061           11292472                600298          101 证券卖出            100             68.8400         已成            0               0
10:32:36.000    218195552       10064           0102000015478068        002028          101 证券卖出            1800            28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478070        002028          101 证券卖出            200             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478072        002028          101 证券卖出            300             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478074        002028          101 证券卖出            1000            28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478076        002028          101 证券卖出            1000            28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478078        002028          101 证券卖出            200             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478080        002028          101 证券卖出            500             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478082        002028          101 证券卖出            300             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478084        002028          101 证券卖出            300             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478086        002028          101 证券卖出            1000            28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478088        002028          101 证券卖出            300             28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478090        002028          101 证券卖出            5000            28.0300         部分成交        0               0
10:32:36.000    218195552       10064           0102000015478092        002028          101 证券卖出            1600            28.0300         已成            0               0
10:32:37.000    210193397       10065           0103000015646498        300315          101 证券卖出            400             8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015646500        300315          101 证券卖出            1000            8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015646502        300315          101 证券卖出            500             8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015646504        300315          101 证券卖出            2000            8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015646506        300315          101 证券卖出            1100            8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015646528        300315          101 证券卖出            200             8.9500          部分成交        0               0
10:32:36.000    210193396       10063           11292752                601888          101 证券卖出            100             218.1600        已成            0               0
10:32:37.000    218195553       10066           0101000015495740        000070          100 证券买入            1000            12.7000         部分成交        0               0
10:32:37.000    218195553       10066           0101000015495742        000070          100 证券买入            1000            12.7000         部分成交        0               0
10:32:37.000    210193397       10065           0103000015646820        300315          101 证券卖出            2800            8.9500          部分成交        0               0
10:32:37.000    218195553       10066           0101000015495744        000070          100 证券买入            400             12.7000         已成            0               0
10:32:37.000    210193397       10065           0103000015646859        300315          101 证券卖出            2500            8.9500          部分成交        0               0
10:32:37.000    210193397       10065           0103000015647404        300315          101 证券卖出            200             8.9500          部分成交        0               0
10:32:37.000    210193399       10068           0102000015479679        002714          100 证券买入            100             95.5000         已成            0               0
10:32:37.000    230200467       10069           0101000015496551        300426          100 证券买入            700             9.8500          已成            0               0
10:32:37.000    234192950       10050           0103000015647663        000537          101 证券卖出            -6100           8.0600          已撤            0               0
10:32:37.000    222202097       10071           0104000015292387        000973          100 证券买入            3600            5.1800          已成            0               0
10:32:37.000    218195554       10067           0101000015497038        002568          100 证券买入            100             60.2800         已成            0               0
10:32:37.000    202190025       10058           0104000015292702        300416          101 证券卖出            400             29.5600         部分成交        0               0
10:32:38.000    238199267       10072           0102000015481297        300148          100 证券买入            800             5.7800          已成            0               0
10:32:37.000    230200468       10073           11294705                600885          100 证券买入            100             48.3100         已成            0               0
10:32:38.000    226190384       10076           0103000015649340        000930          100 证券买入            100             9.5900          已成            0               0
10:32:37.000    238199268       10074           11294893                603722          100 证券买入            200             45.2900         已成            0               0
10:32:38.000    210193400       10075           0102000015481253        000048          100 证券买入            200             25.6000         已成            0               0
10:32:38.000    210193397       10065           0103000015649165        300315          101 证券卖出            100             8.9500          部分成交        0               0
10:32:38.000    210193397       10065           0103000015649204        300315          101 证券卖出            100             8.9500          部分成交        0               0
10:32:38.000    210193397       10065           0103000015649354        300315          101 证券卖出            100             8.9500          已成            0               0
10:32:38.000    214197858       10079           0101000015498616        300601          100 证券买入            200             239.8900        部分成交        0               0
10:32:38.000    214197858       10079           0101000015498618        300601          100 证券买入            100             239.8900        已成            0               0
10:32:38.000    234192956       10077           0104000015294380        300047          100 证券买入            900             8.4100          已成            0               0
10:32:38.000    222202096       10060           0102000015482318        002949          101 证券卖出            -1600           34.8200         已撤            0               0
10:32:38.000    206198590       10078           11295758                600496          100 证券买入            1200            6.2100          部分成交        0               0
10:32:38.000    206198590       10078           11295759                600496          100 证券买入            600             6.2100          部分成交        0               0
10:32:38.000    206198590       10078           11295760                600496          100 证券买入            2500            6.2100          部分成交        0               0
10:32:38.000    206198590       10078           11295761                600496          100 证券买入            500             6.2200          已成            0               0
10:32:39.000    202190025       10058           0104000015296339        300416          101 证券卖出            100             29.5600         部分成交        0               0
10:32:40.000    202190025       10058           0104000015300553        300416          101 证券卖出            800             29.5600         已成            0               0
10:32:38.000    222202098       10080           11296170                600328          100 证券买入            100             8.6600          已成            0               0
10:32:40.000    214197857       10070           WTD:2196000016          600098          100 证券买入            -100            5.9900          已撤            0               0
10:32:43.000    210193403       10081           11305483                600161          101 证券卖出            120             51.7600         部分成交        0               0
10:32:43.000    210193403       10081           11305484                600161          101 证券卖出            80              51.7500         已成            0               0
10:32:43.000    202190032       10084           0103000015663566        002346          101 证券卖出            600             11.1600         部分成交        0               0
10:32:43.000    202190032       10084           0103000015663568        002346          101 证券卖出            500             11.1600         部分成交        0               0
10:32:43.000    218195562       10082           11305559                600600          101 证券卖出            100             77.5200         已成            0               0
10:32:43.000    218195563       10085           0103000015663779        002920          101 证券卖出            200             72.4800         已成            0               0
10:32:44.000    238199272       10086           0101000015512574        002851          101 证券卖出            100             28.8600         部分成交        0               0
10:32:44.000    238199272       10086           0101000015512576        002851          101 证券卖出            100             28.8500         部分成交        0               0
10:32:44.000    238199272       10086           0101000015512578        002851          101 证券卖出            200             28.8500         已成            0               0
10:32:44.000    214197861       10087           0104000015310886        300416          101 证券卖出            400             29.5300         部分成交        0               0
10:32:44.000    222202102       10090           0102000015495599        300770          101 证券卖出            100             116.8900        部分成交        0               0
10:32:44.000    222202102       10090           0102000015495601        300770          101 证券卖出            100             116.8900        已成            0               0
10:32:44.000    234192961       10089           11307187                600298          101 证券卖出            100             68.7700         部分成交        0               0
10:32:44.000    234192961       10089           11307188                600298          101 证券卖出            200             68.7600         已成            0               0
10:32:44.000    222202103       10093           0103000015665939        002507          101 证券卖出            300             39.4500         已成            0               0
10:32:44.000    230200470       10094           0103000015666198        002641          101 证券卖出            200             8.8700          部分成交        0               0
10:32:44.000    230200470       10094           0103000015666200        002641          101 证券卖出            3800            8.8700          已成            0               0
10:32:44.000    202190034       10091           11307658                601888          101 证券卖出            100             218.5200        已成            0               0
10:32:44.000    238199273       10095           0103000015666413        000537          101 证券卖出            6200            8.0300          部分成交        0               0
10:32:44.000    238199273       10095           0103000015666415        000537          101 证券卖出            2000            8.0300          部分成交        0               0
10:32:44.000    238199273       10095           0103000015666417        000537          101 证券卖出            3700            8.0300          部分成交        0               0
10:32:44.000    238199273       10095           0103000015666419        000537          101 证券卖出            5100            8.0300          已成            0               0
10:32:44.000    226190389       10083           0103000015666463        002190          101 证券卖出            100             32.4500         部分成交        0               0
10:32:45.000    218195564       10097           0104000015313061        000973          100 证券买入            3000            5.1800          已成            0               0
10:32:45.000    206198593       10096           11308477                600742          100 证券买入            200             11.0400         已成            0               0
10:32:45.000    222202104       10101           0104000015314294        300047          100 证券买入            1000            8.4200          已成            0               0
10:32:45.000    206198594       10099           11309133                600885          100 证券买入            100             48.3300         已成            0               0
10:32:45.000    214197863       10100           11309208                603722          100 证券买入            100             45.3000         部分成交        0               0
10:32:45.000    214197863       10100           11309209                603722          100 证券买入            100             45.3000         已成            0               0
10:32:45.000    222202105       10103           0102000015498519        002706          100 证券买入            100             26.2600         已成            0               0
10:32:45.000    238199275       10104           0101000015516759        000070          100 证券买入            600             12.7100         部分成交        0               0
10:32:45.000    238199275       10104           0101000015516761        000070          100 证券买入            1700            12.7100         已成            0               0
10:32:45.000    230200471       10102           11309506                600496          100 证券买入            700             6.2100          部分成交        0               0
10:32:45.000    230200471       10102           11309507                600496          100 证券买入            100             6.2100          部分成交        0               0
10:32:45.000    230200471       10102           11309508                600496          100 证券买入            200             6.2100          部分成交        0               0
10:32:45.000    230200471       10102           11309509                600496          100 证券买入            400             6.2100          部分成交        0               0
10:32:45.000    230200471       10102           11309510                600496          100 证券买入            300             6.2200          已成            0               0
10:32:45.000    206198596       10105           0101000015517076        300426          100 证券买入            100             9.8500          已成            0               0
10:32:46.000    222202106       10106           11310173                603718          100 证券买入            300             43.9800         已成            0               0
10:32:46.000    226190389       10083           0103000015671170        002190          101 证券卖出            -400            32.4500         部撤            0               0
10:32:46.000    202190032       10084           0103000015671182        002346          101 证券卖出            -100            11.1600         部撤            0               0
10:32:46.000    234192962       10098           WTD:2196000027          600098          100 证券买入            -400            5.9900          已撤            0               0
10:32:47.000    226190391       10088           0102000015503381        002949          101 证券卖出            -900            34.8000         已撤            0               0
10:32:47.000    214197862       10092           0102000015503436        300048          101 证券卖出            -200            4.4200          已撤            0               0
10:32:47.000    206198572       10018           0102000015503629        300048          101 证券卖出            -28600          4.4200          已撤            0               0
10:32:47.000    214197861       10087           0104000015320423        300416          101 证券卖出            -900            29.5300         部撤            0               0
10:32:51.000    202190043       10110           0103000015682743        002641          101 证券卖出            900             8.8700          部分成交        0               0
10:32:51.000    202190043       10110           0103000015682745        002641          101 证券卖出            300             8.8700          部分成交        0               0
10:32:51.000    202190043       10110           0103000015682747        002641          101 证券卖出            700             8.8700          已成            0               0
10:32:51.000    234192970       10109           0103000015682565        002507          101 证券卖出            100             39.4200         已成            0               0
10:32:51.000    218195572       10113           0103000015683394        002346          101 证券卖出            1300            11.1500         已成            0               0
10:32:51.000    202190045       10114           0103000015683653        002920          101 证券卖出            100             72.4600         部分成交        0               0
10:32:51.000    202190045       10114           0103000015683655        002920          101 证券卖出            100             72.4600         已成            0               0
10:32:51.000    218195571       10111           11319683                600161          101 证券卖出            200             51.7900         已成            0               0
10:32:51.000    206198604       10115           0102000015513344        300206          101 证券卖出            100             22.8200         已成            0               0
10:32:51.000    238199288       10116           0101000015531132        002851          101 证券卖出            100             28.8600         部分成交        0               0
10:32:51.000    238199288       10116           0101000015531134        002851          101 证券卖出            200             28.8500         部分成交        0               0
10:32:51.000    238199288       10116           0101000015531136        002851          101 证券卖出            100             28.8500         已成            0               0
10:32:52.000    206198606       10117           0104000015331828        300416          101 证券卖出            1300            29.5300         已成            0               0
10:32:52.000    230200485       10119           0102000015514527        300770          101 证券卖出            100             116.7000        已成            0               0
10:32:52.000    218195577       10120           0102000015514858        002949          101 证券卖出            900             34.8600         已成            0               0
10:32:52.000    230200484       10118           11321009                600298          101 证券卖出            300             68.7900         已成            0               0
10:32:52.000    226190401       10122           0102000015515499        002706          100 证券买入            100             26.2500         已成            0               0
10:32:52.000    202190044       10112           0103000015686299        002190          101 证券卖出            -200            32.5900         已撤            0               0
10:32:52.000    202190048       10123           0102000015515635        300497          100 证券买入            700             21.1700         已成            0               0
10:32:52.000    214197870       10108           0103000015686993        300315          101 证券卖出            1600            8.9600          已成            0               0
10:32:52.000    226190402       10125           0102000015516110        002821          100 证券买入            100             236.6000        已成            0               0
10:32:52.000    210193420       10124           11322287                603223          100 证券买入            100             14.5000         已成            0               0
10:32:53.000    238199295       10128           0104000015335042        000973          100 证券买入            200             5.1800          部分成交        0               0
10:32:53.000    238199295       10128           0104000015335044        000973          100 证券买入            3600            5.1900          已成            0               0
10:32:53.000    202190049       10126           0103000015689376        300248          100 证券买入            -400            13.9900         已撤            0               0
10:32:53.000    214197878       10132           11324080                603722          100 证券买入            100             45.2900         部分成交        0               0
10:32:53.000    238199297       10129           11324021                600098          100 证券买入            400             6.0000          已成            0               0
10:32:53.000    214197878       10132           11324081                603722          100 证券买入            100             45.3000         已成            0               0
10:32:53.000    206198612       10131           11324036                600885          100 证券买入            100             48.2900         已成            0               0
10:32:53.000    206198609       10121           WTD:2196000035          601888          101 证券卖出            -100            218.4700        已撤            0               0
10:32:53.000    230200487       10127           WTD:2196000037          603718          100 证券买入            -800            43.8100         已撤            0               0
10:32:56.000    230200489       10133           0104000015342786        300047          100 证券买入            1000            8.4200          已成            0               0
10:32:56.000    202190051       10130           0103000015697073        300596          100 证券买入            -700            38.3500         已撤            0               0
10:32:58.000    210193433       10135           0103000015702218        002346          101 证券卖出            100             11.1600         部分成交        0               0
10:32:58.000    210193433       10135           0103000015702220        002346          101 证券卖出            400             11.1500         已成            0               0
10:32:58.000    230200497       10136           0103000015702444        002920          101 证券卖出            100             72.4500         部分成交        0               0
10:32:58.000    230200497       10136           0103000015702446        002920          101 证券卖出            100             72.4400         已成            0               0
10:32:58.000    234192982       10134           11334330                600161          101 证券卖出            200             51.7900         已成            0               0
10:32:59.000    202190061       10139           0101000015548655        002851          101 证券卖出            300             28.8400         已成            0               0
