时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:16:26.000    237393303       10001           WTD:2196000001          601818          100 证券买入            -100            3.6000          已撤            0               0
09:30:16.000    217388352       10002           0101000000797529        300404          101 证券卖出            93              14.9300         已成            0               0
10:32:55.000    201388505       10005           0101000011290040        300759          101 证券卖出            100             89.1600         部分成交        0               0
10:32:55.000    201388505       10005           0101000011290042        300759          101 证券卖出            100             89.1400         已成            0               0
10:32:54.000    205395358       10003           7383700                 603733          101 证券卖出            200             16.0600         部分成交        0               0
10:32:54.000    205395358       10003           7383701                 603733          101 证券卖出            400             16.0600         已成            0               0
10:32:55.000    221397210       10006           0103000011692250        000829          101 证券卖出            100             7.5200          已成            0               0
10:32:55.000    237396992       10004           0104000012134650        002410          101 证券卖出            100             67.1900         已成            0               0
10:32:55.000    205395360       10007           0103000011692554        300285          101 证券卖出            100             31.1300         部分成交        0               0
10:32:55.000    205395360       10007           0103000011692556        300285          101 证券卖出            300             31.1200         已成            0               0
10:32:55.000    237396994       10008           0101000011290912        300618          101 证券卖出            100             62.6000         已成            0               0
10:32:55.000    205395361       10009           7384531                 600848          101 证券卖出            100             21.0100         部分成交        0               0
10:32:55.000    205395361       10009           7384532                 600848          101 证券卖出            1600            21.0100         已成            0               0
10:32:55.000    237396996       10013           0104000012136481        000893          101 证券卖出            1500            5.5700          已成            0               0
10:32:55.000    229396460       10010           7384743                 603027          101 证券卖出            500             28.5600         已成            0               0
10:32:55.000    229396462       10014           0104000012136640        002541          101 证券卖出            400             26.8600         已成            0               0
10:32:55.000    237396995       10011           7384787                 603363          101 证券卖出            300             22.9100         部分成交        0               0
10:32:55.000    237396995       10011           7384788                 603363          101 证券卖出            100             22.9100         部分成交        0               0
10:32:55.000    237396995       10011           7384789                 603363          101 证券卖出            600             22.9000         已成            0               0
10:32:55.000    213395188       10012           7384933                 603596          101 证券卖出            100             35.3400         已成            0               0
10:32:56.000    205395363       10015           0103000011693896        002891          101 证券卖出            300             41.5500         已成            0               0
10:32:56.000    237396998       10017           0104000012137237        002582          101 证券卖出            500             12.1800         已成            0               0
10:32:56.000    205395364       10018           0102000011401829        002745          100 证券买入            1299            15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401831        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401833        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401835        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401837        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401839        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401841        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401843        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401845        002745          100 证券买入            100             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401847        002745          100 证券买入            200             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401849        002745          100 证券买入            700             15.2700         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401851        002745          100 证券买入            100             15.2800         部分成交        0               0
10:32:56.000    205395364       10018           0102000011401853        002745          100 证券买入            1               15.2800         已成            0               0
10:32:56.000    205395365       10021           0103000011694730        300088          100 证券买入            400             10.7500         部分成交        0               0
10:32:56.000    205395365       10021           0103000011694732        300088          100 证券买入            1000            10.7500         部分成交        0               0
10:32:56.000    205395365       10021           0103000011694734        300088          100 证券买入            5800            10.7600         部分成交        0               0
10:32:56.000    205395365       10021           0103000011694736        300088          100 证券买入            1700            10.7600         部分成交        0               0
10:32:56.000    205395365       10021           0103000011694738        300088          100 证券买入            300             10.7600         部分成交        0               0
10:32:56.000    205395365       10021           0103000011694740        300088          100 证券买入            4700            10.7600         已成            0               0
10:32:56.000    229396464       10020           0103000011694814        002602          100 证券买入            2900            15.3100         已成            0               0
10:32:56.000    213395191       10019           7385816                 600198          100 证券买入            2200            15.8400         部分成交        0               0
10:32:56.000    213395191       10019           7385817                 600198          100 证券买入            2700            15.8400         已成            0               0
10:32:56.000    213395192       10022           0104000012138038        300223          100 证券买入            100             104.9000        部分成交        0               0
10:32:56.000    213395192       10022           0104000012138040        300223          100 证券买入            100             104.9000        部分成交        0               0
