时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
10:32:37.693    205370963       10088           603517          101 证券卖出    200             69.8300         已成
10:32:37.799    237372662       10089           002925          101 证券卖出    100             57.6500         已成
10:32:37.892    213370918       10090           603486          101 证券卖出    100             30.6900         已成
10:32:38.000    221372895       10091           603658          101 证券卖出    100             173.5700        已撤
10:32:38.092    209365739       10092           002460          101 证券卖出    400             55.6300         已成
10:32:43.092    213370929       10093           603733          101 证券卖出    1100            16.3800         已撤
10:32:43.193    233366416       10094           600570          101 证券卖出    500             98.1700         已成
10:32:43.292    201364199       10095           603825          101 证券卖出    200             32.7600         已成
10:32:43.393    233366417       10096           002951          101 证券卖出    100             17.6100         已成
10:32:43.495    201364200       10097           000988          101 证券卖出    500             23.6800         已成
10:32:43.596    209365751       10098           002025          101 证券卖出    100             33.3200         已成
10:32:43.795    221372909       10099           603823          101 证券卖出    1500            19.7300         已成
10:32:43.891    205370978       10100           000636          100 证券买入    2800            28.7200         已成
10:32:43.994    229372606       10101           600859          100 证券买入    500             40.6400         已成
10:32:49.026    213370944       10102           002075          101 证券卖出    32900           13.4200         已成
10:32:49.092    229372614       10103           603060          101 证券卖出    600             18.6900         已成
10:32:49.196    229372615       10104           600570          101 证券卖出    300             98.1300         已成
10:32:49.291    237372694       10105           603825          101 证券卖出    300             32.8300         部撤
10:32:49.391    205370993       10106           603517          101 证券卖出    300             69.8200         已成
10:32:49.493    213370945       10107           002951          101 证券卖出    700             17.6000         已成
10:32:49.593    221372921       10108           603486          101 证券卖出    100             30.7100         已成
10:32:49.691    229372616       10109           002460          101 证券卖出    300             55.6100         已成
10:32:49.809    213370946       10110           002025          101 证券卖出    2700            33.4800         部撤
10:32:50.000    221372922       10111           600521          100 证券买入    1000            32.1200         已成
10:32:50.091    237372696       10112           002605          100 证券买入    2400            34.3600         已成
10:32:55.096    237372706       10113           603060          101 证券卖出    100             18.6900         已成
10:32:55.193    205371000       10114           603823          101 证券卖出    1100            19.7300         已成
10:32:55.293    213370958       10115           002075          101 证券卖出    20700           13.4200         已撤
10:32:55.393    233366434       10116           002409          101 证券卖出    100             48.0300         已成
10:32:55.495    201364219       10117           600570          101 证券卖出    200             98.1200         已成
10:32:55.592    213370959       10118           603733          101 证券卖出    2200            16.3200         已成
10:32:55.692    237372707       10119           002951          101 证券卖出    100             17.6000         已成
10:32:55.894    229372629       10121           603517          101 证券卖出    100             69.7800         已成
10:32:55.995    209365770       10122           603486          101 证券卖出    800             30.7100         已成
10:32:55.794    225365276       10120           300404          101 证券卖出    900             14.9900         已成
10:32:56.093    225365277       10123           603658          101 证券卖出    100             173.5600        已撤
10:32:56.194    201364220       10124           601699          101 证券卖出    4300            5.9300          已成
10:32:56.291    229372630       10125           002460          101 证券卖出    1400            55.6000         已成
10:32:56.393    229372631       10126           002025          101 证券卖出    1300            33.4800         已成
10:32:56.596    237372710       10127           002605          100 证券买入    500             34.3700         已成
10:32:56.803    221372937       10128           300750          100 证券买入    300             167.8700        已成
10:32:56.803    225365281       10129           600859          100 证券买入    300             40.6200         已成
10:32:56.893    209365776       10130           002129          100 证券买入    1500            21.0100         已成
10:32:57.021    237372713       10131           002241          100 证券买入    600             26.4300         已成
10:32:57.092    201364223       10132           600521          100 证券买入    100             32.1400         已成
10:33:22.193    225365334       10133           603823          101 证券卖出    300             19.6800         已成
10:33:27.197    237372760       10134           002075          101 证券卖出    8300            13.3500         已成
10:33:27.292    205371055       10135           603823          101 证券卖出    100             19.6800         已成
10:33:27.394    221372981       10136           603733          101 证券卖出    200             16.3500         已撤
10:33:27.494    237372761       10137           603659          101 证券卖出    100             102.2600        已成
10:33:27.593    205371056       10138           002129          100 证券买入    5500            20.9700         已成
10:33:27.696    225365344       10139           002241          100 证券买入    100             26.3900         已成
10:33:32.702    233366510       10140           603659          101 证券卖出    200             102.3400        已成
10:33:32.809    201364289       10141           002925          101 证券卖出    100             57.5500         已撤
10:33:32.891    209365849       10142           603658          101 证券卖出    100             173.4400        已成
10:33:32.997    233366513       10143           000988          101 证券卖出    800             23.6500         已成
10:33:33.093    221372987       10144           002460          101 证券卖出    7000            55.6200         已成
10:33:33.293    237372771       10145           002075          101 证券卖出    4900            13.3400         已成
10:33:33.392    209365850       10146           603823          101 证券卖出    100             19.6600         已成
10:33:33.495    217367879       10147           603733          101 证券卖出    200             16.3300         已成
10:33:33.592    233366514       10148           002129          100 证券买入    1700            20.9700         已成
10:33:33.695    201364291       10149           002241          100 证券买入    2100            26.3900         已成
10:33:33.795    213371023       10150           002605          100 证券买入    100             34.4000         已成
10:33:33.903    229372696       10151           300750          100 证券买入    200             167.7900        已成
10:33:34.194    217367880       10152           600521          100 证券买入    1900            32.2100         已成
10:33:39.097    205371087       10153           002075          101 证券卖出    900             13.3300         已成
10:33:39.195    221373004       10154           603060          101 证券卖出    600             18.6900         已成
