冻结金额,可用,参考市值,资产
41523213.59,2359677.07,70896673.9,73256350.97
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
526,紫光学大,5200,5200,79.0103,-89337.76,321516.0,61.83
703,恒逸石化,31030,31030,10.6926,33122.49,364912.8,11.76
828,东莞控股,47,47,5730.2949,-268863.26,460.6,9.8
893,亚钾国际,15000,15000,14.0686,-81578.93,129450.0,8.63
921,海信家电,56200,56200,14.06,-37091.29,753080.0,13.4
2028,思源电气,53800,53800,25.7866,-125710.59,1261610.0,23.45
2032,苏泊尔,5000,5000,82.964,-22319.83,392500.0,78.5
2053,云南能投,6500,6500,8.2843,2572.14,56420.0,8.68
2084,海鸥住工,74100,74100,13.5865,-199810.29,806949.0,10.89
2271,东方雨虹,19,19,5972.0726,-112461.81,1007.57,53.03
2293,罗莱生活,9700,9700,12.7949,-12075.56,112035.0,11.55
2533,金杯电工,11900,11900,12.0285,-72215.26,70924.0,5.96
2573,清新环境,38,38,-375.7855,14522.29,242.44,6.38
2812,恩捷股份,16200,16200,80.8654,-46257.35,1263762.0,78.01
2913,奥士康,7900,7900,63.9656,-36858.48,468470.0,59.3
300015,爱尔眼科,27200,27200,52.0482,-82367.5,1333344.0,49.02
300357,我武生物,3400,3400,59.8673,-8014.82,195534.0,57.51
300395,菲利华,30000,30000,47.053,-177089.19,1234500.0,41.15
300406,九强生物,2600,2600,41.0828,-54295.36,52520.0,20.2
300487,蓝晓科技,4900,4900,50.9311,-12157.49,237405.0,48.45
300529,健帆生物,17800,17800,77.5835,-141216.6,1239770.0,69.65
300551,古鳌科技,4000,4000,35.9395,-11757.98,132000.0,33.0
300686,智动力,4400,4400,24.3182,-3160.03,103840.0,23.6
300725,药石科技,10300,10300,133.4037,-157010.28,1217048.0,118.16
300759,康龙化成,7400,7400,106.0232,-51971.72,732600.0,99.0
300760,迈瑞医疗,3600,3600,334.3865,-80159.57,1123632.0,312.12
511990,华宝添益,427533,427533,99.7668,102269.62800000001,42755865.198,100.006
600246,万通发展,60,60,-961.9857,58307.74,588.6,9.81
600323,瀚蓝环境,9300,9300,29.7427,-1140.93,275466.0,29.62
600337,美克家居,70900,70900,6.6066,-64279.97,404130.0,5.7
600363,联创光电,85,85,1595.4835,-133835.35,1780.75,20.95
600376,首开股份,82800,82800,6.9674,-3927.21,572976.0,6.92
600570,恒生电子,12800,12800,109.4722,-110364.07,1290880.0,100.85
600636,国新文化,45600,45600,14.9251,-73191.6,607392.0,13.32
600750,江中药业,50,50,1267.4926,-62767.63,607.0,12.14
600887,伊利股份,34400,34400,41.0067,-63181.26,1347448.0,39.17
600893,航发动力,24200,26400,40.7097,-20848.96,1053888.0,39.92
600926,杭州银行,2260,2260,34.2184,-48518.56,28815.0,12.75
600989,宝丰能源,20900,20900,15.0094,-84842.3,228855.0,10.95
601128,常熟银行,108600,108600,8.1443,12570.23,897036.0,8.26
601168,西部矿业,0,44811,8.3472,-7046.24,367002.09,8.190000000000001
601225,陕西煤业,82600,82600,8.2307,2421.03,682276.0,8.26
601566,九牧王,40700,40700,11.2587,36276.45,494505.0,12.15
603018,中设集团,7300,7300,17.8815,-33298.88,97236.0,13.32
603039,泛微网络,8800,8800,105.3777,-107340.0,819984.0,93.18
603069,海汽集团,31700,31700,37.1715,-335432.63,842903.0,26.59
603180,金牌厨柜,0,1000,55.4791,-409.06,55070.0,55.07
603306,华懋科技,1200,1200,47.2232,-36687.88,19980.0,16.65
603444,吉比特,800,800,416.5219,118694.5,451912.0,564.89
603535,嘉诚国际,24100,24100,33.7872,115506.57,929778.0,38.58
603568,伟明环保,22500,22500,25.8674,-64967.11,517050.0,22.98
603596,伯特利,600,600,70.4201,-22200.04,20052.0,33.42
603638,艾迪精密,8300,8300,62.6215,-67574.85,452184.0,54.48
603659,璞泰来,4700,4700,107.0749,-63332.11,439920.0,93.6
603678,火炬电子,28200,28200,41.256,-103100.02,1060320.0,37.6
603700,宁水集团,6100,6100,45.0506,-78693.7,196115.0,32.15
603708,家家悦,200,200,473.6662,-87425.24,7308.0,36.54
603898,好莱客,25,25,1778.5888,-44033.47,431.25,17.25
603936,博敏电子,23000,23000,15.8373,5811.27,370070.0,16.09
603990,麦迪科技,30,30,141.144,-2916.72,1317.6,43.919999999999995
