冻结金额,可用,参考市值,资产
,5305406.71,,107127665.26
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
12,南玻Ａ,0,118600,5.9463,11118.13,716344.0,6.04
59,华锦股份,0,54400,5.1595,29.27,280704.0,5.16
155,川能动力,82200,82200,5.3886,9975.59,452922.0,5.51
157,中联重科,80800,80800,8.539,-22541.97,667408.0,8.26
400,许继电气,67300,67300,16.3784,-22102.29,1080165.0,16.05
672,上峰水泥,8600,8600,30.2976,-581.07,259978.0,30.23
719,中原传媒,5300,5300,7.3907,1851.13,41022.0,7.74
733,振华科技,16600,16600,30.0832,114818.12,614200.0,37.0
762,西藏矿业,26700,26700,8.6419,7424.4,238164.0,8.92
768,中航飞机,43200,43200,23.7167,-720.65,1023840.0,23.7
795,英洛华,31000,31000,6.6286,-6155.82,199330.0,6.43
828,东莞控股,13200,13200,7.856,20248.44,123948.0,9.39
830,鲁西化工,9200,9200,11.3627,-944.68,103592.0,11.26
878,云南铜业,0,72800,14.6915,2072.22,1071616.0,14.72
951,中国重汽,4800,4800,36.8303,-1201.51,175584.0,36.58
976,华铁股份,103000,103000,6.7325,3858.01,697310.0,6.77
987,越秀金控,1700,1700,11.2841,19390.1,38573.0,22.69
1696,宗申动力,0,96106,9.3755,35035.3,936072.44,9.74
2013,中航机电,0,53000,10.0716,9454.04,543250.0,10.25
2020,京新药业,67400,67400,15.3808,-25664.48,1011000.0,15.0
2140,东华科技,200,200,7.1111,15.79,1438.0,7.19
2157,正邦科技,52900,52900,20.1991,72522.74,1141053.0,21.57
2163,海南发展,53500,53500,14.0593,140206.98,892380.0,16.68
2179,中航光电,600,600,45.9469,-1438.14,26130.0,43.55
2212,南洋股份,4700,4700,22.905,2796.54,110450.0,23.5
2233,塔牌集团,0,1000,15.4626,207.37,15670.0,15.67
2288,超华科技,0,161100,6.1023,4466.92,987543.0,6.13
2318,久立特材,0,4100,8.7415,526.9,36367.0,8.87
2340,格林美,91600,91600,5.4559,-9700.94,490060.0,5.35
2367,康力电梯,5900,5900,10.4178,3021.79,64487.0,10.93
2382,蓝帆医疗,31,31,314.9732,-8797.28,966.89,31.19
2398,垒知集团,3700,3700,10.4216,-671.78,37888.0,10.24
2412,汉森制药,2200,2200,8.2612,-178.73,17996.0,8.18
2428,云南锗业,600,600,109.7354,-56061.25,9780.0,16.3
2429,兆驰股份,66400,66400,6.5783,51242.72,488040.0,7.35
2488,金固股份,74700,74700,5.583,12478.48,429525.0,5.75
2510,天汽模,220300,220300,4.8152,-29784.09,1031004.0,4.68
2637,赞宇科技,23500,23500,12.4678,5222.05,298215.0,12.69
2639,雪人股份,17800,49100,7.8282,18256.27,402620.0,8.2
2651,利君股份,63100,63100,6.0871,-4865.55,379231.0,6.01
2683,宏大爆破,0,10700,54.3589,17560.02,599200.0,56.0
2688,金河生物,37900,100200,8.3754,94646.44,933864.0,9.32
2707,众信旅游,0,98200,9.8617,30278.37,998694.0,10.17
2726,龙大肉食,19800,19800,10.9932,6669.37,224334.0,11.33
2783,凯龙股份,28200,28200,11.9217,7566.41,343758.0,12.19
2928,华夏航空,600,600,74.536,-38235.6,6486.0,10.81
300007,汉威科技,12400,12400,21.5542,-64532.19,202740.0,16.35
300009,安科生物,50200,50200,22.2039,-52403.18,1062232.0,21.16
300037,新宙邦,3200,3200,55.8285,4132.73,182784.0,57.12
300053,欧比特,50300,50300,12.138,-18008.56,592534.0,11.78
300073,当升科技,25300,25300,35.0324,-5119.92,881199.0,34.83
300083,创世纪,106100,106100,10.1416,-13959.36,1062061.0,10.01
300088,长信科技,93700,93700,11.8589,31961.35,1143140.0,12.2
300097,智云股份,4500,4500,13.2707,807.04,60525.0,13.45
300125,聆达股份,0,9400,17.0003,1594.86,161398.0,17.17
300127,银河磁体,36800,36800,18.4511,-22487.88,656512.0,17.84
300137,先河环保,105600,105600,7.7719,-9708.13,811008.0,7.68
300213,佳讯飞鸿,28300,28300,8.3061,4921.73,239984.0,8.48
300214,日科化学,300,300,17.2221,-2376.63,2790.0,9.3
300219,鸿利智汇,6600,6600,10.5284,1264.55,70752.0,10.72
300263,隆华科技,89100,89100,8.8833,-62664.75,728838.0,8.18
300303,聚飞光电,146700,146700,6.5049,141578.13,1095849.0,7.47
300315,掌趣科技,45200,45200,9.4681,-3530.19,424428.0,9.39
300327,中颖电子,30900,30900,36.7069,19870.87,1154115.0,37.35
300331,苏大维格,12300,12300,36.4571,7538.73,455961.0,37.07
300341,麦克奥迪,16600,16600,8.8998,2.84,147740.0,8.9
300357,我武生物,25900,25900,62.9646,116172.03,1746955.0,67.45
300366,创意信息,74100,74100,13.6619,145093.56,1157442.0,15.62
300382,斯莱克,0,4300,9.8737,844.17,43301.0,10.07
300401,花园生物,19500,19500,15.8764,-4024.43,305565.0,15.67
300428,四通新材,0,29700,17.0792,-272.27,506979.0,17.07
300525,博思软件,14600,14600,44.6429,25070.28,676856.0,46.36
300595,欧普康视,16,16,-5144.2819,83354.75,1046.24,65.39
300599,雄塑科技,11800,11800,14.4522,4694.43,175230.0,14.85
300627,华测导航,5000,5000,21.7187,9306.71,117900.0,23.58
300677,英科医疗,0,6000,167.4034,25779.83,1030200.0,171.7
300757,罗博特科,200,200,46.407,-221.39,9060.0,45.3
300770,新媒股份,500,500,117.0876,526.21,59070.0,118.14
