冻结金额,可用,参考市值,资产
4906500.79,17327463.7,7143295.9,24470821.3
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
300573,兴齐眼药,600,600,138.4238,417.75,83472.0,139.12
300575,中旗股份,0,700,37.3867,415.31,26586.0,37.98
300602,飞荣达,57,57,23.0395,486.81,1800.06,31.58
300613,富瀚微,80,280,73.0199,10581.23,31026.8,110.81
300617,安靠智电,0,400,35.1585,-775.39,13288.0,33.22
300623,捷捷微电,0,900,25.5747,3874.77,26892.0,29.88
300635,中达安,0,100,30.2833,-102.33,2926.0,29.26
300657,弘信电子,0,2000,20.6178,-1555.62,39680.0,19.84
300673,佩蒂股份,0,900,32.8697,5481.28,35064.0,38.96
300677,英科医疗,0,1300,115.6179,15836.79,166140.0,127.8
300687,赛意信息,0,100,9.455,1251.5,2197.0,21.97
300695,兆丰股份,200,200,73.2196,208.08,14852.0,74.26
300696,爱乐达,400,400,35.042,127.19,14144.0,35.36
300702,天宇股份,0,300,106.6145,-484.34,31500.0,105.0
300709,精研科技,260,460,89.4248,678.57,41814.0,90.9
300715,凯伦股份,0,600,57.397,-12418.19,22020.0,36.7
300724,捷佳伟创,0,100,87.735,60.5,8834.0,88.34
300750,宁德时代,0,800,68.4171,82098.31,136832.0,171.04
300751,迈为股份,400,400,268.3637,10090.54,117436.0,293.59
511990,华宝添益,19,19,-5973.1032,115388.485,1899.525,99.97500000000001
600109,国金证券,0,13000,11.513,-6148.55,143520.0,11.04
600110,诺德股份,0,4500,5.2956,-2005.29,21825.0,4.85
600197,伊力特,5500,5500,16.7517,15500.87,107635.0,19.57
600198,大唐电信,7100,9000,15.0411,9170.42,144540.0,16.06
600199,金种子酒,0,100,4.8326,150.74,634.0,6.34
600216,XD浙江医,0,2000,19.5598,-659.68,38460.0,19.23
600233,圆通速递,0,1000,21.4378,-7027.84,14410.0,14.41
600305,恒顺醋业,56,56,9.6541,499.85,1040.48,18.580000000000002
600378,昊华科技,0,100,18.8565,121.35,2007.0,20.07
600438,通威股份,0,2400,16.0443,3253.62,41760.0,17.4
600486,扬农化工,0,600,86.2909,-3072.55,48702.0,81.17
600511,国药股份,2000,4000,42.4422,8511.03,178280.0,44.57
600529,山东药玻,0,2300,48.2305,18605.94,129536.0,56.32
600559,老白干酒,0,100,9.9722,179.78,1177.0,11.77
600676,交运股份,0,7600,6.0974,-3552.56,42788.0,5.63
600702,舍得酒业,0,600,34.2594,1620.35,22176.0,36.96
600711,盛屯矿业,0,5500,4.5328,754.57,25685.0,4.67
600732,爱旭股份,0,800,9.4921,846.29,8440.0,10.55
600750,江中药业,80,80,5.4805,565.56,1004.0,12.55
600861,北京城乡,0,400,15.7098,-711.93,5572.0,13.93
600882,妙可蓝多,1200,1200,37.4919,-1514.24,43476.0,36.23
600884,杉杉股份,50,50,-100.2684,5594.92,581.5,11.63
600966,博汇纸业,0,1600,8.8361,1862.27,16000.0,10.0
601881,中国银河,0,5000,10.5651,3574.53,56400.0,11.28
603027,千禾味业,80,80,7.0006,1890.35,2450.4,30.630000000000003
603033,三维股份,400,400,22.4289,-207.54,8764.0,21.91
603055,台华新材,0,600,7.7701,-222.08,4440.0,7.4
603069,海汽集团,0,1100,13.2068,1807.57,16335.0,14.85
603127,昭衍新药,0,1400,87.8824,17944.69,140980.0,100.7
603129,春风动力,800,800,66.1558,731.36,53656.0,67.07
603229,奥翔药业,60,560,45.2436,2803.6,28140.0,50.25
603233,大参林,100,100,76.2267,-57.67,7565.0,75.65
603258,电魂网络,0,1200,48.2263,2740.39,60612.0,50.51
603298,杭叉集团,9800,9800,10.0306,7736.06,106036.0,10.82
603338,浙江鼎力,700,700,74.9108,62.46,52500.0,75.0
603385,惠达卫浴,0,200,14.1217,-42.34,2782.0,13.91
603456,九洲药业,0,900,22.1654,4828.14,24777.0,27.53
603466,风语筑,0,1200,16.698,3278.46,23316.0,19.43
603501,韦尔股份,0,100,614.425,-41459.5,19983.0,199.83
603506,南都物业,0,100,28.5217,106.83,2959.0,29.59
603517,绝味食品,0,200,63.8976,1240.48,14020.0,70.1
603538,XD美诺华,0,500,53.8755,-1647.75,25290.0,50.58
603566,普莱柯,1600,1600,27.3283,50.75,43776.0,27.36
603583,捷昌驱动,0,800,68.9035,-2122.79,53000.0,66.25
603596,伯特利,0,200,35.0056,34.89,7036.0,35.18
603638,艾迪精密,0,900,41.9516,6460.52,44217.0,49.13
603650,彤程新材,0,2400,21.6785,4539.52,56568.0,23.57
603659,璞泰来,200,400,99.8074,477.03,40400.0,101.0
603661,恒林股份,400,400,51.053,-229.18,20192.0,50.48
603688,石英股份,0,200,23.0136,107.28,4710.0,23.55
603690,XD至纯科,0,1000,38.1555,2094.46,40250.0,40.25
603700,宁水集团,60,60,41.9937,-749.62,1770.0,29.5
603713,密尔克卫,100,100,96.9637,531.63,10228.0,102.28
603799,华友钴业,0,3100,38.656,-1971.58,117862.0,38.02
603806,福斯特,0,2000,43.4433,11013.38,97900.0,48.95
603825,华扬联众,0,1800,31.2499,-737.87,55512.0,30.84
603826,坤彩科技,400,400,31.5271,589.15,13200.0,33.0
603855,华荣股份,0,300,15.917,114.89,4890.0,16.3
603881,数据港,0,500,96.4139,4018.07,52225.0,104.45
603883,老百姓,0,200,95.1714,261.73,19296.0,96.48
603916,苏博特,400,800,27.7357,-2068.52,20120.0,25.15
603919,金徽酒,0,900,15.3896,1098.4,14949.0,16.61
603936,博敏电子,0,100,13.4678,123.22,1470.0,14.7
603960,克来机电,500,1200,26.8767,-104.07,32148.0,26.79
603987,康德莱,0,1400,16.1116,1187.83,23744.0,16.96
