时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:16:37.140    221415001       10001           601818          100 证券买入    100             3.6000          已撤
09:30:15.331    201406029       10002           603027          101 证券卖出    60              28.5000         已成
09:30:15.332    205413337       10003           002465          101 证券卖出    38              12.7900         已成
09:30:15.332    209407328       10004           002878          101 证券卖出    30              22.5000         已成
10:32:17.370    209410750       10005           002732          101 证券卖出    500             21.4800         已成
10:32:17.469    217413052       10006           603208          101 证券卖出    100             97.9300         已成
10:32:17.569    209410751       10007           603345          101 证券卖出    100             117.1900        已成
10:32:17.669    201409402       10008           002063          101 证券卖出    2600            12.7100         已成
10:32:17.766    217413054       10009           002508          101 证券卖出    1300            32.2500         已成
10:32:17.867    225410005       10010           002705          101 证券卖出    100             35.6800         已成
10:32:17.965    237418238       10011           603138          101 证券卖出    100             22.8700         已成
10:32:18.065    205416893       10012           002683          101 证券卖出    200             35.9200         已成
10:32:18.167    225410006       10013           603055          101 证券卖出    200             7.5900          已成
10:32:18.264    233411677       10014           600872          101 证券卖出    400             56.0000         已成
10:32:18.363    225410007       10015           002241          101 证券卖出    5400            26.9700         已成
10:32:18.468    233411678       10016           002539          101 证券卖出    200             6.7100          已成
10:32:18.576    201409404       10017           002940          101 证券卖出    300             54.9200         已成
10:32:18.671    225410008       10018           300396          101 证券卖出    100             27.2000         已成
10:32:18.767    201409405       10019           000976          101 证券卖出    200             5.2500          已成
10:32:18.873    209410755       10020           300136          101 证券卖出    500             50.0000         已成
10:32:19.047    229418283       10021           300161          101 证券卖出    100             21.8400         已成
10:32:19.063    201409406       10022           300723          101 证券卖出    100             41.2200         已成
10:32:19.164    217413056       10023           300485          101 证券卖出    900             21.8600         部撤
10:32:19.264    225410010       10024           300558          101 证券卖出    100             133.7200        已成
10:32:19.364    233411682       10025           600885          101 证券卖出    1000            39.3800         已成
10:32:19.471    217413060       10026           002841          101 证券卖出    200             95.6100         已成
10:32:19.564    209410761       10027           300088          101 证券卖出    2000            10.8300         已成
10:32:19.666    233411684       10028           300709          101 证券卖出    200             93.8200         已撤
10:32:19.765    233411685       10029           002582          101 证券卖出    1700            12.1300         已成
10:32:19.875    233411686       10030           002747          101 证券卖出    1300            11.3200         已成
10:32:19.967    217413064       10031           300760          101 证券卖出    100             298.5100        已成
10:32:20.064    225410015       10032           002481          101 证券卖出    2300            16.6400         已撤
10:32:20.165    233411687       10033           300530          101 证券卖出    200             42.6800         已成
10:32:20.265    233411688       10034           603605          101 证券卖出    100             172.7200        已成
10:32:20.365    209410765       10035           000636          101 证券卖出    500             30.0700         已成
10:32:20.477    201409415       10036           002749          101 证券卖出    100             13.1000         已成
10:32:20.571    233411690       10037           300379          101 证券卖出    200             42.9400         已成
10:32:20.674    217413068       10038           002706          101 证券卖出    200             15.8900         已成
10:32:20.772    201409417       10039           300223          101 证券卖出    100             105.1300        已成
