证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2466,701,担保品卖出,67,26.5,已成,0
676,701,担保品卖出,50,9.59,已成,0
300318,701,担保品卖出,32,6.66,已成,0
2030,701,担保品卖出,55,30.12,已成,0
2616,701,担保品卖出,500,11.48,部分成交,0
2616,701,担保品卖出,600,11.48,已成,0
300683,701,担保品卖出,100,61.12,已成,0
600896,701,担保品卖出,4800,5.0,已成,0
300559,701,担保品卖出,300,25.14,已成,0
710,701,担保品卖出,200,59.28,部分成交,0
2639,701,担保品卖出,1200,7.88,已成,0
603538,701,担保品卖出,200,52.35,已成,0
300526,701,担保品卖出,200,139.24,已成,0
300379,701,担保品卖出,400,53.98,已成,0
603079,701,担保品卖出,500,33.5,已成,0
300636,700,担保品买入,100,41.3,已成,0
608,700,担保品买入,100,5.05,已成,0
300686,700,担保品买入,200,24.93,部分成交,0
300686,700,担保品买入,200,24.93,已成,0
697,700,担保品买入,400,10.61,部分成交,0
697,700,担保品买入,500,10.61,部分成交,0
300035,700,担保品买入,100,9.75,部分成交,0
300081,700,担保品买入,1900,9.7,已成,0
300035,700,担保品买入,1800,9.75,已成,0
600111,701,担保品卖出,4700,13.21,已成,0
600458,700,担保品买入,1900,7.23,部分成交,0
997,700,担保品买入,3800,19.23,已成,0
2433,700,担保品买入,300,4.71,部分成交,0
2433,700,担保品买入,2800,4.71,部分成交,0
2433,700,担保品买入,500,4.71,部分成交,0
300352,700,担保品买入,1200,8.56,部分成交,0
300352,700,担保品买入,500,8.56,部分成交,0
300352,700,担保品买入,800,8.56,部分成交,0
300352,700,担保品买入,5900,8.56,已成,0
600230,700,担保品买入,2200,9.46,已成,0
710,701,担保品卖出,100,59.25,已成,0
2524,700,担保品买入,800,11.27,已成,0
300311,700,担保品买入,500,7.84,已成,0
2312,700,担保品买入,3600,5.5,已成,0
300322,700,担保品买入,1900,19.03,已成,0
926,700,担保品买入,4200,5.95,部分成交,0
926,700,担保品买入,2500,5.95,部分成交,0
926,700,担保品买入,300,5.95,部分成交,0
926,700,担保品买入,2000,5.95,已成,0
300448,700,担保品买入,2000,11.32,部分成交,0
2344,700,担保品买入,4000,4.77,部分成交,0
2344,700,担保品买入,6200,4.77,部分成交,0
2344,700,担保品买入,6500,4.77,已成,0
2161,700,担保品买入,900,8.94,部分成交,0
2161,700,担保品买入,600,8.94,部分成交,0
403,701,担保品卖出,100,74.54,已成,0
300683,701,担保品卖出,100,61.13,已成,0
710,701,担保品卖出,700,59.2,已成,0
2332,701,担保品卖出,700,16.99,部分成交,0
2332,701,担保品卖出,400,16.99,部分成交,0
2332,701,担保品卖出,100,16.99,部分成交,0
2332,701,担保品卖出,800,16.99,部分成交,0
2332,701,担保品卖出,300,16.99,部分成交,0
2332,701,担保品卖出,300,16.99,部分成交,0
2332,701,担保品卖出,300,16.99,部分成交,0
2332,701,担保品卖出,100,16.99,已成,0
2639,701,担保品卖出,4000,7.88,已成,0
2161,700,担保品买入,1200,8.94,已成,0
603538,701,担保品卖出,200,52.36,已成,0
603200,701,担保品卖出,100,47.16,部分成交,0
603200,701,担保品卖出,100,47.16,已成,0
600988,701,担保品卖出,500,13.31,部分成交,0
600988,701,担保品卖出,2600,13.3,部分成交,0
600988,701,担保品卖出,1700,13.3,部分成交,0
600988,701,担保品卖出,2600,13.3,部分成交,0
600988,701,担保品卖出,600,13.3,已成,0
