时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:33:14.000    225386024       10053           1029014                 603127          100 证券买入            100             90.9600         已成            0               0
09:33:17.000    201385441       10056           0101000001860378        300229          100 证券买入            -4000           11.7900         已撤            0               0
09:33:19.000    229393331       10057           0101000001868197        300229          100 证券买入            2800            11.7900         已成            0               0
09:33:19.000    205392250       10060           0101000001869065        002352          100 证券买入            200             55.8900         已成            0               0
09:33:19.000    229393332       10058           1045923                 600486          100 证券买入            100             82.4200         已成            0               0
09:33:19.000    233387400       10059           1045924                 603583          100 证券买入            100             66.8300         已成            0               0
09:33:19.000    209386565       10061           1046298                 603127          100 证券买入            100             90.9500         已成            0               0
09:33:24.000    217388905       10064           0101000001893710        300229          100 证券买入            400             11.8000         部分成交        0               0
09:33:24.000    217388905       10064           0101000001893712        300229          100 证券买入            800             11.8000         已成            0               0
09:33:24.000    213392117       10067           0101000001894902        002352          100 证券买入            400             55.8800         已成            0               0
09:33:24.000    205392254       10062           1062113                 603127          100 证券买入            100             91.0000         已成            0               0
09:33:24.000    213392116       10063           1062496                 603338          100 证券买入            100             74.9500         已成            0               0
09:33:24.000    201385448       10066           1062713                 603583          100 证券买入            100             66.8300         已成            0               0
09:33:24.000    237393845       10065           1062712                 600486          100 证券买入            100             82.4000         已成            0               0
09:33:29.000    233387411       10068           0102000001974581        300548          101 证券卖出            300             57.4500         部分成交        0               0
09:33:29.000    233387411       10068           0102000001974583        300548          101 证券卖出            100             57.4000         已成            0               0
09:33:30.000    233387412       10072           0101000001919140        300229          100 证券买入            1400            11.8000         已成            0               0
09:33:30.000    213392121       10071           1077934                 603338          100 证券买入            100             74.9700         已成            0               0
09:33:30.000    209386574       10074           1078458                 603583          100 证券买入            100             66.7200         已成            0               0
09:33:30.000    237393852       10073           1078406                 600486          100 证券买入            100             82.3900         已成            0               0
09:33:30.000    209386573       10070           1078693                 603127          100 证券买入            100             91.0900         已成            0               0
09:33:31.000    237393851       10069           0101000001926736        002352          100 证券买入            -800            55.8200         已撤            0               0
09:33:35.000    221394078       10076           0101000001942492        300229          100 证券买入            100             11.8000         部分成交        0               0
09:33:35.000    221394078       10076           0101000001942494        300229          100 证券买入            600             11.8000         已成            0               0
09:33:35.000    205392269       10079           0101000001943193        002352          100 证券买入            800             55.8700         已成            0               0
09:33:35.000    201385464       10078           1095467                 603583          100 证券买入            100             66.7400         已成            0               0
09:33:35.000    237393859       10077           1095466                 600486          100 证券买入            100             82.3800         已成            0               0
09:33:35.000    221394083       10081           1096059                 603338          100 证券买入            100             74.9800         已成            0               0
09:33:36.000    209386581       10080           1098312                 603127          100 证券买入            100             91.1100         已成            0               0
09:33:38.000    225386051       10075           0102000002017134        300548          101 证券卖出            -100            57.4200         已撤            0               0
09:33:40.000    205392275       10082           0102000002028257        300548          101 证券卖出            500             57.3500         已成            0               0
09:33:40.000    237393863       10086           0101000001967053        002352          100 证券买入            200             55.9300         已成            0               0
09:33:40.000    209386585       10083           0101000001967360        300229          100 证券买入            1800            11.8000         已成            0               0
09:33:40.000    221394090       10084           1110619                 600486          100 证券买入            100             82.2000         已成            0               0
09:33:40.000    201385471       10087           1110807                 603208          100 证券买入            100             103.4300        已成            0               0
09:33:40.000    213392137       10088           1111042                 603127          100 证券买入            100             91.2700         已成            0               0
09:33:44.000    225386061       10085           WTD:1046000198          603583          100 证券买入            -700            66.6500         已撤            0               0
09:33:45.000    225386065       10089           0101000001989189        300229          100 证券买入            1600            11.8100         已成            0               0
09:33:45.000    209386591       10091           0101000001989596        002352          100 证券买入            1000            55.9200         已成            0               0
09:33:45.000    213392140       10092           0101000001989602        300653          100 证券买入            100             73.7100         已成            0               0
09:33:45.000    229393362       10090           1125679                 600486          100 证券买入            100             82.1900         已成            0               0
09:33:46.000    225386066       10093           1126262                 603208          100 证券买入            100             103.4900        已成            0               0
09:33:46.000    229393363       10094           1126431                 603127          100 证券买入            100             91.1900         已成            0               0
09:33:46.000    233387434       10095           1126668                 603338          100 证券买入            100             74.9900         已成            0               0
09:33:51.000    221394097       10096           0102000002078679        300548          101 证券卖出            500             57.2000         已成            0               0
09:33:51.000    225386070       10097           0104000002297302        000951          100 证券买入            200             28.3900         已成            0               0
09:33:51.000    213392144       10100           0101000002013272        300229          100 证券买入            1600            11.8000         已成            0               0
