冻结金额,可用,参考市值,资产
21741101.33,17055501.62,206987833.84,224044433.46
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
28,国药一致,0,3700,49.1355,-1611.53,180190.0,48.7
59,华锦股份,260336,558583,5.0606,-335.38,2826429.98,5.06
156,华数传媒,14300,14300,12.4024,3684.31,181038.0,12.66
301,东方盛虹,29000,29000,5.6973,5589.61,170810.0,5.89
403,双林生物,56500,56500,71.4144,332533.92,4367450.0,77.3
488,晨鸣纸业,32300,32300,5.391,1904.92,176035.0,5.45
513,丽珠集团,96,96,-2300.321,225644.26,4813.44,50.13999999999999
528,柳工,238750,238750,6.9239,106494.98,1759587.5,7.37
537,广宇发展,13300,13300,7.745,-332.57,102676.0,7.72
546,金圆股份,144500,144500,10.1821,31486.52,1502800.0,10.4
559,万向钱潮,33100,33300,5.4516,611.51,182151.0,5.47
598,兴蓉环境,43600,43600,5.0907,-901.12,221052.0,5.07
600,建投能源,17400,17400,5.8711,2590.59,104748.0,6.02
657,中钨高新,53626,53626,4.7801,122260.47,378599.56,7.06
665,湖北广电,123200,123200,5.7445,37637.52,745360.0,6.05
671,阳光城,225200,225200,7.3414,1937.94,1655220.0,7.35
683,远兴能源,1098900,1098900,2.0038,39728.69,2241756.0,2.04
729,燕京啤酒,38500,38500,7.4314,3025.65,289135.0,7.51
785,居然之家,3800,3800,8.9612,-232.47,33820.0,8.9
800,一汽解放,75200,75200,13.1037,135831.81,1121232.0,14.91
826,启迪环境,16800,16900,8.4327,-721.07,141791.0,8.39
830,鲁西化工,467500,481600,8.8628,104589.09,4372928.0,9.08
848,承德露露,16200,16200,8.2816,8236.51,142398.0,8.79
917,电广传媒,295000,295000,6.6178,392992.38,2345250.0,7.95
921,海信家电,0,49300,12.3389,-15226.51,593079.0,12.03
930,中粮科技,26600,26600,7.8972,3001.1,213066.0,8.01
960,锡业股份,0,24200,10.3161,-390.42,249260.0,10.3
967,盈峰环境,0,23500,8.7617,1370.89,207270.0,8.82
999,华润三九,9500,9500,31.3346,-138.55,297540.0,31.32
2004,华邦健康,38800,39100,6.1015,-2015.32,236555.0,6.05
2010,传化智联,49500,49800,6.0716,419.56,302784.0,6.08
2027,分众传媒,961200,961200,5.9996,-153371.16,5613408.0,5.84
2038,双鹭药业,14800,14900,13.5043,12153.78,213368.0,14.32
2064,华峰氨纶,34200,34500,5.7484,-2014.67,196305.0,5.69
2078,太阳纸业,36800,37000,10.6841,9836.91,405150.0,10.95
2080,中材科技,0,25600,18.6198,-11003.54,465664.0,18.19
2081,金螳螂,107200,107200,8.7986,25875.82,969088.0,9.04
2092,中泰化学,40100,40100,5.4701,10422.33,229773.0,5.73
2097,山河智能,450500,450500,6.754,38742.08,3081420.0,6.84
2138,顺络电子,12200,12200,27.066,3099.27,333304.0,27.32
2139,拓邦股份,181400,181400,6.4012,16105.42,1177286.0,6.49
