冻结金额,可用,参考市值,资产
0.0,1671.07,1499.63,3170.7
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值
511990,华宝添益,15,15,-5825.8567,88887.475,1499.625
