时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:30:33.000    226348701       784941          WTD:2069000001          601818          700 担保品买入          -100            3.7000          已撤            0               0
11:02:21.000    226355211       786761          0104000018973656        002932          701 担保品卖出          100             84.7000         已成            0               0
11:02:21.000    222366883       786757          11343383                603600          701 担保品卖出          100             21.1500         已成            0               0
11:02:21.000    230365791       786758          11343384                603906          701 担保品卖出          500             30.9500         已成            0               0
11:02:21.000    210358891       786763          0104000018973803        300724          701 担保品卖出          100             87.1900         已成            0               0
11:02:21.000    214363110       786766          0102000018656780        002389          701 担保品卖出          400             23.7700         部分成交        0               0
11:02:21.000    206363672       786760          0101000017772004        300758          701 担保品卖出          300             31.2900         已成            0               0
11:02:21.000    214363111       786768          0104000018974137        000733          701 担保品卖出          400             43.2300         已成            0               0
11:02:21.000    230365794       786769          0102000018657022        002084          701 担保品卖出          300             13.0800         部分成交        0               0
11:02:21.000    230365794       786769          0102000018657024        002084          701 担保品卖出          500             13.0800         部分成交        0               0
11:02:21.000    230365794       786769          0102000018657026        002084          701 担保品卖出          300             13.0800         已成            0               0
11:02:21.000    206363674       786770          0103000019065267        300638          701 担保品卖出          400             67.5700         部分成交        0               0
11:02:21.000    206363674       786770          0103000019065269        300638          701 担保品卖出          200             67.5500         已成            0               0
11:02:21.000    214363110       786766          0102000018657605        002389          701 担保品卖出          200             23.7700         已成            0               0
11:02:21.000    230365795       786771          11344221                600596          701 担保品卖出          1400            9.3000          已成            0               0
11:02:22.000    226355213       786773          11344313                600511          701 担保品卖出          100             47.0000         部分成交        0               0
11:02:22.000    226355213       786773          11344314                600511          701 担保品卖出          500             46.9900         已成            0               0
11:02:22.000    210358893       786774          11344370                601012          701 担保品卖出          400             55.9000         已成            0               0
11:02:22.000    218362131       786775          11344448                603318          701 担保品卖出          200             10.2500         已成            0               0
11:02:22.000    238364265       786783          0103000019067285        000698          700 担保品买入          200             6.8900          已成            0               0
11:02:22.000    214363114       786776          11344709                600230          701 担保品卖出          200             12.3600         部分成交        0               0
11:02:22.000    218362132       786777          11344721                600732          701 担保品卖出          500             14.0600         已成            0               0
11:02:22.000    214363114       786776          11344710                600230          701 担保品卖出          900             12.3600         已成            0               0
11:02:22.000    234357694       786782          11345023                601628          700 担保品买入          500             44.0100         已成            0               0
11:02:22.000    214363116       786780          0101000017774392        300171          701 担保品卖出          1200            20.0700         部分成交        0               0
11:02:22.000    222366889       786781          11345261                600095          700 担保品买入          2000            16.7500         已成            0               0
11:02:22.000    226355217       786784          11345360                601336          700 担保品买入          100             61.5200         已成            0               0
11:02:24.000    226355214       786779          0104000018979880        300123          701 担保品卖出          1300            19.1700         已成            0               0
11:02:25.000    214363116       786780          0101000017777548        300171          701 担保品卖出          100             20.0700         已成            0               0
