时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:14:56.879    221833701       10001           601818          100 证券买入    100             3.7000          已撤
09:30:18.034    225823347       10002           300653          101 证券卖出    50              75.5400         已成
09:30:18.337    221833758       10003           603583          101 证券卖出    80              54.0100         已成
09:32:43.923    205830299       10004           002550          101 证券卖出    4700            4.6700          已成
09:32:44.021    221834196       10005           300053          101 证券卖出    1200            12.0300         已成
09:32:44.021    225823787       10006           603077          101 证券卖出    85400           1.3600          已撤
09:32:44.121    213829963       10007           000671          101 证券卖出    10800           7.3000          已撤
09:32:44.122    217827187       10008           000882          101 证券卖出    40900           2.0200          已成
09:32:44.221    233824948       10009           002376          101 证券卖出    1900            10.7400         已成
09:32:44.221    237832971       10010           600151          101 证券卖出    500             5.0500          已成
09:32:44.321    225823788       10011           600307          101 证券卖出    46700           1.6700          已撤
09:32:44.322    229833866       10012           603833          101 证券卖出    200             128.7500        已撤
09:32:44.422    201823325       10014           002901          100 证券买入    200             100.6700        已撤
09:32:44.421    237832972       10013           000636          101 证券卖出    4400            30.2100         已成
09:32:44.625    201823326       10016           600570          100 证券买入    6000            105.7900        已撤
09:32:44.624    237832973       10015           002127          100 证券买入    3700            21.9500         已撤
09:32:44.821    201823327       10017           603788          100 证券买入    200             18.1500         已撤
09:32:44.821    205830302       10018           603315          100 证券买入    1000            12.7300         已撤
09:32:44.821    209825506       10019           002212          100 证券买入    400             25.8000         已成
09:32:44.822    213829968       10020           300316          100 证券买入    1400            24.2000         已成
09:32:44.922    213829969       10021           603486          100 证券买入    200             29.5300         已成
09:32:49.921    233824959       10022           603833          101 证券卖出    100             128.5000        已成
09:32:50.020    201823334       10023           000636          101 证券卖出    2400            30.2000         已成
09:32:50.021    205830307       10024           000671          101 证券卖出    17400           7.2900          已成
09:32:50.121    201823335       10026           002550          101 证券卖出    4700            4.6800          已撤
09:32:50.121    237832979       10025           002376          101 证券卖出    200             10.7400         已成
09:32:50.221    217827201       10028           002749          100 证券买入    200             12.9700         已成
09:32:50.321    225823796       10029           002127          100 证券买入    600             22.0900         已撤
09:32:50.420    205830308       10030           600570          100 证券买入    4000            105.9300        已撤
09:32:50.421    209825514       10031           603788          100 证券买入    300             18.1800         已撤
09:32:50.220    213829971       10027           300053          101 证券卖出    1800            12.0100         已成
09:32:50.526    225823797       10032           002212          100 证券买入    300             25.8000         已成
09:32:50.527    229833873       10033           300316          100 证券买入    1400            24.2200         已成
09:32:55.533    233824966       10034           603833          101 证券卖出    100             128.5100        已成
09:32:55.924    225823804       10035           000636          101 证券卖出    2900            30.1800         已成
09:32:55.929    233824967       10036           002376          101 证券卖出    700             10.7400         已成
09:32:55.930    237832987       10037           300053          101 证券卖出    1700            12.0400         已撤
09:32:55.930    201823344       10038           300316          100 证券买入    1400            24.2100         已成
09:32:55.931    205830315       10039           002901          100 证券买入    200             101.1500        已成
09:32:55.931    209825524       10040           600570          100 证券买入    1400            106.0600        已成
09:32:56.021    233824968       10041           603699          100 证券买入    300             15.7100         已成
09:32:56.120    221834208       10042           002127          100 证券买入    300             22.1500         已成
09:32:56.121    225823805       10043           603788          100 证券买入    1600            18.1800         已成
09:32:56.121    229833880       10044           603315          100 证券买入    1000            12.7200         已撤
09:33:01.127    217827220       10045           300053          101 证券卖出    3000            12.0000         已成
09:33:01.227    201823351       10046           603833          101 证券卖出    400             128.5100        已成
09:33:01.228    205830321       10047           000636          101 证券卖出    6200            30.1600         部撤
09:33:01.327    233824973       10048           002376          101 证券卖出    900             10.7400         已成
09:33:01.425    201823352       10049           002749          100 证券买入    300             12.9600         已成
