时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:18:42.613    214047478       10001           601818          100 证券买入    100             3.6000          已撤
09:30:17.383    210042950       10002           600673          101 证券卖出    53              7.1700          已成
09:30:17.383    214047526       10003           601069          101 证券卖出    54              16.4400         已成
10:32:21.238    238053467       10004           600682          101 证券卖出    1300            17.3400         已成
10:32:21.335    218049013       10005           002314          101 证券卖出    32800           4.2800          已撤
10:32:21.736    214051968       10007           300566          101 证券卖出    200             31.5600         已撤
10:32:21.737    218049014       10006           002124          101 证券卖出    1300            18.9500         已撤
10:32:21.737    222054825       10008           300363          101 证券卖出    500             32.1000         已成
10:32:21.836    226043927       10009           300315          101 证券卖出    14300           9.4100          已撤
10:32:21.936    202043682       10010           000032          101 证券卖出    700             29.4600         已成
10:32:22.036    218049016       10011           000531          101 证券卖出    1400            10.3100         已成
10:32:22.037    222054826       10012           601865          101 证券卖出    300             22.4400         已成
10:32:22.242    238053469       10013           601698          101 证券卖出    1400            22.9500         已成
10:32:22.336    206051198       10014           002415          101 证券卖出    1100            37.2100         已成
10:32:22.439    214051972       10015           002555          101 证券卖出    500             46.0400         已成
10:32:22.537    234046501       10016           002465          101 证券卖出    11000           14.4200         部撤
10:32:22.635    214051973       10017           603200          101 证券卖出    200             39.8800         已成
10:32:22.735    226043931       10018           000537          100 证券买入    2200            7.8700          已成
10:32:22.839    202043686       10019           002056          100 证券买入    1400            11.9400         已成
10:32:22.936    210047306       10020           002303          100 证券买入    600             5.0900          已成
10:32:23.037    226043933       10021           600497          100 证券买入    100000          4.2500          已成
10:32:23.137    238053471       10022           002244          100 证券买入    4700            4.6800          已成
10:32:23.237    238053472       10023           600110          100 证券买入    32600           4.7800          已成
10:32:23.337    226043936       10024           000301          100 证券买入    700             5.8700          已成
10:32:23.437    218049020       10025           002222          100 证券买入    900             15.0800         已成
10:32:23.547    206051205       10026           002688          100 证券买入    200             8.8100          已成
10:32:23.636    226043940       10027           600362          100 证券买入    7700            16.3400         已成
10:32:23.739    206051207       10028           000789          100 证券买入    900             19.7100         已成
10:32:23.851    238053481       10029           600343          100 证券买入    600             9.1900          已成
10:32:23.937    214051981       10030           600629          100 证券买入    200             8.9400          已成
10:32:24.137    214051982       10032           600801          100 证券买入    1600            27.5800         已成
10:32:24.039    202043697       10031           600970          100 证券买入    3400            5.9700          已成
10:32:24.236    210047313       10033           603803          100 证券买入    500             12.6400         已成
10:32:24.338    206051210       10034           002180          100 证券买入    1400            37.8700         已成
10:32:24.436    222054844       10035           300122          100 证券买入    100             187.7700        已成
10:32:24.536    214051985       10036           000918          100 证券买入    9100            4.7600          已撤
10:32:24.639    230053684       10037           002302          100 证券买入    2400            10.5300         已成
10:32:24.824    214051986       10038           300395          100 证券买入    200             41.6800         已撤
10:32:24.836    230053686       10039           300422          100 证券买入    1100            12.4200         已成
10:32:24.937    238053487       10040           600884          100 证券买入    1800            12.8000         已成
10:32:25.035    206051215       10041           000878          100 证券买入    5200            14.9300         已成
10:32:30.038    210047340       10042           000032          101 证券卖出    300             29.4600         已撤
10:32:30.136    206051242       10043           002607          101 证券卖出    400             32.1200         已成
10:32:30.235    210047342       10044           002940          101 证券卖出    100             61.3900         已成
10:32:30.336    206051243       10045           601865          101 证券卖出    700             22.4300         已成
10:32:30.437    210047343       10046           002487          101 证券卖出    4100            7.6700          已成
10:32:30.635    218049058       10047           002555          101 证券卖出    500             46.0100         已成
10:32:30.635    222054872       10048           002415          101 证券卖出    3700            37.1700         已成
10:32:30.740    214052014       10049           600273          101 证券卖出    5800            13.0300         已成
10:32:30.835    226043977       10050           600682          101 证券卖出    1200            17.3000         已成
10:32:30.942    210047346       10051           002187          101 证券卖出    200             15.9600         已成
10:32:31.035    218049059       10052           002382          101 证券卖出    300             30.5500         已成
10:32:31.136    234046544       10053           300363          101 证券卖出    100             32.0500         已成
10:32:31.239    230053709       10054           002124          101 证券卖出    1100            18.9100         已成
10:32:31.335    238053517       10055           600801          100 证券买入    100             27.5800         已成
10:32:31.443    234046546       10056           603803          100 证券买入    100             12.6400         已成
10:32:31.536    214052017       10057           300122          100 证券买入    600             188.0000        已成
10:32:31.635    230053712       10058           600884          100 证券买入    300             12.7600         已成
10:32:31.737    238053518       10059           000537          100 证券买入    1500            7.8700          已成
10:32:31.836    218049062       10060           002688          100 证券买入    3100            8.8100          已成
10:32:31.936    226043979       10061           000301          100 证券买入    4600            5.8700          已成
10:32:32.036    222054876       10062           002222          100 证券买入    500             15.0800         已成
10:32:32.137    214052018       10063           000789          100 证券买入    1600            19.7200         部撤
10:32:37.136    202043744       10064           002555          101 证券卖出    1000            45.9800         已成
10:32:37.238    222054896       10065           600682          101 证券卖出    1200            17.3000         已成
10:32:37.334    206051265       10066           300118          101 证券卖出    300             18.7300         已成
10:32:37.435    234046570       10067           300566          101 证券卖出    100             31.3900         已撤
10:32:37.537    202043745       10068           600273          101 证券卖出    1000            13.0300         已成
10:32:37.636    218049088       10069           002124          101 证券卖出    4600            18.9000         已成
10:32:37.735    226043996       10070           300363          101 证券卖出    100             32.0800         已成
10:32:37.834    238053540       10071           300315          101 证券卖出    4000            9.3900          已成
10:32:37.936    210047368       10072           000032          101 证券卖出    700             29.4200         已成
10:32:38.035    206051267       10073           002487          101 证券卖出    4100            7.6700          已成
10:32:38.136    238053542       10074           002607          101 证券卖出    200             32.0800         已成
10:32:38.237    222054898       10075           002940          101 证券卖出    100             61.4900         已撤
10:32:38.338    234046571       10076           601865          101 证券卖出    2400            22.4500         已成
10:32:38.439    202043746       10077           603803          100 证券买入    100             12.6400         已成
10:32:38.548    226043998       10078           002180          100 证券买入    400             37.8100         已成
10:32:38.635    210047370       10079           300122          100 证券买入    100             188.0300        已成
10:32:38.766    210047371       10080           300395          100 证券买入    100             41.8800         已成
10:32:38.844    206051272       10081           300422          100 证券买入    1100            12.4200         已成
10:32:38.935    210047373       10082           600884          100 证券买入    1800            12.7700         已成
10:32:39.035    230053732       10083           000878          100 证券买入    3400            14.9200         已成
10:32:39.136    230053733       10084           000537          100 证券买入    600             7.8700          已成
10:32:39.235    206051277       10085           600161          100 证券买入    1600            48.5300         已成
10:32:39.334    214052050       10086           002688          100 证券买入    400             8.8000          已成
10:32:39.437    222054909       10087           600970          100 证券买入    1700            5.9700          已成
