时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:30:17.000    210232528       734720          0102000000899174        300432          701 担保品卖出          20              9.7500          已成            0               0
09:30:17.000    202229017       734724          0102000000900171        300393          701 担保品卖出          81              7.3900          已成            0               0
09:30:17.000    206238399       734725          0103000001075157        002117          701 担保品卖出          16              12.1200         已成            0               0
09:30:17.000    226229715       734722          407606                  600110          701 担保品卖出          85              4.9300          已成            0               0
09:30:18.000    214236755       734721          0103000001083886        300575          701 担保品卖出          -40             45.2400         已撤            0               0
09:30:27.000    226229743       734734          0103000001170695        300575          701 担保品卖出          40              45.0200         已成            0               0
09:32:25.000    234231350       734717          WTD:2069000001          601818          700 担保品买入          -100            3.6000          已撤            0               0
11:02:27.000    222248071       739175          0104000017778641        300368          701 担保品卖出          400             10.8100         已成            0               0
11:02:28.000    222248072       739183          0104000017779391        000661          700 担保品买入          100             462.9200        已成            0               0
11:02:28.000    234238205       739184          0102000018479386        002371          700 担保品买入          100             209.8600        已成            0               0
11:02:27.000    202235779       739178          12086136                600171          701 担保品卖出          300             18.2600         部分成交        0               0
11:02:28.000    218241882       739180          12086207                603528          701 担保品卖出          200             10.7000         已成            0               0
11:02:27.000    226236435       739177          12086055                603881          701 担保品卖出          200             82.0800         已成            0               0
11:02:28.000    226236436       739181          12086236                601021          701 担保品卖出          100             43.5700         已成            0               0
11:02:28.000    222248074       739186          0101000018800109        300199          700 担保品买入          2300            8.0600          已成            0               0
11:02:28.000    218241881       739176          0101000018800194        000050          701 担保品卖出          -1200           16.8700         已撤            0               0
11:02:28.000    230246702       739192          0103000018634423        000955          700 担保品买入          100             10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634425        000955          700 担保品买入          100             10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634427        000955          700 担保品买入          1000            10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634429        000955          700 担保品买入          800             10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634431        000955          700 担保品买入          100             10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634433        000955          700 担保品买入          500             10.0500         部分成交        0               0
11:02:28.000    230246702       739192          0103000018634435        000955          700 担保品买入          2500            10.0500         已成            0               0
11:02:28.000    238245499       739193          0104000017780397        300274          700 担保品买入          100             21.3900         部分成交        0               0
11:02:28.000    238245499       739193          0104000017780399        300274          700 担保品买入          200             21.3900         已成            0               0
11:02:28.000    218241883       739187          0101000018800557        300378          700 担保品买入          400             34.0500         部分成交        0               0
11:02:28.000    218241883       739187          0101000018800583        300378          700 担保品买入          200             34.0500         部分成交        0               0
11:02:28.000    234238206       739188          12086573                600211          700 担保品买入          200             114.2700        部分成交        0               0
11:02:28.000    206245033       739189          12086660                601888          700 担保品买入          100             201.5100        已成            0               0
11:02:28.000    234238206       739188          12086574                600211          700 担保品买入          100             114.2700        已成            0               0
11:02:28.000    222248076       739191          12086697                603027          700 担保品买入          200             34.5700         部分成交        0               0
11:02:28.000    214243430       739190          12086656                603520          700 担保品买入          100             72.1700         已成            0               0
11:02:28.000    222248076       739191          12086698                603027          700 担保品买入          200             34.5800         部分成交        0               0
11:02:28.000    222248076       739191          12086699                603027          700 担保品买入          200             34.5900         部分成交        0               0
11:02:28.000    222248076       739191          12086700                603027          700 担保品买入          500             34.5900         已成            0               0
11:02:27.000    202235779       739178          12086137                600171          701 担保品卖出          400             18.2600         部分成交        0               0
11:02:27.000    202235779       739178          12086138                600171          701 担保品卖出          100             18.2600         已成            0               0
11:02:29.000    218241883       739187          0101000018802275        300378          700 担保品买入          -100            34.0500         部撤            0               0
11:02:30.000    214243427       739182          12088477                600862          701 担保品卖出          800             26.5100         已成            0               0
11:02:32.000    214243428       739185          0102000018488038        300122          700 担保品买入          -500            139.0600        已撤            0               0
11:02:33.000    222248080       739194          0104000017788079        300368          701 担保品卖出          1200            10.8100         已成            0               0
11:02:33.000    206245039       739199          12092961                603528          701 担保品卖出          200             10.7000         已成            0               0
11:02:33.000    238245505       739198          12092977                601021          701 担保品卖出          100             43.5700         已成            0               0
11:02:34.000    234238215       739204          0103000018644970        000955          700 担保品买入          400             10.0600         部分成交        0               0
11:02:34.000    234238215       739204          0103000018645177        000955          700 担保品买入          1000            10.0600         部分成交        0               0
11:02:34.000    234238217       739207          0102000018492248        002371          700 担保品买入          100             210.1500        已成            0               0
11:02:34.000    234238215       739204          0103000018645537        000955          700 担保品买入          700             10.0600         部分成交        0               0
11:02:34.000    230246709       739208          0102000018492675        300122          700 担保品买入          100             139.2000        部分成交        0               0
11:02:34.000    234238218       739209          0101000018811841        300199          700 担保品买入          800             8.0600          已成            0               0
11:02:34.000    222248084       739212          0101000018812028        300143          700 担保品买入          400             22.4800         已成            0               0
11:02:34.000    238245507       739206          12093329                603027          700 担保品买入          2100            34.6000         已成            0               0
11:02:34.000    230246709       739208          0102000018493158        300122          700 担保品买入          400             139.2100        已成            0               0
11:02:34.000    230246707       739201          12093805                600862          701 担保品卖出          100             26.4900         部分成交        0               0
11:02:34.000    218241895       739210          12093966                603520          700 担保品买入          100             72.1700         已成            0               0
11:02:35.000    234238216       739205          0104000017791654        300274          700 担保品买入          -200            21.3600         已撤            0               0
11:02:35.000    210239206       739211          0101000018813493        300378          700 担保品买入          -600            34.1100         已撤            0               0
11:02:35.000    234238215       739204          0103000018647844        000955          700 担保品买入          500             10.0600         部分成交        0               0
11:02:36.000    222248081       739200          12095702                600750          701 担保品卖出          400             12.1400         部分成交        0               0
11:02:36.000    230246707       739201          12095700                600862          701 担保品卖出          300             26.4900         部分成交        0               0
11:02:36.000    206245038       739197          12095753                600346          701 担保品卖出          2200            18.4100         已成            0               0
11:02:36.000    234238215       739204          0103000018649499        000955          700 担保品买入          200             10.0600         部分成交        0               0
11:02:36.000    234238215       739204          0103000018649515        000955          700 担保品买入          100             10.0600         部分成交        0               0
11:02:36.000    234238215       739204          0103000018649518        000955          700 担保品买入          300             10.0600         部分成交        0               0
11:02:36.000    234238215       739204          0103000018649530        000955          700 担保品买入          500             10.0600         部分成交        0               0
11:02:36.000    234238215       739204          0103000018649537        000955          700 担保品买入          100             10.0600         已成            0               0
11:02:37.000    230246707       739201          12096834                600862          701 担保品卖出          400             26.4900         已成            0               0
11:02:37.000    222248081       739200          12097552                600750          701 担保品卖出          100             12.1400         部分成交        0               0
11:02:37.000    222248081       739200          12097654                600750          701 担保品卖出          200             12.1400         部分成交        0               0
11:02:39.000    210239219       739215          12100089                600346          701 担保品卖出          4900            18.4000         已成            0               0
11:02:40.000    238245521       739223          0103000018655837        000955          700 担保品买入          1400            10.0700         部分成交        0               0
11:02:40.000    238245521       739223          0103000018655839        000955          700 担保品买入          3400            10.0700         已成            0               0
11:02:39.000    218241911       739218          12100270                601021          701 担保品卖出          100             43.5600         已成            0               0
11:02:39.000    230246720       739217          12100215                603528          701 担保品卖出          300             10.7000         已成            0               0
11:02:40.000    210239222       739226          0102000018505416        002371          700 担保品买入          100             210.0000        已成            0               0
11:02:40.000    218241912       739227          0101000018823265        300199          700 担保品买入          100             8.0600          已成            0               0
11:02:40.000    226236456       739228          0101000018823302        300378          700 担保品买入          600             34.1000         已成            0               0
11:02:40.000    218241914       739231          0101000018823657        300143          700 担保品买入          800             22.4800         已成            0               0
11:02:40.000    214243450       739225          12100759                603027          700 担保品买入          400             34.5900         已成            0               0
11:02:40.000    206245030       739179          0103000018657029        000534          701 担保品卖出          -1300           12.9200         已撤            0               0
11:02:40.000    222248096       739219          12101158                600862          701 担保品卖出          500             26.4900         部分成交        0               0
11:02:40.000    210239224       739230          12101146                603520          700 担保品买入          100             72.1900         已成            0               0
11:02:40.000    222248081       739200          12101447                600750          701 担保品卖出          2500            12.1400         部分成交        0               0
11:02:40.000    222248081       739200          12101578                600750          701 担保品卖出          100             12.1400         部分成交        0               0
11:02:41.000    222248081       739200          12101943                600750          701 担保品卖出          100             12.1400         部分成交        0               0
11:02:41.000    222248096       739219          12102410                600862          701 担保品卖出          700             26.4900         已成            0               0
11:02:41.000    206245046       739220          12102551                600750          701 担保品卖出          300             12.1400         部分成交        0               0
11:02:41.000    222248081       739200          12102549                600750          701 担保品卖出          2100            12.1400         已成            0               0
11:02:43.000    202235810       739229          0102000018512555        300601          700 担保品买入          100             197.3000        已成            0               0
11:02:45.000    238245533       739241          0102000018518988        300601          700 担保品买入          100             197.5000        已成            0               0
11:02:45.000    206245046       739220          12109779                600750          701 担保品卖出          100             12.1400         已成            0               0
11:02:45.000    238245530       739235          12109727                601021          701 担保品卖出          100             43.5400         已成            0               0
11:02:45.000    222248109       739237          12109922                603528          701 担保品卖出          200             10.7000         部分成交        0               0
11:02:45.000    222248109       739237          12109923                603528          701 担保品卖出          300             10.7000         已成            0               0
11:02:46.000    222248114       739244          0101000018837180        300143          700 担保品买入          100             22.4800         已成            0               0
11:02:46.000    238245535       739246          0103000018669871        000955          700 担保品买入          1400            10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669873        000955          700 担保品买入          100             10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669875        000955          700 担保品买入          1200            10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669877        000955          700 担保品买入          100             10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669879        000955          700 担保品买入          400             10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669881        000955          700 担保品买入          800             10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669883        000955          700 担保品买入          200             10.0700         部分成交        0               0
11:02:46.000    238245535       739246          0103000018669885        000955          700 担保品买入          1300            10.0700         已成            0               0
11:02:46.000    206245047       739224          0104000017814420        300274          700 担保品买入          36              21.3600         部分成交        0               0
11:02:46.000    206245047       739224          0104000017814425        300274          700 担保品买入          164             21.3600         已成            0               0
11:02:46.000    230246705       739195          0101000018838967        000050          701 担保品卖出          -2700           16.8700         已撤            0               0
11:02:46.000    230246738       739245          12110377                603027          700 担保品买入          100             34.6000         部分成交        0               0
11:02:46.000    230246738       739245          12110378                603027          700 担保品买入          500             34.6000         部分成交        0               0
11:02:46.000    230246738       739245          12110379                603027          700 担保品买入          100             34.6100         部分成交        0               0
11:02:46.000    230246738       739245          12110380                603027          700 担保品买入          100             34.6100         部分成交        0               0
11:02:46.000    230246738       739245          12110381                603027          700 担保品买入          600             34.6100         部分成交        0               0
11:02:46.000    230246738       739245          12110382                603027          700 担保品买入          300             34.6100         已成            0               0
11:02:46.000    206245055       739234          0103000018671682        300510          701 担保品卖出          1100            5.5400          已成            0               0
11:02:47.000    238245506       739202          WTD:2069000750          600770          701 担保品卖出          -10700          6.2100          已撤            0               0
11:02:47.000    230246719       739216          WTD:2069000754          603108          701 担保品卖出          -700            15.2000         已撤            0               0
11:02:47.000    206245056       739236          WTD:2069000762          603108          701 担保品卖出          -500            15.2000         已撤            0               0
11:02:47.000    214243460       739242          0101000018842671        300378          700 担保品买入          400             34.1100         已成            0               0
11:02:50.000    230246737       739243          WTD:2069000766          603520          700 担保品买入          -100            72.0600         已撤            0               0
11:02:50.000    238245531       739238          WTD:2069000764          600750          701 担保品卖出          -5300           12.1400         已撤            0               0
11:02:51.000    226236476       739247          12118953                603881          701 担保品卖出          100             82.1000         已成            0               0
11:02:51.000    222248125       739251          12119293                603528          701 担保品卖出          900             10.7000         已成            0               0
11:02:51.000    222248130       739259          0101000018851348        300199          700 担保品买入          200             8.0600          已成            0               0
11:02:51.000    238245548       739260          0101000018851395        300378          700 担保品买入          600             34.1100         已成            0               0
11:02:51.000    238245544       739253          12119408                601021          701 担保品卖出          100             43.5600         已成            0               0
11:02:51.000    214243474       739254          12119409                600750          701 担保品卖出          1300            12.1200         已成            0               0
11:02:51.000    238245547       739258          12119789                603027          700 担保品买入          200             34.6400         已成            0               0
11:02:52.000    214243456       739233          0103000018684662        000534          701 担保品卖出          -1400           12.9100         已撤            0               0
11:02:53.000    238245523       739232          0101000018855343        300192          700 担保品买入          -100            25.5900         已撤            0               0
11:02:53.000    230246710       739213          0101000018855345        300192          700 担保品买入          -1000           25.5900         已撤            0               0
11:02:53.000    214243473       739250          WTD:2069000774          603108          701 担保品卖出          -1300           15.1800         已撤            0               0
11:02:56.000    206245087       739262          0104000017836229        002430          701 担保品卖出          400             18.3800         已成            0               0
11:02:56.000    226236486       739263          0103000018693697        000534          701 担保品卖出          700             12.8900         部分成交        0               0
11:02:56.000    226236486       739263          0103000018693699        000534          701 担保品卖出          500             12.8900         已成            0               0
11:02:57.000    218241948       739272          0101000018862435        300192          700 担保品买入          400             25.6000         已成            0               0
